Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2005-03-31,289.0,289.0,642.53,642.53,931.53,612.3,32.99,0.0,0.0,645.29,0.0,0.0,30.87,45.11,75.97,1652.79,770.59,0.0,0.26,0.0,770.85,348.52,0.0,0.0,1119.37,0.0,20.41,465.63,2.63,44.76,0.0,533.42,1652.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,289.0,289.0,692.41,692.41,981.41,438.31,44.29,0.0,0.0,482.6,0.0,0.0,36.92,130.51,167.44,1631.46,716.19,0.0,9.7,0.0,725.89,347.63,0.0,0.0,1073.53,0.0,21.45,467.5,44.06,24.92,0.0,557.93,1631.46,0.0,0.0,0.0,0.0,0.0,0.0,347.63,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,346.8,346.8,789.71,789.71,1136.51,616.96,55.92,0.0,0.0,672.88,0.0,0.0,118.22,47.35,165.57,1974.95,666.75,0.0,0.21,0.0,666.96,740.51,0.0,0.0,1407.47,0.0,23.12,389.32,105.99,49.06,0.0,567.49,1974.95,0.0,0.0,0.0,0.0,0.0,0.0,740.51,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,514.76,514.76,755.99,755.99,1270.75,825.02,68.49,0.0,0.0,893.51,25.1,117.17,89.25,121.53,353.05,2517.31,617.27,0.0,152.46,0.0,769.73,1411.77,0.0,0.0,2181.5,0.0,30.05,82.01,100.31,123.44,0.0,335.81,2517.31,99.84,23.22,0.0,325.03,167.96,0.0,1411.77,0.0,0.0,14.66,0.0,0.0,0.0
2009-03-31,546.57,546.57,1418.29,1418.29,1964.86,2312.36,81.51,0.0,0.0,2393.87,18.78,147.89,184.05,2.5,353.22,4711.95,567.66,0.39,1879.61,0.0,2447.66,1939.94,0.0,0.0,4387.6,0.0,32.27,111.45,26.42,154.21,0.0,324.35,4711.95,99.39,27.56,0.0,0.0,167.96,0.0,1939.94,0.0,0.0,14.05,0.0,0.0,959.89
2010-03-31,1640.05,1640.05,3726.57,3726.57,5366.62,2005.18,118.19,0.0,0.0,2123.37,100.0,455.9,77.04,149.06,782.0,8271.99,2260.51,4.21,173.91,0.0,2438.63,4310.41,0.0,0.0,6749.04,0.0,256.75,267.85,541.01,457.34,0.0,1522.95,8271.99,8.31,2.25,0.0,0.0,987.81,0.0,4310.41,0.0,0.0,489.53,0.0,0.0,0.01
2011-03-31,1640.05,1640.05,4385.34,4385.34,6025.39,5158.02,140.54,0.5,1.87,5300.93,100.2,802.56,613.45,193.86,1710.07,13036.39,4722.39,2.2,2740.44,2.72,7467.75,2041.73,553.9,0.0,10063.38,245.27,480.8,531.35,821.3,733.55,160.74,2973.01,13036.39,2013.17,26.04,0.0,0.0,987.81,0.0,2041.73,0.0,245.27,1249.89,0.36,0.11,34.23
2012-03-31,1640.05,1640.05,4518.67,4518.67,6158.72,4960.99,138.17,0.5,3.03,5102.69,0.0,2384.52,699.59,97.19,3181.3,14442.71,6912.57,2.7,801.05,0.0,7716.32,2278.2,891.73,0.0,10886.25,210.02,705.14,614.22,636.95,1186.71,203.42,3556.46,14442.71,1703.12,20.96,0.0,0.0,987.81,24.25,2253.95,0.0,210.02,2775.68,1.14,1.95,64.32
2013-03-31,1640.05,1640.05,5133.19,5133.19,6773.24,4717.3,153.72,2.36,5.31,4878.69,120.0,2088.95,865.07,387.86,3461.88,15113.81,6944.42,1.6,791.19,0.0,7737.21,2304.18,1851.98,0.0,11893.37,590.92,411.03,1320.19,314.6,529.27,54.43,3220.44,15113.81,1870.64,43.48,5.55,0.0,987.81,0.0,2304.18,107.82,483.1,3047.32,5.37,5.01,2.93
2014-03-31,1640.05,1640.05,5362.62,5362.62,7002.67,4264.11,185.12,2.36,6.08,4457.67,119.99,1598.76,706.43,386.94,2812.12,14272.46,6908.87,0.46,467.25,0.0,7376.58,2299.88,1602.6,0.0,11279.06,634.19,374.42,992.11,394.03,350.51,248.14,2993.4,14272.46,1805.64,18.77,22.17,0.0,987.81,0.0,2299.88,0.0,634.19,2745.04,2.83,3.06,0.45
2015-03-31,1640.05,1640.05,5953.74,5953.74,7593.79,3567.85,254.92,2.98,10.01,3835.76,0.0,1449.25,740.32,398.49,2588.06,14017.61,6806.34,7.8,256.04,0.0,7070.18,2298.36,1841.84,0.0,11210.38,1373.96,479.24,504.77,268.15,131.07,50.04,2807.23,14017.61,4918.85,9.86,22.18,0.0,987.81,0.0,2298.36,0.0,1373.96,2959.18,3.17,1.3,1.49
2016-03-31,1626.79,1626.79,6965.34,6965.34,8592.13,2809.92,360.62,12.33,11.43,3194.3,1500.0,2220.92,1460.19,6.63,5187.74,16974.17,5409.6,5.19,282.06,0.0,5696.85,6644.73,1071.51,1383.34,14796.43,24.02,538.58,1178.65,221.66,188.84,25.99,2177.74,16974.17,2801.95,0.0,0.0,0.0,987.41,0.0,6644.73,0.0,24.02,0.0,0.0,0.0,0.0
2017-03-31,1627.95,1627.95,6765.61,6765.61,8393.56,2922.43,301.49,2.36,13.87,3240.15,0.0,1911.2,1669.18,4.34,3584.72,15218.43,5186.26,3.6,478.68,0.0,5668.54,5169.94,1052.14,1513.25,13403.87,154.11,506.45,840.01,74.86,82.1,157.03,1814.56,15218.43,2026.28,0.0,0.0,0.0,987.41,0.0,4944.88,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1640.05,1640.05,8237.42,8237.42,9877.47,2610.1,340.28,6.98,12.51,2969.87,0.0,2071.45,989.38,3.71,3064.54,15911.88,5110.15,0.99,260.55,0.0,5371.69,6893.71,734.41,1455.3,14455.11,69.32,449.96,488.52,138.52,182.42,128.03,1456.77,15911.88,1075.14,30.69,1.9,0.0,987.41,2018.15,4944.88,0.0,0.0,2133.57,3.92,0.0,0.0
2019-03-31,1640.87,1640.87,8526.61,8526.61,10167.48,2054.04,408.74,6.63,15.8,2485.21,0.0,1558.91,1294.21,4.4,2857.52,15510.21,4852.07,0.6,376.78,0.0,5229.45,6512.4,881.12,1383.67,14006.64,190.19,348.46,554.7,112.5,182.51,115.21,1503.57,15510.21,1245.54,0.0,0.0,0.0,987.41,0.0,2259.07,0.0,190.19,0.0,0.0,0.0,0.0
2020-03-31,1641.9,1641.9,7758.3,7758.3,9400.2,1333.08,325.9,6.51,19.9,1685.39,0.0,1265.91,1199.73,4.21,2469.85,13555.44,4507.17,0.76,108.85,0.0,4616.78,5082.7,205.13,1160.44,11065.05,334.1,540.77,797.12,157.6,250.83,409.97,2490.39,13555.44,1461.88,2086.68,0.0,0.0,987.41,1045.41,13.18,0.0,334.1,0.0,0.0,0.0,0.0
