Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,121.48,0.0,121.48,76.45,36.51,-0.91,3.23,6.66,11.9,-12.37,12.91,0.55,1.9,-1.35,0.0,-1.35,0.0,-1.35,-1.35,22.43,0.0,-0.12,-0.12,5.44,48.85,3.65,64.03,32.75
2012-12-31,138.28,0.0,138.28,83.29,46.56,-3.73,4.4,6.68,8.39,-7.32,2.38,-4.94,1.32,-6.26,0.0,-6.26,0.0,-6.26,-6.26,22.43,0.0,-0.56,-0.56,5.44,48.85,3.65,64.03,32.75
2013-03-31,242.83,0.0,242.83,93.1,111.54,3.86,4.23,6.62,9.7,13.78,-2.64,11.14,3.16,7.99,0.0,7.99,0.0,7.99,7.99,22.43,0.0,0.72,0.72,5.44,48.85,3.85,64.03,32.75
2013-06-30,137.61,0.0,137.61,87.05,45.61,2.47,3.72,6.67,8.29,-16.2,5.21,-10.99,1.72,-12.71,0.0,-12.71,0.0,-12.71,-12.71,22.43,0.0,-1.14,-1.14,5.33,47.85,3.76,64.73,33.75
2013-09-30,108.15,0.0,108.15,62.2,41.83,-1.46,3.84,6.75,7.81,-12.82,3.72,-9.1,1.7,-10.8,0.0,-10.8,0.0,-10.8,-10.8,22.43,0.0,-0.97,-0.97,5.3,47.62,3.78,64.88,33.98
2013-12-31,128.29,0.0,128.29,86.79,30.95,0.66,3.66,6.71,7.92,-8.41,4.17,-4.24,1.67,-5.91,0.0,-5.91,0.0,-5.91,-5.91,22.43,0.0,-0.53,-0.53,5.3,47.62,3.78,64.88,33.98
2014-03-31,183.53,0.0,183.53,108.29,78.35,-8.45,3.95,6.59,9.32,-14.53,3.58,-10.95,2.07,-13.02,0.0,-13.02,0.0,-13.02,-13.02,22.43,0.0,-1.17,-1.17,5.22,46.91,3.86,65.35,34.69
2014-06-30,174.13,0.0,174.13,93.01,66.68,10.46,3.79,2.66,9.1,-11.56,4.39,-7.17,1.4,-8.57,0.0,-8.57,0.0,-8.57,-8.57,22.43,0.0,-0.77,-0.77,5.22,46.91,3.86,65.35,34.69
2014-09-30,215.91,0.0,215.91,68.1,144.23,0.53,3.68,2.65,7.05,-10.32,8.9,-1.42,1.62,-3.04,0.0,-3.04,0.0,-3.04,-3.04,22.43,0.0,-0.27,-0.27,5.22,46.91,3.86,65.35,34.69
2014-12-31,117.99,0.0,117.99,80.83,35.03,-4.19,3.72,2.66,9.09,-9.15,4.01,-5.14,1.51,-6.64,0.0,-6.64,0.0,-6.64,-6.64,22.43,0.0,-0.6,-0.6,5.22,46.91,3.86,65.35,34.69
