Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Equity Share Application Money,Government/Other Grants,Trade/Other Goods,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,10.51,13.51,10.93,11.61,0.0,25.11,0.0,41.42,6.51,0.0,0.0,47.93,8.19,15.08,3.63,3.28,30.17,103.22,49.97,5.63,0.73,0.0,0.0,56.33,1.26,0.51,0.0,0.13,58.23,0.0,8.98,25.52,1.29,9.19,0.0,44.99,103.22,3.14,3.96,0.0,2.81,0.79,4.33,0.85,5.65,0.0,1.26,0.0,0.0,3.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.51,13.51,18.05,18.69,0.0,32.19,0.0,40.79,7.36,0.0,0.0,48.15,23.6,21.5,4.67,4.04,53.81,134.16,62.53,6.76,0.03,0.0,0.0,69.32,1.43,0.56,0.0,0.06,71.37,0.0,10.21,29.81,2.76,20.0,0.0,62.79,134.16,10.12,5.6,0.0,6.91,1.11,5.82,0.0,5.65,0.0,1.43,0.0,0.0,3.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.51,13.51,28.14,28.75,0.0,42.25,0.0,45.07,7.57,0.0,0.0,52.64,24.09,29.73,2.66,4.65,61.13,156.02,63.41,8.95,0.7,0.0,0.0,73.06,3.62,0.0,0.0,0.02,76.69,0.0,15.71,45.18,1.13,17.29,0.0,79.33,156.02,13.1,4.1,0.0,0.7,1.42,20.31,0.0,5.65,0.0,3.62,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,10.51,13.51,38.9,39.46,0.0,52.97,0.0,76.43,6.74,0.0,0.0,83.17,37.41,45.29,4.21,5.07,91.97,228.11,76.63,9.05,37.69,0.0,0.0,123.36,6.0,0.0,0.0,0.01,129.37,0.0,24.48,55.71,2.6,15.95,0.0,98.74,228.11,48.38,18.37,0.0,9.65,5.17,16.24,0.82,5.65,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.51,13.51,51.58,51.58,0.0,65.09,0.0,105.73,5.28,0.0,0.0,111.01,30.27,58.15,4.56,6.9,99.89,275.98,140.85,9.48,9.68,0.0,0.0,160.01,7.75,0.0,0.0,0.0,167.77,0.0,24.66,50.43,5.1,28.03,0.0,108.21,275.98,27.17,24.9,0.0,12.16,3.3,16.66,7.35,5.65,0.0,7.75,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.51,13.51,63.53,63.53,0.0,77.03,0.0,117.05,5.21,0.0,0.0,122.26,46.35,58.66,2.82,8.13,115.97,315.26,152.75,10.15,12.26,0.0,0.0,175.15,7.93,0.0,0.0,0.0,183.09,0.0,24.4,67.48,3.86,36.43,0.0,132.17,315.26,49.54,21.11,0.0,12.09,7.62,30.18,5.06,5.65,0.0,7.93,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.51,57.14,81.98,81.98,0.0,139.11,0.0,97.49,6.32,0.0,0.0,103.82,36.26,106.98,21.94,10.56,175.74,421.43,213.79,15.46,2.83,0.0,0.0,232.07,8.19,0.0,0.0,0.23,240.49,0.0,46.95,89.57,13.15,31.26,0.0,180.94,421.43,42.39,29.36,0.0,30.13,6.02,32.55,4.58,5.65,0.0,8.19,0.0,0.0,46.63,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,12.91,56.54,141.25,141.25,0.0,197.79,0.0,55.19,10.34,0.16,7.45,73.14,95.01,132.86,43.68,7.78,279.33,550.26,239.35,9.87,6.21,0.69,0.0,256.12,19.11,0.0,13.03,1.69,289.96,0.0,78.75,128.7,22.71,29.19,0.96,260.31,550.26,29.49,69.41,1.98,11.18,6.07,37.26,5.31,5.65,0.0,19.11,0.0,0.0,43.63,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,15.87,19.37,268.31,268.31,0.0,287.68,0.0,48.42,1.18,0.18,15.41,65.19,92.76,161.8,49.94,9.81,314.31,667.18,219.59,7.36,4.57,0.29,0.0,231.81,66.37,0.0,18.85,1.47,318.49,0.73,70.84,185.55,47.94,41.0,2.62,348.69,667.18,60.99,64.1,1.69,13.87,6.08,86.13,8.39,5.65,0.0,66.37,0.0,0.73,3.5,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.87,19.37,292.92,292.92,0.0,312.29,0.0,48.98,0.0,3.3,15.96,68.24,77.3,149.87,53.14,10.82,291.12,671.65,242.9,5.05,13.75,0.0,0.0,261.7,75.53,2.14,20.25,4.09,363.7,0.0,58.36,174.21,32.09,40.4,2.89,307.95,671.65,130.57,67.04,3.06,9.31,6.87,89.94,2.41,5.65,0.0,75.53,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
