Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Borrowings,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2012-03-31,16.13,16.13,1011.61,1011.61,0.0,1027.73,0.0,202.22,5.13,252.57,172.07,165.3,160.47,701.18,1981.48,217.02,30.15,7.43,21.01,275.6,403.73,2.03,135.54,0.0,816.9,35.56,0.0,626.67,122.94,379.41,0.0,1164.58,1981.48,400.95,0.0,2783.88,5.37,0.0,403.73,36.21,0.0,0.0,203.34,1195.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,16.13,16.13,1216.87,1216.87,0.0,1232.99,0.0,125.69,9.43,171.31,189.14,247.29,178.28,785.07,2189.37,222.55,31.61,46.21,32.12,332.49,401.93,5.79,193.16,0.0,933.37,21.73,0.0,723.4,113.59,397.29,0.0,1256.0,2189.37,572.14,0.0,3401.58,2.17,0.0,401.93,21.87,0.0,0.0,170.36,1494.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,16.13,16.13,1452.28,1452.28,0.0,1468.41,0.0,72.91,13.11,130.68,225.57,363.27,237.19,906.72,2505.81,261.04,33.22,8.81,41.83,344.9,314.62,0.0,253.48,0.0,913.0,140.21,0.0,849.58,145.54,457.48,0.0,1592.81,2505.81,686.08,0.0,4536.81,0.87,0.0,314.62,142.05,0.0,18.03,80.7,2044.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,16.13,16.13,1909.33,1909.33,0.0,1925.45,0.0,53.84,10.37,85.78,252.85,159.95,279.2,895.64,2906.87,261.7,75.55,4.76,19.54,361.55,395.31,0.0,238.73,0.0,995.59,62.23,0.0,1031.44,133.43,684.18,0.0,1911.29,2906.87,687.58,0.0,4536.81,2.73,0.0,395.31,62.4,0.0,7.68,203.64,2181.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,16.98,16.98,1846.29,1846.29,0.0,1863.27,0.0,125.05,12.43,233.33,314.15,267.84,504.96,1141.43,3238.03,264.99,55.35,0.1,18.76,339.2,315.62,0.0,424.91,0.0,1079.73,6.74,0.0,1089.6,122.18,939.79,0.0,2158.3,3238.03,0.0,0.0,5229.5,49.08,0.0,315.62,6.75,0.0,95.85,54.48,2647.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.1,17.1,2959.8,2959.8,0.0,2976.9,0.0,0.0,28.5,28.5,335.4,714.5,157.6,1207.5,4212.9,247.7,38.2,0.9,0.3,287.1,290.5,143.9,31.1,385.6,1138.2,940.6,0.0,1122.6,190.6,15.4,805.5,3074.7,4212.9,577.8,2770.8,0.0,5749.8,0.0,290.5,0.0,940.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,17.2,17.2,3701.4,3701.4,0.0,3718.6,0.0,20.4,28.0,48.4,370.8,737.7,176.1,1284.6,5051.6,241.2,31.5,1.0,5.8,279.5,295.9,191.9,38.4,262.1,1067.8,1264.4,0.0,1327.5,249.8,23.5,1118.6,3983.8,5051.6,593.9,3223.1,0.0,6400.2,0.0,295.9,0.0,1264.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,17.4,17.4,4696.1,4696.1,0.0,4713.5,0.0,3.4,28.9,32.3,446.3,832.8,201.7,1480.8,6226.6,281.6,33.1,3.1,5.1,322.9,519.8,156.4,46.7,340.3,1386.1,1740.2,0.0,1729.3,215.4,6.3,1149.3,4840.5,6226.6,616.1,4083.3,0.0,8267.3,0.0,519.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,17.4,17.4,5105.1,5105.1,106.3,5228.8,0.0,970.8,32.5,1003.3,684.2,1152.3,248.1,2084.6,8316.7,1116.1,35.4,38.1,1.9,1191.5,655.0,213.5,55.1,215.1,2330.2,2218.5,0.0,2176.7,371.4,16.4,1203.5,5986.5,8316.7,718.0,4607.1,0.0,9530.5,0.0,655.0,0.0,102.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,17.5,17.5,6844.8,6844.8,79.5,6941.8,0.0,690.2,36.0,726.2,800.4,1183.2,336.9,2320.5,9988.5,961.1,72.0,40.3,2.7,1076.1,754.2,47.9,111.5,418.7,2408.4,3628.2,0.0,2024.3,402.5,3.9,1521.2,7580.1,9988.5,390.9,4786.5,0.0,10587.3,101.0,653.3,3326.1,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
