Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Trade/Other Goods,Share Capital Suspense,Deferred Tax Liabilities [Net],Long Term Provisions,Long Term Loans And Advances,Short Term Loans And Advances,Long Term Borrowings,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Capital Goods
2005-03-31,0.0,0.0,828.71,828.71,828.71,0.0,0.0,1.18,0.0,396.23,0.0,396.23,1226.12,32.46,0.0,8.76,0.0,0.0,41.23,348.71,0.0,0.0,389.93,0.0,10.64,328.58,271.83,836.18,1226.12,394.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.13,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.68,0.68,926.57,926.57,927.25,0.03,0.0,9.13,0.0,1658.87,9.01,1667.88,2604.29,63.97,0.0,0.5,0.0,0.0,64.47,2117.33,0.0,0.0,2181.8,0.0,5.02,332.43,1.62,422.49,2604.29,414.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,83.43,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,0.7,0.7,1005.05,1005.05,1005.75,0.02,0.0,1.3,0.0,755.34,16.98,772.32,1779.38,57.11,0.0,8.04,0.0,0.0,65.16,1409.5,0.0,3.85,1478.5,0.0,6.13,263.33,2.21,300.88,1779.38,15.56,1.45,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,29.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,0.78,0.78,1558.36,1558.36,1559.14,6.37,0.0,5.63,0.0,1060.27,35.33,1095.6,2666.74,90.76,0.0,26.62,0.0,0.0,117.38,2172.21,0.0,0.0,2289.6,0.0,6.7,342.46,2.15,377.15,2666.74,106.82,1.32,9.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,25.84,1.23,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.24,10.24,1717.95,1717.95,1728.19,0.01,0.0,4.71,0.0,1121.74,56.91,1178.65,2911.56,74.96,0.0,7.06,0.0,0.0,82.02,1146.62,0.0,0.0,1228.64,0.0,10.2,1600.82,23.68,1682.93,2911.56,210.86,24.38,13.45,9.45,395.84,45.46,0.0,0.0,0.0,0.0,4.52,0.0,0.0,48.22,0.19,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.33,10.33,1881.74,1881.74,1892.06,0.01,0.0,1.05,0.0,1163.76,59.9,1223.66,3116.79,72.0,0.0,13.44,0.0,0.0,85.44,1916.89,0.0,0.0,2002.33,0.0,9.09,1040.3,21.4,1114.46,3116.79,131.23,3.3,16.85,9.53,782.9,160.41,0.0,0.0,0.0,0.0,0.15,0.0,0.0,43.68,0.91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.34,10.34,2018.81,2018.81,2029.15,0.01,148.97,154.61,69.35,995.99,53.58,1118.92,3302.69,88.82,11.6,1.21,0.0,0.0,101.63,1100.37,0.0,1.46,1221.35,729.8,23.17,1299.99,26.0,2081.34,3302.69,130.59,2.1,16.08,9.55,816.3,271.3,0.0,729.8,0.29,0.0,3.25,2.39,17.89,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.35,10.35,2052.88,2052.88,2063.23,0.01,9.05,267.06,47.62,332.59,81.06,461.27,2791.57,76.29,10.53,16.87,3.4,0.0,107.09,812.5,0.0,1.47,945.55,318.53,30.15,1464.32,24.63,1846.02,2791.57,256.27,3.76,17.98,9.53,491.68,306.3,200.43,108.18,0.27,0.0,5.01,253.0,24.49,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.37,10.37,2044.58,2044.58,2054.95,0.01,10.06,258.83,28.83,328.48,56.26,413.57,2727.36,78.88,16.61,19.19,0.0,0.0,114.68,1059.73,0.0,1.85,1217.68,246.29,23.4,1199.34,26.85,1509.68,2727.36,278.9,4.61,19.31,9.57,451.66,609.26,227.84,18.33,0.0,0.0,5.27,243.5,41.42,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,10.38,10.38,2074.78,2074.78,2085.16,0.01,6.81,46.84,33.45,371.86,54.98,460.29,2592.3,70.22,19.65,32.46,1.22,0.0,123.55,1359.44,0.0,2.9,1546.54,284.05,24.01,688.95,36.89,1045.76,2592.3,276.92,4.32,17.73,9.58,737.73,610.35,284.7,0.0,1.12,0.0,9.03,31.0,60.65,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
