Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-03-31,83.65,49.03,132.68,15.15,14.35,0.0,0.0,55.96,47.22,5.42,52.64,0.03,52.61,-53.36,-0.75,-4.76,4.01,4.01,10.74,0.0,0.73
2016-06-30,72.44,58.21,130.65,16.79,10.76,0.0,0.0,55.34,47.76,13.27,61.03,0.04,60.99,-13.61,47.38,1.89,45.49,45.49,10.74,0.0,0.0
2016-09-30,81.5,43.82,125.32,17.48,11.24,0.0,0.0,51.85,44.75,6.66,51.41,0.02,51.39,-7.18,44.21,2.54,41.67,41.67,10.74,0.0,7.63
2016-12-31,77.21,45.35,122.56,17.06,11.97,0.0,0.0,53.6,39.93,5.17,45.1,0.02,45.08,24.43,69.51,-0.56,70.07,70.07,10.74,12.84,12.84
2017-03-31,99.89,42.31,142.2,24.78,13.69,0.0,0.0,66.71,37.02,5.16,42.18,0.02,42.16,0.0,42.16,0.75,41.41,41.41,10.76,7.59,7.59
2017-06-30,91.79,65.38,157.17,16.5,8.81,0.0,0.0,57.49,74.37,5.78,80.15,0.02,80.13,316.03,396.16,11.77,384.39,384.39,10.76,70.42,70.42
2017-09-30,100.58,47.78,148.36,17.53,9.38,0.0,0.0,53.43,68.02,5.98,74.0,0.01,73.99,-0.47,73.52,10.67,62.85,62.85,10.76,11.51,11.51
2017-12-31,115.07,35.8,150.87,17.93,9.56,0.0,0.0,59.02,64.36,5.1,69.46,0.0,69.46,0.0,69.46,13.86,55.6,55.6,10.76,10.19,10.19
2018-03-31,125.02,45.68,170.7,19.88,11.51,43.48,0.0,25.67,70.16,4.79,74.95,0.0,74.95,0.0,74.95,13.84,61.11,61.11,10.65,11.23,11.23
2018-06-30,97.88,38.07,135.95,20.96,9.81,28.42,0.0,31.21,45.55,10.2,55.75,0.0,55.75,-0.54,55.21,3.4,51.81,51.81,10.38,9.69,9.69
2018-09-30,96.75,48.11,144.86,20.95,10.21,34.39,0.0,32.62,46.69,7.61,54.3,0.0,54.3,5.11,59.41,6.38,53.03,53.03,10.36,10.09,10.09
2018-12-31,87.49,64.47,151.96,21.38,11.09,37.83,0.0,32.77,48.89,4.31,53.2,0.0,53.2,0.0,53.2,0.84,52.36,52.36,10.36,9.96,9.96
2019-03-31,97.64,45.16,142.8,21.5,12.91,42.49,0.0,29.92,35.98,14.7,50.68,0.0,50.68,0.0,50.68,6.83,43.85,43.85,10.36,8.34,8.34
2019-06-30,95.48,41.98,137.46,23.95,10.26,33.52,0.0,33.38,36.35,4.89,41.24,0.0,41.24,0.0,41.24,6.88,34.36,34.36,10.36,6.54,6.54
2019-09-30,90.47,47.74,138.21,24.19,10.75,43.41,0.0,32.57,27.29,6.12,33.41,0.0,33.41,0.0,33.41,-5.81,39.22,39.22,9.0,7.51,7.51
2019-12-31,93.15,26.62,119.77,22.61,11.06,45.72,0.0,37.04,3.34,5.17,8.51,0.0,8.51,91.58,100.09,1.59,98.5,98.5,9.0,21.5,21.5
2020-03-31,99.53,23.22,122.75,23.15,11.48,43.03,18.61,33.76,-7.28,7.76,0.48,0.0,0.48,0.0,0.48,-1.11,1.59,1.59,9.0,0.35,0.35
2020-06-30,85.3,47.32,132.62,23.09,11.29,36.4,0.0,32.8,29.04,5.46,34.5,0.0,34.5,0.0,34.5,2.16,32.34,32.34,9.0,7.19,7.06
2020-09-30,107.45,27.93,135.38,22.02,12.79,40.23,0.0,31.59,28.75,11.31,40.06,0.03,40.03,-14.53,25.5,-3.18,28.68,28.68,9.0,8.33,6.26
2020-12-31,101.98,30.85,132.83,22.2,13.3,38.65,0.0,38.29,20.39,5.57,25.96,0.82,25.14,0.0,25.14,3.85,21.29,21.29,9.0,4.65,4.65
2021-03-31,129.19,7.46,136.65,21.83,13.65,25.37,0.0,50.7,25.1,5.23,30.33,-0.52,30.85,0.0,30.85,15.9,14.95,14.95,9.0,3.26,3.26
2021-06-30,132.53,16.86,149.39,23.36,9.89,37.37,0.0,37.7,41.07,7.06,48.13,0.0,48.13,0.0,48.13,11.04,37.09,37.09,9.0,8.1,8.1
2021-09-30,159.03,43.0,202.03,23.28,9.99,51.95,0.0,36.06,80.75,6.08,86.83,0.0,86.83,0.0,86.83,24.02,62.81,62.81,9.0,13.71,13.71
2021-12-31,160.13,14.13,174.26,23.22,10.43,45.18,0.0,39.6,55.83,6.43,62.26,0.0,62.26,0.0,62.26,20.88,41.38,41.38,9.0,9.03,9.03
2022-03-31,155.29,17.23,172.52,28.44,11.05,41.23,0.0,34.17,57.63,6.25,63.88,0.0,63.88,0.0,63.88,10.04,53.84,53.84,27.05,3.92,3.92
2022-06-30,141.68,0.04,141.72,25.34,8.65,43.39,0.0,42.69,21.65,6.04,27.69,0.0,27.69,0.0,27.69,6.32,21.37,21.37,27.09,1.56,1.56
2022-09-30,147.43,61.03,208.46,24.23,9.83,56.15,0.0,46.16,72.09,6.58,78.67,0.0,78.67,0.0,78.67,22.48,56.19,56.19,27.09,4.09,4.09
2022-12-31,154.14,26.28,180.42,22.29,14.25,58.11,0.0,43.95,41.82,6.28,48.1,0.0,48.1,0.0,48.1,17.27,30.83,30.83,27.09,2.24,2.24
2023-03-31,156.33,22.25,178.58,20.95,16.25,31.46,0.0,40.9,69.02,14.12,83.14,0.0,83.14,0.0,83.14,24.62,58.52,58.52,27.09,4.26,4.26
2023-06-30,156.62,33.91,190.53,26.04,16.6,34.22,0.0,58.09,55.58,13.63,69.21,0.0,69.21,504.17,573.38,66.24,507.14,507.14,27.09,36.91,36.91
2023-09-30,206.61,62.4,269.01,29.49,17.5,35.07,0.0,80.14,106.81,7.91,114.72,0.0,114.72,0.0,114.72,42.76,71.96,71.96,27.09,5.24,5.24
2023-12-31,278.4,41.2,319.6,29.13,19.81,37.73,0.0,105.79,127.14,6.72,133.86,0.0,133.86,0.0,133.86,38.7,95.16,95.16,27.07,6.93,6.93
2024-03-31,379.35,99.25,478.6,25.27,21.01,45.56,169.77,126.11,90.88,5.8,96.68,0.0,96.68,0.0,96.68,17.55,79.13,79.13,27.07,5.76,5.76
2024-06-30,495.98,49.49,545.47,34.9,18.92,40.08,0.0,225.98,225.59,6.04,231.63,0.0,231.63,0.0,231.63,58.37,173.26,173.26,27.07,12.62,12.62
2024-09-30,659.05,88.04,747.09,37.2,23.27,153.62,0.0,165.68,367.32,7.54,374.86,0.0,374.86,-0.19,374.67,92.95,281.72,281.72,27.07,20.51,20.51
2024-12-31,688.32,44.32,732.64,38.12,24.24,0.0,0.0,276.32,393.96,6.76,400.72,0.0,400.72,-52.17,348.55,88.39,260.16,260.16,27.07,18.94,18.94
2025-03-31,763.08,95.07,858.15,46.19,24.06,0.0,0.0,239.01,548.89,9.06,557.95,0.0,557.95,-37.64,520.31,123.0,397.31,397.31,27.07,28.93,28.93
