Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,3.54,3.54,40.94,43.24,0.0,46.79,33.04,16.37,0.0,0.0,49.41,12.18,18.07,28.17,0.72,59.14,155.34,77.38,0.0,0.31,0.0,77.69,0.83,3.03,0.0,0.86,82.42,0.0,40.07,22.06,2.34,8.45,0.0,72.93,155.34,7.42,0.59,0.0,49.81,0.0,0.93,0.83,0.0,0.0,33.63,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.54,3.54,50.18,52.42,0.0,55.97,47.22,15.82,0.0,0.0,63.04,27.63,35.04,28.12,0.26,91.05,210.05,92.36,0.0,0.88,0.0,93.24,1.33,0.0,0.0,0.54,95.11,0.0,58.75,44.66,2.52,9.02,0.0,114.95,210.05,14.3,1.36,0.14,59.88,0.0,0.93,1.33,0.0,0.0,56.21,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,3.54,3.54,54.16,56.35,0.0,59.9,60.06,17.44,0.0,0.0,77.5,44.15,35.64,28.86,0.53,109.19,246.59,112.37,0.0,5.71,0.0,118.08,2.53,0.0,0.0,1.66,122.28,0.0,59.64,46.89,2.3,15.48,0.0,124.31,246.59,5.47,1.14,0.0,67.21,0.0,0.93,2.53,0.0,0.0,55.9,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,3.54,3.54,58.62,60.77,0.0,64.31,83.84,20.17,0.0,0.0,104.01,72.42,59.52,29.45,0.07,161.46,329.78,135.04,0.0,12.62,0.0,147.65,2.71,0.0,0.0,1.11,151.48,0.0,69.24,82.26,2.99,23.82,0.0,178.31,329.78,10.0,2.3,0.0,89.81,0.0,0.93,2.71,0.0,0.0,70.99,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,3.54,3.54,64.67,66.78,0.0,70.32,87.61,22.54,0.0,0.0,110.15,90.19,65.6,11.75,0.0,167.54,348.01,156.21,0.0,7.42,0.0,163.63,2.58,0.54,0.0,0.74,167.49,0.0,65.42,88.74,2.98,23.38,0.0,180.52,348.01,12.69,1.76,0.0,93.9,0.0,0.93,2.58,0.0,0.0,83.33,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,3.54,3.54,86.99,89.07,0.0,92.61,90.69,25.75,0.0,0.0,116.44,107.26,67.79,33.19,2.13,210.37,419.42,176.02,2.2,7.41,0.0,185.62,1.81,0.79,0.0,0.37,188.59,0.0,104.22,92.26,4.19,30.16,0.0,230.83,419.42,7.38,2.02,0.0,144.05,0.0,0.93,1.81,0.0,0.0,122.91,0.0,7.92,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,7.09,27.69,122.65,124.69,0.0,152.38,98.42,30.76,0.0,0.0,129.17,44.66,95.18,32.07,5.4,177.31,458.86,196.56,2.63,8.64,0.0,207.82,1.97,3.76,0.0,0.0,213.55,0.0,102.81,103.08,4.93,34.49,0.0,245.31,458.86,9.72,3.02,0.0,201.01,0.0,4.48,1.97,0.0,0.0,114.3,0.0,0.96,20.6,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.19,19.29,189.33,191.35,0.0,210.63,58.99,32.29,9.45,1.37,102.09,155.28,105.7,75.52,11.98,348.48,661.21,250.66,1.15,31.36,0.71,283.89,1.97,0.0,18.77,1.4,306.02,0.0,140.98,174.77,6.77,31.4,1.27,355.18,661.21,54.89,5.19,0.0,247.1,0.0,8.21,1.97,0.0,0.0,166.97,1.69,2.59,8.1,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,12.52,12.52,304.88,306.68,0.0,319.2,119.06,32.43,10.6,1.77,163.85,113.13,96.39,88.43,16.25,314.19,797.25,292.28,1.79,77.77,3.23,375.07,1.97,0.0,19.07,1.62,397.74,0.0,178.75,171.87,7.63,39.36,1.9,399.51,797.25,96.98,4.11,0.0,391.5,0.0,8.21,1.97,0.0,0.0,185.51,2.64,4.6,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,13.55,13.55,509.25,511.05,0.0,524.59,85.11,47.81,12.54,2.15,147.62,102.22,241.21,92.58,20.45,456.45,1128.67,472.79,2.07,55.14,5.38,535.37,1.97,0.0,9.08,1.77,548.19,0.0,241.75,262.54,12.0,60.28,3.91,580.48,1128.67,419.22,10.99,0.0,628.0,0.0,8.21,1.97,0.0,0.0,337.97,0.87,2.22,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
