Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,281.94,0.64,282.58,168.09,12.56,-15.57,19.97,4.99,0.0,52.25,40.3,2.06,42.36,6.4,35.96,0.0,35.96,12.0,23.96,23.96,12.58,9.54,9.49,0.92,36.65,1.59,100.0,63.35
2013-03-31,328.69,1.68,330.37,168.62,2.09,29.17,25.49,6.94,0.0,63.63,34.44,3.5,37.95,1.01,36.94,0.0,36.94,13.85,23.09,23.09,13.55,1.82,1.8,1.11,41.15,1.59,100.0,58.85
2013-06-30,405.63,0.44,406.07,237.43,18.2,-15.63,27.37,7.32,0.0,59.81,71.58,0.7,72.28,-2.85,75.13,0.0,75.13,26.59,48.54,48.54,13.55,3.58,3.56,5.57,41.15,7.97,100.0,58.85
2013-09-30,461.14,1.61,462.76,259.84,12.51,7.02,23.72,8.01,0.0,67.57,84.1,3.11,87.21,5.23,81.97,0.0,81.97,26.68,55.29,55.29,13.61,4.07,4.02,5.64,41.43,7.97,100.0,58.57
2013-12-31,362.89,0.5,363.39,197.69,9.48,-5.08,26.01,7.87,0.0,72.6,54.82,4.02,58.84,2.0,56.84,-3.3,53.54,18.83,34.71,34.71,13.61,2.55,2.52,5.64,41.43,7.97,100.0,58.57
2014-03-31,356.64,6.07,362.71,214.41,5.79,-22.55,31.83,8.17,0.0,81.3,43.76,7.79,51.55,4.18,47.37,0.0,47.37,2.18,45.19,45.19,13.61,3.33,3.3,5.64,41.43,7.97,100.0,58.57
2014-06-30,470.15,1.05,471.2,251.0,20.81,-3.72,31.7,9.77,0.0,63.46,98.18,3.6,101.78,1.76,100.02,3.91,103.93,32.19,71.74,71.74,13.61,5.27,5.22,5.64,41.43,7.97,100.0,58.57
2014-09-30,424.99,1.56,426.55,224.42,14.36,5.53,31.9,9.64,0.0,77.71,62.99,5.53,68.52,-3.2,71.72,0.0,71.72,22.75,48.97,48.97,13.66,3.59,3.56,5.69,41.63,7.97,100.0,58.37
2014-12-31,502.05,2.87,504.92,297.93,15.77,-20.71,33.5,9.69,0.0,84.31,84.43,5.93,90.36,-1.02,91.38,0.0,91.38,29.16,62.22,62.22,13.66,4.56,4.52,5.69,41.63,7.97,100.0,58.37
2015-03-31,539.18,-2.2,536.98,308.17,5.17,-3.86,44.22,20.06,0.0,88.01,75.21,8.1,83.31,-2.26,85.57,0.0,85.57,25.25,60.32,60.32,13.66,4.42,4.38,5.69,41.63,7.97,100.0,58.37
2015-06-30,551.6,3.21,554.81,296.34,7.0,9.67,40.18,11.45,0.0,65.82,124.35,4.5,128.85,-1.38,130.23,0.0,130.23,42.93,87.3,87.3,13.66,6.39,6.33,5.69,41.63,7.97,100.0,58.37
2015-09-30,444.11,1.98,446.09,263.65,20.69,-36.99,42.76,11.67,0.0,71.2,73.11,4.46,77.57,-2.91,80.48,0.0,80.48,22.26,58.22,58.22,13.66,4.26,4.22,5.69,41.63,7.97,100.0,58.37
2015-12-31,506.27,4.71,510.98,243.94,31.29,4.66,46.93,13.68,0.0,79.33,91.15,5.07,96.22,-0.16,96.38,0.0,96.38,23.85,72.53,72.53,13.71,5.3,5.26,0.0,0.0,0.0,0.0,0.0
2016-03-31,584.39,0.0,584.39,306.97,8.34,2.72,57.15,16.95,0.0,100.77,91.49,9.36,100.85,2.61,98.24,0.0,98.24,2.23,96.01,96.01,13.71,7.02,6.96,0.0,0.0,0.0,0.0,0.0
2016-06-30,631.67,7.27,638.94,341.43,17.91,-26.28,55.81,17.78,0.0,84.5,147.79,11.28,159.07,1.6,157.47,0.0,157.47,30.61,126.86,126.86,13.71,9.25,9.2,0.0,0.0,0.0,0.0,0.0
