Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,1267.13,22.11,1289.24,727.41,16.69,77.55,10.46,418.68,38.45,1.92,40.37,36.66,3.71,0.0,3.71,1.22,2.49,2.49,51.42,0.1,0.1,14.26,55.49,11.44,100.0,44.51
2012-12-31,1420.33,18.92,1439.25,810.45,-21.3,73.49,10.88,507.67,58.06,8.91,66.97,45.54,21.43,0.0,21.43,5.99,15.44,15.44,51.42,0.6,0.6,14.26,55.49,11.44,100.0,44.51
2013-03-31,1776.34,39.33,1815.67,1019.7,33.58,72.46,12.51,620.75,56.67,4.32,60.99,49.97,11.02,-0.14,10.88,29.42,-18.54,-18.54,51.42,-0.72,-0.72,14.25,55.42,11.46,100.0,44.58
2013-06-30,1428.05,24.5,1452.55,770.76,-32.36,76.2,13.31,577.17,47.47,11.93,59.4,51.91,7.49,-18.16,-10.67,-1.22,-9.45,-9.45,51.42,-0.37,-0.37,14.04,54.61,11.67,100.0,45.39
2013-09-30,1479.53,31.1,1510.63,886.03,-47.33,87.35,14.03,509.66,60.89,6.63,67.52,56.58,10.94,0.0,10.94,2.79,8.15,8.15,51.42,0.32,0.32,13.44,52.29,12.27,100.0,47.71
2013-12-31,1848.43,26.18,1874.61,943.88,-11.96,80.33,13.85,744.7,103.81,2.33,106.14,64.2,41.94,0.0,41.94,31.3,10.64,10.64,51.42,0.41,0.41,13.33,51.84,12.38,100.0,48.16
2014-03-31,1689.22,31.76,1720.98,865.56,38.56,77.63,14.23,619.7,105.3,62.08,167.38,58.73,108.65,0.0,108.65,32.4,76.25,76.25,51.42,2.97,2.97,13.01,50.59,12.7,100.0,49.41
2014-06-30,1367.67,26.62,1394.29,744.45,-39.98,87.7,16.61,518.04,67.47,1.17,68.64,54.26,14.38,0.0,14.38,4.89,9.49,9.49,51.42,0.37,0.37,12.85,49.99,12.86,100.0,50.01
2014-09-30,1632.19,30.79,1662.98,985.93,29.5,92.77,17.93,522.24,14.61,4.42,19.03,70.42,-51.39,0.0,-51.39,-18.56,-32.83,-32.83,51.42,-1.28,-1.28,12.85,49.99,12.86,100.0,50.01
2014-12-31,1586.79,57.48,1644.27,864.43,-9.03,88.78,18.11,606.31,75.67,135.41,211.08,67.43,143.65,0.0,143.65,53.44,90.21,90.21,51.42,3.51,3.51,12.85,49.99,12.86,100.0,50.01
