Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-06-30,121.7,121.7,40.31,-2.08,25.94,13.99,58.23,-14.69,1.94,-12.75,9.92,-22.67,0.0,-22.67,0.0,-22.67,-22.67,403.22,-0.49,-0.49
2017-09-30,139.59,139.59,35.24,2.4,27.28,14.61,67.28,-7.22,5.63,-1.59,16.91,-18.5,0.0,-18.5,0.0,-18.5,-18.5,403.22,-0.4,-0.4
2017-12-31,134.69,134.69,34.98,0.5,28.06,17.64,67.02,-13.51,2.67,-10.84,11.67,-22.5,0.0,-22.5,0.0,-22.5,-22.5,505.23,0.0,0.0
2018-03-31,134.09,134.09,33.56,2.93,24.8,12.84,73.9,-13.93,5.87,-8.06,15.46,-23.52,0.0,-23.52,0.0,-23.52,-23.52,505.23,-0.5,-0.5
2018-06-30,133.81,133.81,36.21,-2.39,31.94,16.24,67.07,-15.26,4.94,-10.32,2.31,-12.63,0.0,-12.63,0.0,-12.63,-12.63,505.23,-0.25,-0.25
2018-09-30,138.33,138.33,33.01,0.83,28.62,16.3,71.03,-11.46,5.12,-6.34,2.75,-9.09,-1.52,-10.61,0.0,-10.61,-10.61,505.23,-0.21,-0.21
2018-12-31,154.68,154.68,38.11,0.98,29.07,16.4,73.72,-3.6,3.8,0.2,3.01,-2.81,0.0,-2.81,0.0,-2.81,-2.81,505.23,-0.06,-0.06
2019-03-31,167.96,167.96,38.22,2.07,22.65,15.44,82.51,7.07,70.29,77.36,2.79,74.57,0.0,74.57,0.45,74.12,74.12,505.23,1.48,1.48
2019-06-30,169.05,169.05,43.87,-2.45,31.13,21.98,85.65,-11.13,2.13,-9.0,7.86,-16.86,0.0,-16.86,0.0,-16.86,-16.86,505.23,-0.34,-0.34
2019-09-30,200.6,200.6,51.53,-1.45,34.67,22.69,91.82,1.34,1.94,3.28,7.62,-4.34,0.0,-4.34,0.0,-4.34,-4.34,505.23,-0.08,-0.08
2019-12-31,197.68,197.68,48.39,0.01,33.68,22.38,93.65,-0.43,93.8,93.37,7.89,85.48,0.0,85.48,3.87,81.61,81.61,505.23,1.62,1.62
2020-03-31,193.09,193.09,50.78,-4.42,30.94,22.27,100.0,-6.48,16.64,10.16,9.83,0.33,0.0,0.33,0.13,0.2,0.2,499.52,0.01,0.01
2020-06-30,130.61,130.61,35.66,0.04,33.0,24.7,61.07,-23.86,4.79,-19.07,8.44,-27.51,0.0,-27.51,0.01,-27.52,-27.52,499.52,-0.55,-0.55
2020-09-30,165.66,165.66,44.63,0.34,33.81,22.88,78.96,-14.96,4.57,-10.39,9.12,-19.51,0.0,-19.51,-0.01,-19.5,-19.5,499.52,-0.4,-0.4
2020-12-31,215.84,215.84,55.36,1.31,39.52,25.41,97.6,-3.36,5.88,2.52,10.04,-7.52,0.0,-7.52,0.0,-7.52,-7.52,499.52,-0.15,-0.15
2021-03-31,234.43,234.43,50.45,2.53,37.45,22.01,132.98,-10.99,6.39,-4.6,8.9,-13.5,0.0,-13.5,0.74,-14.24,-14.24,497.04,-0.29,-0.29
2021-06-30,252.12,252.12,80.68,-9.01,43.38,24.65,116.74,-4.32,7.4,3.08,10.5,-7.42,0.0,-7.42,0.0,-7.42,-7.42,497.11,-0.15,-0.15
2021-09-30,278.54,278.54,64.18,5.37,44.76,24.85,127.12,12.26,13.38,25.64,10.25,15.39,0.0,15.39,0.0,15.39,15.39,497.16,0.46,0.46
2021-12-31,295.02,295.02,68.1,-1.85,44.08,24.75,135.63,24.31,6.88,31.19,11.85,19.34,0.0,19.34,0.0,19.34,19.34,497.17,0.39,0.39
2022-03-31,290.79,290.79,64.68,1.39,39.87,24.47,140.85,19.53,54.54,74.07,11.42,62.65,0.0,62.65,-0.22,62.87,62.87,497.22,1.26,1.26
2022-06-30,327.68,327.68,75.41,-3.4,50.92,23.97,149.0,31.78,9.08,40.86,10.98,29.88,0.0,29.88,0.0,29.88,29.88,497.27,0.6,0.6
2022-09-30,377.96,377.96,83.74,-4.23,55.19,25.28,166.72,51.26,17.77,69.03,12.07,56.96,0.0,56.96,0.0,56.96,56.96,497.28,1.15,1.14
2022-12-31,398.64,398.64,90.11,-4.25,62.71,25.71,179.43,44.93,10.69,55.62,14.18,41.44,0.0,41.44,6.86,34.58,34.58,499.52,0.7,0.69
2023-03-31,429.46,429.46,87.37,1.23,61.77,29.06,193.63,56.4,12.23,68.63,14.58,54.05,0.0,54.05,2.18,51.87,51.87,499.52,1.04,0.0
2023-06-30,457.23,457.23,101.62,-5.79,72.33,26.05,206.05,56.97,11.49,68.46,15.64,52.82,0.0,52.82,0.0,52.82,52.82,499.52,1.06,1.06
2023-09-30,509.21,509.21,107.6,-3.31,83.43,29.13,235.43,56.93,20.48,77.41,20.72,56.69,0.0,56.69,-2.37,59.06,59.06,499.52,1.19,1.19
2023-12-31,524.5,524.5,101.02,0.93,84.75,30.55,246.3,60.95,13.33,74.28,21.09,53.19,0.0,53.19,0.0,53.19,53.19,499.52,1.07,1.07
2024-03-31,545.56,545.56,107.86,-1.1,77.85,35.65,261.45,63.85,3.72,67.57,20.92,46.65,0.0,46.65,54.76,-8.11,-8.11,499.52,-0.16,-0.16
2024-06-30,565.62,565.62,113.12,-0.79,96.22,34.64,255.72,66.71,5619.51,5686.22,21.43,5664.79,372.7,6037.49,29.25,6008.24,6008.24,499.52,120.67,120.5
2024-09-30,604.68,604.68,117.68,-3.29,96.75,36.57,264.54,92.43,46.74,139.17,19.34,119.83,0.0,119.83,29.99,89.84,89.84,499.52,1.8,1.8
2024-12-31,576.32,576.32,111.89,2.6,96.06,35.55,254.5,75.72,37.29,113.01,21.55,91.46,-23.13,68.33,18.51,49.82,49.82,499.52,1.0,1.0
2025-03-31,573.86,573.86,112.8,3.3,86.06,37.76,256.8,77.14,35.13,112.27,23.25,89.02,-26.42,62.6,1.53,61.07,61.07,499.52,1.23,1.22
