Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Intangible Assets Under Development,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,55.29,55.29,44.92,94.13,149.42,702.44,26.46,0.0,0.0,728.9,32.42,27.36,34.16,6.02,99.96,978.28,632.88,0.0,0.83,0.0,633.71,173.68,0.0,1.74,873.2,0.0,33.55,29.4,10.63,31.5,0.0,105.08,978.28,16.52,0.0,4.59,0.0,0.0,1.77,59.59,81.27,0.0,0.0,64.07,15.51,0.0,0.0,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,55.29,55.29,70.97,108.12,163.4,675.18,26.8,0.0,0.0,701.98,13.69,24.43,34.36,5.3,77.79,943.17,579.66,0.0,20.31,0.0,599.97,171.61,0.0,1.01,837.42,0.0,32.75,16.24,22.56,34.2,0.0,105.75,943.17,20.08,0.0,2.01,0.0,0.0,1.77,95.68,81.27,0.0,0.0,64.84,5.79,0.0,0.0,37.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,49.77,49.77,129.72,163.44,213.21,680.1,98.76,0.0,0.0,778.86,1.7,25.8,34.87,1.77,64.13,1056.2,637.39,0.0,87.89,0.0,725.28,0.11,0.0,0.0,862.19,0.0,36.64,20.99,12.09,124.29,0.0,194.01,1056.2,143.23,0.0,0.7,0.0,0.0,1.59,0.11,0.0,0.0,0.0,136.8,5.89,0.0,0.0,33.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,57.09,57.09,331.98,352.72,409.8,707.32,100.7,0.0,0.0,808.02,10.36,47.21,70.93,9.1,137.59,1359.41,745.51,0.0,76.62,0.0,822.13,58.11,0.0,0.0,1018.98,0.0,55.82,17.76,150.68,116.17,0.0,340.43,1359.41,53.77,0.0,0.72,0.0,4.58,1.59,58.81,0.0,0.0,0.0,138.74,8.82,0.0,11.58,20.73,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,61.19,61.19,573.49,581.23,642.42,688.99,105.35,0.0,0.0,794.33,5.89,67.55,78.62,43.78,195.84,1632.6,810.82,0.0,101.59,0.0,912.41,13.03,0.0,0.0,1042.79,0.0,62.19,18.16,347.58,161.88,0.0,589.81,1632.6,135.77,0.0,0.96,0.0,0.0,1.59,7.11,5.92,0.0,0.0,117.35,7.75,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,61.19,61.19,723.44,770.06,831.25,680.18,111.13,0.0,0.0,791.31,6.56,88.12,99.14,90.64,284.46,1907.02,1013.09,0.0,97.04,0.0,1110.13,88.91,0.0,0.0,1275.06,0.0,66.02,23.32,326.67,215.94,0.0,631.95,1907.01,184.31,0.0,1.98,0.0,0.0,1.59,85.93,5.97,0.0,0.0,76.02,31.11,0.0,16.68,46.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,61.19,61.19,928.79,959.51,1020.7,892.09,111.14,0.0,0.0,1003.23,11.59,58.98,179.26,136.36,386.19,2410.12,1062.99,0.0,181.95,0.0,1244.94,480.53,0.0,0.0,1744.51,0.0,74.77,28.98,220.39,341.47,0.0,665.61,2410.12,197.44,0.0,4.29,0.0,0.0,1.59,350.96,131.07,0.0,0.0,19.04,73.14,0.0,7.63,30.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,61.19,61.19,970.15,985.14,1046.33,816.88,107.22,28.02,3.39,955.51,23.23,79.0,310.45,23.22,435.9,2437.74,1375.73,5.31,40.9,0.0,1421.94,5.97,190.69,2.59,1621.19,521.79,119.92,27.95,88.75,56.33,1.81,816.55,2437.74,418.26,9.13,2.98,0.0,0.0,1.59,0.0,5.97,537.21,0.0,0.0,4.16,8.38,26.37,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,61.19,61.19,1051.4,1114.0,1175.19,908.25,123.31,30.76,3.86,1066.18,6.34,104.74,401.61,31.6,544.29,2785.66,1325.14,4.19,294.05,0.0,1623.38,6.32,369.16,1.82,2000.68,447.43,120.09,38.24,89.03,89.65,0.54,784.98,2785.66,292.58,8.97,1.97,0.0,0.0,1.59,0.0,6.32,457.53,0.0,0.0,0.0,5.59,16.84,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,58.85,58.85,1164.77,1200.95,1259.8,1097.7,113.38,36.42,5.66,1253.16,41.25,128.7,422.47,38.27,630.69,3143.65,1431.54,3.07,688.06,0.0,2122.67,30.81,359.1,1.21,2513.79,375.65,114.84,50.11,12.65,74.44,2.17,629.86,3143.65,383.31,9.57,3.18,0.0,0.0,1.59,0.0,30.81,398.52,0.0,0.0,0.0,8.88,75.81,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,58.85,58.85,1230.24,1244.37,1303.22,1362.04,122.59,41.87,6.06,1532.56,42.18,129.43,523.68,35.39,730.68,3566.46,1569.58,1.96,908.36,0.0,2479.9,108.81,266.85,1.21,2856.77,338.92,102.43,55.52,35.21,109.5,68.11,709.69,3566.46,422.51,10.38,3.55,0.0,0.0,1.59,181.56,19.7,354.54,0.0,0.0,3.34,9.79,37.83,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,58.85,58.85,1271.85,1271.85,1330.7,1437.08,128.44,66.16,7.87,1639.55,233.13,218.33,626.05,39.45,1116.96,4087.21,2580.92,1.58,361.46,0.0,2943.96,168.81,203.62,0.0,3316.39,253.99,223.47,70.49,15.29,135.37,72.21,770.82,4087.21,264.85,105.02,1.5,0.15,0.0,1.59,278.91,79.7,291.39,0.0,0.0,15.36,9.93,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
