Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,490.16,1.25,491.41,82.1,26.16,-14.55,110.2,29.13,32.47,145.53,80.37,15.46,95.83,22.31,73.52,0.0,73.52,22.64,50.88,0.0,50.88,58.85,4.26,4.26,6.36,54.05,5.41,100.0,45.95
2012-12-31,493.62,0.06,493.68,82.27,34.0,7.65,91.11,30.08,34.1,150.41,64.06,12.45,76.51,22.46,54.05,0.0,54.05,12.81,41.24,0.0,41.24,58.85,3.5,3.5,6.36,54.05,5.41,100.0,45.95
2013-03-31,535.77,0.0,535.77,89.03,42.11,24.68,88.4,26.28,49.43,170.01,45.83,23.44,69.27,18.22,51.05,-16.33,34.72,1.38,33.34,0.0,33.34,58.85,2.78,2.78,6.36,54.05,5.41,100.0,45.95
2013-06-30,456.92,0.12,457.04,89.17,35.47,-24.29,103.39,29.98,35.5,152.97,34.85,2.89,37.74,19.97,17.77,0.0,17.77,2.07,15.7,0.0,15.7,58.85,1.33,1.33,6.36,54.04,5.41,100.0,45.96
2013-09-30,448.87,0.0,448.87,83.9,40.74,-8.94,100.14,30.01,33.95,146.77,22.3,8.59,30.89,19.18,11.71,0.0,11.71,1.41,10.3,0.0,10.3,58.85,0.88,0.88,6.36,54.04,5.41,100.0,45.96
2013-12-31,502.58,0.0,502.58,90.13,45.3,4.55,104.39,30.28,34.73,164.51,28.69,8.18,36.87,19.13,17.74,0.0,17.74,3.65,14.09,0.0,14.09,58.85,1.2,1.2,6.36,54.04,5.41,100.0,45.96
2014-03-31,648.23,0.0,648.23,98.44,64.35,31.37,114.1,32.68,30.99,195.24,81.06,24.5,105.56,18.91,86.65,-18.5,68.15,15.78,52.37,0.54,52.91,58.85,4.49,4.49,6.36,54.04,5.41,100.0,45.96
2014-06-30,600.42,0.0,600.42,98.37,61.08,-12.53,121.81,37.36,28.32,180.85,85.16,2.5,87.66,21.51,66.15,-16.5,49.65,9.19,40.46,0.0,40.46,58.85,3.44,3.44,6.36,54.04,5.41,100.0,45.96
2014-09-30,572.58,0.0,572.58,97.35,56.99,1.31,115.77,34.58,28.5,177.43,60.65,1.19,61.84,21.8,40.04,-5.0,35.04,4.43,30.61,0.0,30.61,58.85,2.6,2.6,6.36,54.06,5.41,100.0,45.94
2014-12-31,555.91,0.0,555.91,101.37,54.49,-11.39,126.83,34.94,28.08,174.29,47.3,6.72,54.02,21.84,32.18,-10.0,22.18,3.7,18.48,0.0,18.48,58.85,1.57,1.57,6.36,54.06,5.41,100.0,45.94
2015-03-31,578.15,0.0,578.15,101.6,56.31,-19.9,130.35,39.23,27.0,199.11,44.45,17.79,62.24,25.59,36.65,-31.75,4.9,-9.85,14.75,-8.7,6.05,58.85,0.51,0.51,6.36,54.06,5.41,100.0,45.94
2015-06-30,590.75,0.0,590.75,112.75,47.34,-7.55,135.65,48.9,39.2,202.98,11.48,4.36,15.84,45.3,-29.46,-5.45,-34.91,-11.43,-23.48,0.0,-23.48,58.85,-2.0,-2.0,6.36,54.06,5.41,100.0,45.94
2015-09-30,645.73,0.0,645.73,116.13,57.08,14.2,131.15,49.64,41.66,210.87,25.0,5.95,30.95,47.77,-16.82,-5.28,-22.1,-7.15,-14.95,0.0,-14.95,58.85,-1.27,-1.27,6.36,54.06,5.41,100.0,45.94
2015-12-31,648.28,0.0,648.28,126.91,50.03,-12.38,137.42,50.09,41.92,229.3,24.99,15.71,40.7,49.7,-9.0,0.0,-9.0,-5.33,-3.67,0.0,-3.67,58.85,-0.31,-0.31,0.0,0.0,0.0,0.0,0.0
