Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-10-31,827.62,827.62,0.0,0.0,348.93,26.17,276.57,175.95,37.47,213.42,0.93,212.49,0.0,212.49,49.31,163.18,163.18,210.11,3422.01,7.77,7.75,8.3,39.5,12.71,100.0,60.5
2013-01-31,811.61,811.61,0.0,0.0,341.84,24.94,288.64,156.19,37.3,193.49,0.59,192.9,0.0,192.9,43.48,149.42,149.42,210.12,3621.49,7.11,7.1,8.3,39.51,12.71,100.0,60.49
2013-04-30,874.18,874.18,0.0,0.0,412.59,20.13,283.27,158.19,29.85,188.04,0.78,187.26,0.0,187.26,48.78,138.48,138.48,210.13,3786.7,6.59,6.58,8.3,39.51,12.71,100.0,60.49
2013-07-31,826.13,826.13,0.0,0.0,386.51,19.32,261.82,158.48,24.72,183.2,3.72,179.48,0.0,179.48,52.0,127.48,127.48,210.13,3767.84,6.07,6.06,8.3,39.51,12.71,100.0,60.49
2013-10-31,809.56,809.56,0.0,0.0,368.65,15.47,277.5,147.94,24.0,171.94,8.39,163.55,0.0,163.55,39.42,124.13,124.13,210.13,3506.62,5.91,5.9,8.3,39.51,12.71,100.0,60.49
2014-01-31,797.32,797.32,0.0,0.0,370.54,11.46,250.17,165.15,28.15,193.3,0.26,193.04,-6.44,186.6,47.03,139.57,139.57,210.14,3663.73,6.64,6.63,8.3,39.51,12.71,100.0,60.49
2014-06-30,779.9,779.9,0.0,0.0,360.61,8.85,249.25,161.19,30.18,191.37,1.43,189.94,0.0,189.94,54.97,134.97,134.97,210.14,3798.04,6.42,6.42,8.3,39.51,12.71,100.0,60.49
2014-09-30,760.55,760.55,0.0,0.0,353.25,8.36,237.91,161.03,38.14,199.17,2.99,196.18,0.0,196.18,52.24,143.94,143.94,210.15,3942.83,6.85,6.84,8.3,39.51,12.71,100.0,60.49
2014-12-31,748.62,748.62,0.0,0.0,375.72,7.72,232.27,132.91,44.64,177.55,1.09,176.46,0.0,176.46,31.69,144.77,144.77,210.15,4092.29,6.89,6.88,8.3,39.51,12.71,100.0,60.49
2015-03-31,737.35,737.35,0.0,0.0,366.19,8.14,242.63,120.39,49.07,169.46,0.4,169.06,0.0,169.06,39.7,129.36,129.36,210.15,3839.36,6.16,6.15,8.3,39.51,12.71,100.0,60.49
2015-06-30,737.89,737.89,8.29,-8.29,350.68,8.02,250.88,128.31,40.33,168.64,2.06,166.58,-10.44,156.13,47.02,109.12,109.12,210.15,4336.96,5.7,5.69,8.3,39.51,12.71,100.0,60.49
2015-09-30,755.9,755.9,17.68,-5.19,347.13,6.12,255.07,135.09,48.98,184.07,3.0,181.07,0.0,181.07,35.1,145.98,145.98,210.15,4073.04,6.96,6.94,0.0,0.0,0.0,0.0,0.0
2015-12-31,731.91,731.91,14.64,3.16,348.82,6.42,229.49,129.39,31.1,160.48,1.04,159.44,0.0,159.44,40.59,118.84,118.84,210.18,4194.27,5.66,5.65,0.0,0.0,0.0,0.0,0.0
2016-03-31,697.95,697.95,1.56,6.22,343.56,8.2,233.75,104.66,37.8,142.46,0.32,142.14,-31.63,110.51,27.31,83.2,83.2,210.19,4293.86,3.97,3.96,0.0,0.0,0.0,0.0,0.0
2016-06-30,713.39,713.39,0.02,4.08,336.63,5.7,241.74,125.22,44.19,169.41,1.49,167.91,0.0,167.91,39.61,128.31,128.31,210.2,4424.36,6.11,6.1,0.0,0.0,0.0,0.0,0.0
2016-09-30,763.71,763.71,0.0,0.02,343.83,6.99,258.61,154.25,53.02,207.27,0.21,207.05,-3.98,203.08,49.43,153.65,153.65,210.23,4606.75,7.32,7.3,0.0,0.0,0.0,0.0,0.0
2016-12-31,780.89,780.89,0.0,0.0,336.21,6.6,247.31,190.77,52.68,243.44,0.53,242.92,0.0,242.92,66.31,176.61,176.61,210.39,4275.66,8.41,8.38,0.0,0.0,0.0,0.0,0.0
2017-03-31,760.57,760.57,0.0,0.0,339.84,7.09,236.91,176.74,36.7,213.44,0.17,213.27,-0.82,212.45,46.0,166.44,166.44,210.42,4484.9,7.91,7.9,0.0,0.0,0.0,0.0,0.0
2017-06-30,785.99,785.99,0.0,0.0,349.48,7.8,246.0,182.72,36.38,219.1,0.21,218.89,0.0,218.89,54.09,164.8,164.8,193.07,3554.18,8.01,7.99,0.0,0.0,0.0,0.0,0.0
2017-09-30,805.7,805.7,0.0,0.0,341.28,8.08,252.65,203.69,29.3,232.98,1.91,231.08,0.0,231.08,58.4,172.67,172.67,193.17,3300.26,8.94,8.93,0.0,0.0,0.0,0.0,0.0
2017-12-31,827.87,827.87,0.0,0.0,342.7,8.0,263.99,213.17,22.97,236.15,0.86,235.29,0.0,235.29,52.03,183.26,183.26,193.2,3526.75,9.49,9.45,0.0,0.0,0.0,0.0,0.0
2018-03-31,855.31,855.31,0.0,0.0,358.09,7.91,261.72,227.6,32.97,260.56,2.26,258.31,-13.08,245.23,26.07,219.16,219.16,193.27,3714.16,11.34,11.27,0.0,0.0,0.0,0.0,0.0
2018-06-30,824.54,824.54,0.0,0.0,354.64,8.86,261.95,199.09,28.18,227.27,2.82,224.45,0.0,224.45,53.74,170.71,170.71,193.32,3784.54,0.0,8.75,0.0,0.0,0.0,0.0,0.0
2018-09-30,852.42,852.42,0.0,0.0,353.27,9.33,275.53,214.3,33.19,247.48,0.79,246.69,0.0,246.69,57.76,188.94,188.94,193.42,3403.17,0.0,9.66,0.0,0.0,0.0,0.0,0.0
2018-12-31,862.3,862.3,0.0,0.0,361.01,9.92,268.32,223.05,35.58,258.63,0.96,257.67,0.0,257.67,38.62,219.05,219.05,186.1,2818.97,11.34,11.23,0.0,0.0,0.0,0.0,0.0
2019-03-31,894.77,894.77,0.0,0.0,372.22,10.28,287.92,224.35,21.64,245.99,2.1,243.89,0.0,243.89,53.15,190.74,190.74,186.23,3077.4,10.25,10.15,0.0,0.0,0.0,0.0,0.0
2019-06-30,960.3,960.3,0.0,0.0,395.4,35.97,290.79,238.13,39.18,277.31,15.32,261.99,0.0,261.99,56.18,205.81,205.81,186.32,3215.58,11.05,10.95,0.0,0.0,0.0,0.0,0.0
2019-09-30,1048.79,1048.79,0.0,0.0,408.92,39.18,331.57,269.12,19.54,288.65,16.55,272.1,0.0,272.1,61.84,210.26,210.26,186.36,2802.99,11.28,11.19,0.0,0.0,0.0,0.0,0.0
2019-12-31,1128.53,1128.53,0.0,0.0,418.04,38.33,374.43,297.73,20.83,318.57,14.55,304.01,0.0,304.01,35.56,268.45,268.45,186.45,3073.02,14.4,14.3,0.0,0.0,0.0,0.0,0.0
2020-03-31,1209.53,1209.53,0.0,0.0,439.75,39.76,407.61,322.41,243.74,566.15,16.62,549.53,0.0,549.53,29.0,520.53,520.53,186.54,3490.66,27.91,27.74,0.0,0.0,0.0,0.0,0.0
2020-06-30,1133.01,1133.01,0.0,0.0,433.54,37.88,400.69,260.91,23.05,283.95,15.76,268.2,0.0,268.2,68.05,200.14,200.14,186.56,3734.27,10.73,10.68,0.0,0.0,0.0,0.0,0.0
2020-09-30,1405.64,1405.64,0.0,0.0,451.0,37.89,544.38,372.37,15.92,388.29,12.1,376.19,0.0,376.19,97.67,278.52,278.52,186.63,3432.66,14.93,14.77,0.0,0.0,0.0,0.0,0.0
2020-12-31,1482.95,1482.95,0.0,0.0,439.22,37.58,640.08,366.08,26.83,392.9,12.28,380.62,0.0,380.62,64.32,316.3,316.3,186.74,3776.07,16.94,16.73,0.0,0.0,0.0,0.0,0.0
2021-03-31,1539.66,1539.66,0.0,0.0,450.79,37.21,642.65,409.0,23.66,432.67,11.92,420.75,0.0,420.75,105.36,315.4,315.4,187.05,4123.0,16.87,16.65,0.0,0.0,0.0,0.0,0.0
2021-06-30,1602.95,1602.95,0.0,0.0,509.55,35.87,670.95,386.58,32.81,419.39,12.89,406.51,0.0,406.51,98.86,307.64,307.64,187.18,4424.65,16.44,16.22,0.0,0.0,0.0,0.0,0.0
2021-09-30,1780.31,1780.31,0.0,0.0,571.81,36.16,786.61,385.72,30.72,416.44,13.07,403.37,0.0,403.37,104.89,298.47,298.47,187.31,0.0,15.94,15.7,0.0,0.0,0.0,0.0,0.0
2021-12-31,1944.97,1944.97,0.0,0.0,613.86,38.04,879.89,413.19,26.8,439.99,17.57,422.41,0.0,422.41,105.13,317.28,317.28,187.48,3918.32,16.93,16.73,0.0,0.0,0.0,0.0,0.0
2022-03-31,2061.32,2061.32,0.0,0.0,702.1,39.32,949.68,370.22,32.89,403.11,15.18,387.93,0.0,387.93,76.07,311.85,311.85,187.83,4259.83,16.62,16.39,0.0,0.0,0.0,0.0,0.0
2022-06-30,2223.4,2223.4,0.0,0.0,702.34,41.44,1039.14,440.49,31.21,471.7,16.04,455.65,0.0,455.65,122.69,332.97,332.97,188.08,4542.94,17.72,17.54,0.0,0.0,0.0,0.0,0.0
2022-09-30,2370.57,2370.57,0.0,0.0,740.68,42.8,1152.93,434.16,30.2,464.36,18.76,445.6,0.0,445.6,112.3,333.31,333.31,188.15,3976.38,17.72,17.6,0.0,0.0,0.0,0.0,0.0
2022-12-31,2418.89,2418.89,0.0,0.0,725.86,45.08,1175.54,472.4,28.83,501.23,19.98,481.25,0.0,481.25,109.58,371.67,371.67,188.33,4357.53,19.74,19.64,0.0,0.0,0.0,0.0,0.0
2023-03-31,2411.78,2411.78,0.0,0.0,723.17,46.43,1152.05,490.13,28.25,518.38,18.93,499.46,0.0,499.46,123.54,375.92,375.92,188.41,4820.29,19.95,19.84,0.0,0.0,0.0,0.0,0.0
2023-06-30,2330.36,2330.36,0.0,0.0,695.63,47.38,1085.4,501.95,31.91,533.86,16.88,516.97,0.0,516.97,143.1,373.88,373.88,188.56,5292.56,19.84,19.75,0.0,0.0,0.0,0.0,0.0
2023-09-30,2284.71,2284.71,0.0,0.0,695.68,47.43,1022.25,519.35,28.69,548.05,16.89,531.16,0.0,531.16,158.92,372.24,372.24,188.59,4728.74,19.74,19.59,0.0,0.0,0.0,0.0,0.0
2023-12-31,2222.63,2222.63,0.0,0.0,665.78,49.6,982.21,525.04,33.0,558.04,16.7,541.34,0.0,541.34,139.59,401.75,401.75,188.77,5171.45,21.29,21.12,0.0,0.0,0.0,0.0,0.0
2024-03-31,2255.28,2255.28,0.0,0.0,703.38,48.47,1080.83,422.6,41.67,464.27,15.62,448.65,0.0,448.65,150.38,298.27,298.27,189.01,5531.97,15.79,15.66,0.0,0.0,0.0,0.0,0.0
2024-06-30,2318.19,2318.19,0.0,0.0,684.37,47.77,1071.55,514.49,48.92,563.42,15.76,547.66,0.0,547.66,132.96,414.7,414.7,189.1,5984.29,21.94,21.79,0.0,0.0,0.0,0.0,0.0
2024-09-30,2354.69,2354.69,0.0,0.0,701.36,48.69,1126.61,478.03,40.27,518.3,22.72,495.58,0.0,495.58,123.43,372.15,372.15,189.23,0.0,19.67,19.5,0.0,0.0,0.0,0.0,0.0
2024-12-31,2349.86,2349.86,0.0,0.0,695.48,48.47,1116.59,489.32,45.2,534.52,20.48,514.03,0.0,514.03,137.61,376.43,376.43,189.67,5659.55,19.87,19.72,0.0,0.0,0.0,0.0,0.0
