Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Intangible Assets Under Development,Inventories,Capital Goods,Trade/Other Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools"
2004-03-31,35.45,35.45,318.1,318.1,353.55,0.0,1.09,0.0,23.36,36.18,13.58,73.11,429.11,4.48,4.39,1.21,10.07,143.88,0.57,0.0,0.0,154.52,0.0,136.6,77.96,60.02,0.0,274.59,429.11,36.57,110.53,998.51,258.99,0.0,17.31,0.0,143.88,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,78.61,78.61,486.01,486.01,564.62,0.0,1.24,0.0,56.13,140.1,29.21,225.43,799.88,4.77,7.53,0.39,12.7,554.52,0.68,0.0,0.0,567.89,0.0,112.48,10.03,93.72,15.75,231.99,799.88,2.91,143.26,11557.95,243.99,0.0,54.04,0.0,554.52,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,8.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,161.02,161.02,371.69,371.69,532.7,0.0,1.55,0.0,76.11,73.91,59.93,209.95,744.21,6.29,11.45,0.42,18.15,459.74,2.36,0.0,0.0,480.25,0.0,127.53,19.93,112.5,4.0,263.96,744.21,23.72,159.72,17.97,365.7,0.0,134.17,0.0,459.74,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-31,210.04,210.04,3197.91,3197.91,3407.96,1.98,23.77,243.48,520.77,94.41,288.63,1147.29,4579.02,157.73,11.11,6.36,176.54,860.28,76.37,367.81,0.43,1481.44,1518.79,525.54,83.65,475.17,494.43,3097.58,4579.02,257.28,650.53,51.05,0.0,3005.67,134.19,0.0,860.28,0.0,1518.79,21.79,1.33,0.0,58.89,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-31,210.11,210.11,3422.01,3422.01,3632.12,2.16,14.95,269.03,582.55,52.21,541.44,1445.22,5092.29,110.34,10.37,0.0,132.63,860.28,83.39,288.33,17.19,1381.82,2118.18,621.29,156.3,403.94,410.77,3710.47,5092.29,332.37,625.74,82.95,0.0,3002.63,134.19,0.0,860.28,0.0,2118.18,12.79,11.93,0.0,7.38,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-31,210.13,210.13,3506.62,3506.62,3716.76,3.66,31.21,0.0,549.05,68.64,585.05,1202.74,4950.71,59.51,10.35,0.06,73.38,2032.63,68.79,518.14,15.74,2708.67,937.47,536.99,298.38,191.46,277.74,2242.03,4950.71,599.45,658.5,221.82,0.0,2899.88,134.19,0.0,2032.63,0.0,937.47,27.56,3.46,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,210.14,210.14,3644.63,3644.63,3854.77,6.12,10.18,0.0,476.1,68.9,280.28,825.28,4690.23,63.71,12.04,0.12,76.16,1831.92,64.83,531.2,32.32,2536.42,863.5,501.6,273.39,254.2,261.12,2153.81,4690.23,1987.48,235.66,221.76,0.0,1161.71,134.19,0.0,1831.92,0.0,863.5,4.05,0.29,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,210.15,210.15,3839.36,3839.36,4049.51,2.6,56.14,125.0,316.61,181.33,449.3,1072.24,5177.88,56.55,7.62,0.0,65.21,1540.86,60.16,592.58,105.16,2363.97,755.47,477.43,1053.36,263.49,264.15,2813.91,5177.88,2095.12,432.13,90.81,0.0,2458.09,134.19,0.0,1540.86,0.0,755.47,53.54,1.05,0.0,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,210.19,210.19,4293.86,4293.86,4504.05,61.68,76.1,132.51,358.43,212.66,45.54,749.14,5329.3,43.42,6.05,0.0,50.57,1671.12,86.35,97.48,544.42,2449.95,1258.47,501.29,495.63,159.52,460.34,2879.35,5329.3,1460.36,489.75,205.52,0.0,2384.96,134.19,0.0,1671.12,0.0,1258.47,14.43,1.09,4.1,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,210.42,210.42,4484.9,4484.9,4695.33,54.68,54.68,0.0,429.77,166.71,28.71,625.19,5375.2,62.85,14.66,0.0,77.71,1542.57,29.14,109.47,564.39,2323.29,1470.65,707.58,252.05,149.79,471.84,3051.91,5375.2,1005.52,558.1,0.0,0.0,2501.7,134.19,0.0,1542.57,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
