Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,86.47,7.85,94.33,9.05,13.7,51.61,19.96,5.87,25.83,17.66,8.17,0.0,8.17,0.0,8.17,8.17,483.44,0.17,0.17,27.55,56.99,0.0,0.0,0.0
2012-12-31,107.58,11.21,118.79,9.53,13.82,52.46,42.97,2.77,45.74,9.75,35.99,0.0,35.99,0.0,35.99,35.99,483.44,0.74,0.74,27.55,56.99,0.0,0.0,0.0
2013-03-31,114.1,10.37,124.47,10.14,13.98,57.35,43.0,1.86,44.86,9.48,35.38,0.0,35.38,0.0,35.38,35.38,483.44,0.73,0.73,27.55,56.99,0.0,0.0,0.0
2013-06-30,113.05,8.93,121.99,10.88,15.09,56.16,39.85,4.87,44.73,9.49,35.24,0.0,35.24,0.0,35.24,35.24,483.44,0.73,0.73,27.55,56.99,20.79,100.0,43.01
2013-09-30,117.98,8.25,126.24,11.19,14.92,53.64,46.49,7.37,53.86,9.77,44.09,0.0,44.09,0.0,44.09,44.09,483.44,0.91,0.91,27.55,56.99,20.79,100.0,43.01
2013-12-31,128.51,16.73,145.24,9.84,16.8,51.9,66.7,2.66,69.37,8.69,60.68,16.38,77.06,0.0,77.06,77.06,483.44,1.59,1.59,27.55,56.99,20.79,100.0,43.01
2014-03-31,144.09,12.12,156.2,13.15,17.39,51.51,74.16,5.48,79.64,8.39,71.24,-10.22,61.02,0.0,61.02,61.02,483.44,1.26,1.26,27.55,56.99,20.79,100.0,43.01
2014-06-30,155.82,12.45,168.27,13.13,17.08,56.25,81.8,7.02,88.82,8.29,80.53,0.0,80.53,0.0,80.53,80.53,483.44,1.67,1.67,27.55,56.99,20.79,100.0,43.01
2014-09-30,157.15,12.97,170.12,11.37,16.35,62.86,79.54,19.19,98.72,9.2,89.53,0.0,89.53,0.0,89.53,89.53,483.44,1.85,1.85,27.55,56.99,20.79,100.0,43.01
2014-12-31,169.59,14.9,184.49,11.84,16.27,72.13,84.25,5.12,89.37,0.06,89.32,0.0,89.32,0.0,89.32,89.32,483.44,1.85,1.85,27.55,56.99,20.79,100.0,43.01
2015-03-31,165.54,22.46,188.0,12.25,16.19,63.12,96.44,5.12,101.56,0.09,101.47,-34.58,66.89,0.0,66.89,66.89,483.44,2.1,1.38,27.55,56.99,20.79,100.0,43.01
2015-06-30,172.87,11.76,184.63,12.97,24.01,73.08,74.58,5.87,80.44,0.03,80.42,0.0,80.42,0.0,80.42,80.42,483.44,1.66,1.66,27.55,56.99,20.79,100.0,43.01
2015-09-30,140.42,8.71,149.13,13.82,22.72,58.88,53.71,7.14,60.85,0.04,60.81,60.41,121.22,68.11,53.11,53.11,483.44,1.1,1.1,27.55,56.99,20.79,100.0,43.01
2015-12-31,152.13,13.29,165.42,12.83,24.95,52.46,75.18,6.42,81.6,0.05,81.55,0.0,81.55,28.25,53.3,53.3,483.44,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,154.1,6.88,160.99,7.48,24.69,54.37,74.45,6.48,80.93,0.05,80.88,0.0,80.88,31.05,49.83,49.83,483.44,1.03,1.03,0.0,0.0,0.0,0.0,0.0
2016-06-30,154.67,12.52,167.19,12.87,25.09,54.1,75.13,6.62,81.75,0.04,81.71,0.0,81.71,21.96,59.75,59.75,483.44,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2016-09-30,163.95,8.23,172.18,12.47,27.99,61.13,70.6,11.95,82.55,0.24,82.3,0.0,82.3,22.89,59.42,59.42,483.44,1.23,1.23,0.0,0.0,0.0,0.0,0.0
2016-12-31,154.75,14.41,169.16,11.24,27.49,53.57,76.85,10.87,87.72,0.07,87.65,0.0,87.65,23.11,64.54,64.54,483.44,1.34,1.34,0.0,0.0,0.0,0.0,0.0
2017-03-31,156.74,17.83,174.57,11.84,25.95,48.06,88.73,6.68,95.41,0.05,95.36,0.0,95.36,29.16,66.2,66.2,483.44,1.37,1.37,0.0,0.0,0.0,0.0,0.0
