Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Hybrid/Debt/Other Securities,Foreign Currency Monetary Item Translation Difference A/C,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,141.36,0.0,141.36,74.38,74.38,215.73,0.0,111.85,48.02,0.0,0.0,159.87,53.37,136.37,25.14,5.92,220.79,596.39,266.12,0.0,11.28,0.0,0.0,277.41,8.41,0.0,0.0,296.2,0.0,90.99,111.58,60.75,36.88,0.0,300.19,596.39,48.26,19.84,0.0,356.73,0.0,0.0,8.41,0.0,0.0,496.6,0.0,0.0,0.0,0.0,0.0,10.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,53.54,22.11,75.64,217.21,217.21,292.85,0.0,299.93,55.51,0.0,0.0,355.44,84.75,759.44,5.54,13.48,863.2,1511.49,397.49,0.0,137.65,0.0,0.0,535.13,5.29,0.0,0.0,542.08,0.0,375.68,262.33,246.1,85.3,0.0,969.41,1511.49,110.6,147.73,0.0,618.17,64.98,0.0,5.29,0.0,0.0,675.47,0.0,0.0,100.14,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,64.42,22.11,86.53,408.26,408.26,494.78,6.85,634.54,70.48,0.0,0.0,705.02,168.16,894.94,8.16,36.17,1107.43,2314.08,649.03,0.0,362.25,0.0,0.0,1011.28,0.0,0.0,0.0,1011.67,0.0,542.89,306.98,306.66,145.89,0.0,1302.41,2314.08,462.58,142.47,0.0,998.13,50.35,0.0,0.0,0.0,0.0,978.44,0.0,0.0,113.01,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,69.91,0.0,69.91,576.77,576.77,646.68,6.85,1461.68,79.81,0.0,0.0,1541.49,52.95,996.98,12.0,46.86,1108.79,3303.81,723.47,0.0,921.37,0.0,0.0,1644.83,25.63,0.0,0.0,1670.88,0.0,513.52,584.94,343.39,190.93,0.16,1632.93,3303.81,783.98,132.73,3.08,1077.92,10.07,0.0,25.63,0.0,0.0,1391.41,0.0,0.0,89.22,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,88.88,0.0,88.88,1400.59,1400.59,1489.47,88.69,1439.64,179.94,0.0,0.0,1619.58,363.46,1492.68,178.75,67.7,2102.59,5300.33,1995.72,0.0,424.97,0.0,0.0,2420.69,390.47,0.0,0.0,2817.31,0.0,1287.84,725.91,120.77,348.5,0.0,2483.02,5300.33,815.82,359.4,2.62,1954.59,73.85,326.08,65.53,0.0,0.0,2589.68,0.0,0.0,234.28,0.0,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,93.25,0.0,93.25,1451.06,1451.06,1544.3,0.0,1370.97,253.13,0.0,0.0,1624.1,802.77,3702.82,57.9,60.03,4623.52,7791.92,2268.48,22.55,380.32,0.0,0.0,2671.35,171.84,0.0,0.0,2847.55,0.0,2323.64,583.86,919.37,1117.5,0.0,4944.37,7791.92,880.66,691.41,3.36,1754.07,270.77,116.76,65.26,0.0,0.0,4182.76,0.0,0.0,116.97,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,102.16,0.0,102.16,2644.14,2644.14,2746.3,0.0,1299.96,302.48,0.0,0.0,1602.44,679.0,1513.41,146.92,113.48,2452.81,6801.55,2440.07,23.36,401.12,0.0,0.0,2864.55,279.61,0.0,0.0,3151.18,0.0,1304.29,804.09,921.24,620.76,0.0,3650.38,6801.55,1045.14,389.63,3.36,2219.06,87.36,110.41,169.85,0.0,0.0,2205.72,0.0,0.0,114.76,0.0,0.0,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,102.33,0.0,102.33,2950.36,2950.36,3052.69,0.0,2522.9,343.14,156.16,9.36,3031.56,137.9,1202.62,676.19,177.51,2194.23,8285.0,2470.17,34.46,495.14,0.0,0.0,2999.77,481.22,316.57,0.0,3797.56,1289.12,1315.64,884.13,616.47,304.98,77.1,4487.43,8285.0,4130.68,224.09,4.47,2205.47,71.88,3.76,477.74,1292.88,0.0,2213.15,94.65,906.21,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,113.89,0.0,113.89,3481.33,3481.33,3595.23,0.0,2283.88,354.51,241.74,13.95,2894.09,292.82,2536.14,800.84,149.99,3779.79,11057.47,3027.54,25.86,197.95,0.0,0.0,3251.35,1465.94,417.55,7.63,5142.47,1938.0,1649.85,1092.76,640.94,437.23,123.93,5882.71,11057.47,4635.08,400.45,4.42,2524.3,105.38,3.14,1462.46,1965.15,0.0,3285.41,56.77,760.48,228.7,788.38,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,131.47,0.0,131.47,4271.5,4271.5,4402.98,0.0,2605.37,389.39,176.43,13.05,3184.24,117.79,1908.33,675.17,112.26,2813.54,10400.75,2962.18,21.62,178.48,0.0,0.0,3162.29,1959.38,305.13,0.0,5426.8,1690.83,1474.19,977.08,432.86,232.01,166.99,4973.95,10400.75,4740.01,511.24,1.11,2099.32,580.89,3.96,1955.99,1710.73,0.0,2888.47,1016.86,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
