Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Hybrid/Debt/Other Securities,Foreign Currency Monetary Item Translation Difference A/C,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,131.47,0.0,131.47,1822.17,1822.17,1953.64,0.0,1942.32,363.15,99.76,3.61,2408.83,161.51,510.03,894.22,70.39,1636.15,5998.62,2966.39,17.27,93.92,0.0,0.0,3077.58,367.04,138.62,5.95,3589.19,1114.25,529.15,392.2,49.76,146.38,177.69,2409.43,5998.62,4947.95,302.98,2.86,1130.4,14.53,3.87,363.64,1139.39,0.0,1459.81,20.94,502.23,27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,131.59,0.0,131.59,1737.87,1737.87,1869.46,0.0,1877.96,344.87,62.5,30.18,2315.5,188.15,2191.35,349.97,75.63,2805.1,6990.07,2795.17,12.45,22.98,0.0,0.0,2830.61,251.41,85.91,1.76,3169.69,778.33,827.23,1740.76,197.52,227.57,48.96,3820.38,6990.07,3304.9,77.24,2.45,1020.37,13.77,3.37,247.93,696.18,95.62,2449.51,5.48,947.7,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,132.61,0.0,132.61,1702.85,1702.85,1835.46,0.0,1602.55,303.88,153.86,34.06,2094.35,186.52,1339.23,415.06,24.8,1965.6,5895.41,2584.44,11.5,25.38,0.0,0.0,2621.33,178.06,103.81,2.64,2905.84,718.36,792.2,982.49,144.63,301.15,50.76,2989.58,5895.41,3489.04,64.96,2.45,855.67,3.99,1.45,174.59,624.29,95.26,1818.33,6.26,670.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,132.61,0.0,132.61,1677.01,1677.01,1809.62,0.0,1172.5,201.92,365.36,35.03,1774.81,213.61,1934.29,543.43,16.85,2708.18,6292.6,2362.71,7.17,24.25,7.26,0.12,2401.51,236.54,25.61,122.64,2786.29,501.86,1327.03,1322.97,114.88,0.6,238.97,3506.31,6292.6,0.0,0.0,0.0,0.0,0.0,1.8,185.07,463.99,37.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,132.61,0.0,132.61,1783.1,1783.1,1915.72,0.0,604.85,223.67,365.11,39.25,1232.87,0.78,1828.42,508.55,19.22,2356.97,5505.55,2185.13,11.9,12.15,2.13,0.82,2212.13,239.06,35.41,129.24,2615.84,328.37,1020.16,1108.68,195.76,0.56,236.18,2889.71,5505.55,0.0,2589.01,0.0,0.0,789.46,1.99,187.4,326.83,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,132.61,0.0,132.61,1504.4,1504.4,1637.01,0.0,537.1,98.53,132.02,32.51,800.16,175.0,1015.01,744.69,25.5,1960.2,4397.36,757.47,10.51,39.93,0.5,5.06,813.47,279.22,24.7,68.05,1185.44,336.29,300.83,722.65,171.57,0.46,1680.13,3211.93,4397.36,2740.39,2461.16,0.0,0.0,818.11,1.62,217.23,313.73,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,130.44,0.0,130.44,1429.97,1429.97,1560.41,0.0,510.64,89.35,138.45,67.39,805.83,250.19,749.13,1472.27,31.8,2503.39,4869.63,800.62,8.89,66.57,0.81,7.54,884.43,96.64,16.27,41.17,1038.51,409.77,1386.65,571.9,163.43,24.55,1274.82,3831.12,4869.63,3466.68,2602.91,0.0,0.0,1372.2,1.24,60.49,57.8,351.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,130.44,0.0,130.44,2575.49,2575.49,2705.93,0.65,434.35,12.06,472.88,71.83,991.12,96.81,485.96,859.89,30.95,1473.61,5171.32,1071.9,7.06,10.34,0.0,14.96,1104.25,583.29,0.0,46.84,1734.38,1140.09,552.42,606.45,121.69,6.27,1010.02,3436.94,5171.32,3989.21,1135.97,0.0,0.0,2519.78,332.81,219.67,0.0,1140.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,130.48,351.51,481.99,2923.93,2923.93,3405.92,0.0,438.79,9.05,91.8,52.98,592.61,521.15,966.74,916.91,29.9,2434.71,6433.23,987.34,4.25,4.24,0.9,15.64,1012.38,1348.85,88.63,116.49,2566.35,1397.31,790.07,801.48,375.31,249.34,253.38,3866.89,6433.23,2487.78,1313.93,0.0,0.0,1328.17,403.09,1065.08,0.0,1397.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,130.77,0.0,130.77,3341.56,3341.56,3472.33,0.0,239.26,41.07,63.59,5.04,348.96,1259.93,715.09,1039.8,80.19,3095.01,6916.3,931.29,3.7,3.28,0.0,18.62,956.89,1594.69,405.06,41.96,2998.6,824.65,1544.64,788.21,507.47,0.17,252.56,3917.7,6916.3,4072.07,2180.5,0.0,0.0,2642.14,283.65,847.21,0.0,824.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,130.83,0.0,130.83,3433.04,3433.04,3563.87,0.0,1130.95,121.62,129.95,5.42,1387.94,114.92,1666.55,952.17,76.38,2810.02,7761.83,2234.21,7.22,18.08,1.63,29.62,2290.76,1119.05,101.5,99.11,3610.42,353.34,1372.69,1650.9,341.05,115.42,318.01,4151.41,7761.83,3648.01,2289.0,0.0,0.0,2525.0,283.65,835.4,0.0,353.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
