Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-03-31,920.99,0.0,920.99,625.57,0.0,-2.15,21.56,17.77,0.0,164.24,94.0,8.32,102.32,10.56,91.76,91.76,17.33,74.43,74.43,34.47,4.32,4.32,0.0,0.0,0.0,0.0,0.0
2019-06-30,911.52,0.0,911.52,607.5,0.0,23.33,30.29,21.2,0.0,136.92,92.28,5.78,98.06,12.7,85.36,85.36,20.7,64.66,64.66,34.47,3.75,3.75,0.0,0.0,0.0,0.0,0.0
2019-09-30,862.99,0.0,862.99,610.87,0.0,-30.48,36.62,21.82,0.0,117.26,106.9,4.9,111.8,9.08,102.72,102.72,25.67,77.05,77.05,34.47,4.47,4.47,0.0,0.0,0.0,0.0,0.0
2019-12-31,768.65,0.0,768.65,499.46,0.0,17.66,33.9,22.27,0.0,97.41,97.95,5.17,103.12,10.64,92.48,92.48,22.86,69.62,69.62,34.47,4.04,4.04,0.0,0.0,0.0,0.0,0.0
2020-03-31,700.38,0.0,700.38,467.89,0.0,-6.7,33.57,25.3,0.0,106.28,74.04,8.28,82.32,12.04,70.28,70.28,-1.88,72.16,72.16,34.47,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2020-06-30,359.53,0.0,359.53,238.42,0.0,-3.52,31.09,27.07,0.0,54.96,11.51,2.54,14.05,11.37,2.68,2.68,0.37,2.31,2.31,34.47,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2020-09-30,663.86,0.0,663.86,410.34,0.0,23.35,32.22,27.31,0.0,92.57,78.07,0.87,78.94,6.47,72.47,72.47,14.92,57.55,57.55,34.47,3.34,3.34,0.0,0.0,0.0,0.0,0.0
2020-12-31,769.4,0.0,769.4,410.78,0.0,18.31,34.21,27.79,0.0,117.73,160.58,1.79,162.37,7.96,154.41,154.41,29.38,125.03,125.03,34.47,7.25,7.25,0.0,0.0,0.0,0.0,0.0
2021-03-31,866.73,0.0,866.73,525.6,0.0,-12.91,34.65,27.95,0.0,133.15,158.29,10.59,168.88,8.08,160.8,160.8,33.42,127.38,127.38,34.47,7.39,7.39,0.0,0.0,0.0,0.0,0.0
2021-06-30,1003.85,0.0,1003.85,679.28,0.0,-7.35,35.86,29.19,0.0,132.14,134.73,3.33,138.06,7.61,130.45,130.45,26.14,104.31,104.31,34.47,6.05,6.05,0.0,0.0,0.0,0.0,0.0
2021-09-30,1067.6,0.0,1067.6,746.11,0.0,-28.77,41.34,30.4,0.0,122.12,156.4,3.31,159.71,7.66,152.05,152.05,30.53,121.52,121.52,34.47,7.05,7.05,0.0,0.0,0.0,0.0,0.0
2021-12-31,1156.14,0.0,1156.14,844.51,0.0,-4.19,39.75,30.8,0.0,107.98,137.29,8.4,145.69,6.93,138.76,138.76,27.72,111.04,111.04,37.75,5.91,5.91,0.0,0.0,0.0,0.0,0.0
2022-03-31,1218.83,0.0,1218.83,899.22,0.0,4.99,41.77,30.49,0.0,136.08,106.28,11.69,117.97,6.89,111.08,111.08,20.81,90.27,90.27,37.75,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2022-06-30,1409.07,0.0,1409.07,1027.21,0.0,-1.54,47.1,37.44,0.0,140.77,158.09,11.22,169.31,8.85,160.46,160.46,34.55,125.91,125.91,37.75,3.34,3.34,0.0,0.0,0.0,0.0,0.0
2022-09-30,1627.85,0.0,1627.85,1309.26,0.0,-50.57,48.76,32.68,0.0,131.75,155.97,3.35,159.32,10.97,148.35,148.35,32.18,116.17,116.17,37.75,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2022-12-31,1463.16,0.0,1463.16,1063.02,94.94,-19.28,47.72,33.0,0.0,108.43,135.33,7.83,143.16,14.98,128.18,128.18,28.01,100.17,100.17,37.75,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2023-03-31,1373.81,0.0,1373.81,956.85,0.0,67.5,46.69,33.48,0.0,118.85,150.44,16.01,166.45,18.61,147.84,147.84,46.0,101.84,101.84,37.75,2.7,2.7,0.0,0.0,0.0,0.0,0.0
2023-06-30,1297.29,0.0,1297.29,879.57,0.0,19.6,50.28,34.58,0.0,136.79,176.47,2.88,179.35,17.57,161.78,161.78,43.71,118.07,118.07,37.75,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2023-09-30,1398.3,0.0,1398.3,1018.59,0.0,-40.69,50.35,37.77,0.0,135.38,196.9,1.37,198.27,17.15,181.12,181.12,48.76,132.36,132.36,37.75,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2023-12-31,1485.28,0.0,1485.28,1076.09,0.0,-35.55,55.34,38.45,0.0,134.9,216.05,3.88,219.93,22.38,197.55,197.55,53.1,144.45,144.45,37.75,3.83,3.83,0.0,0.0,0.0,0.0,0.0
2024-03-31,1493.45,0.0,1493.45,996.96,0.44,30.33,48.98,39.73,0.0,150.4,226.61,22.85,249.46,69.1,180.36,180.36,41.95,138.41,138.41,37.75,3.67,3.67,0.0,0.0,0.0,0.0,0.0
2024-06-30,1491.02,0.0,1491.02,973.9,12.68,19.87,56.9,37.85,0.0,160.23,229.59,7.25,236.84,72.72,164.12,164.12,47.84,116.28,116.28,37.75,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2024-09-30,1536.09,0.0,1536.09,1098.84,20.31,-49.95,54.8,38.94,0.0,138.88,234.27,2.37,236.64,68.8,167.84,167.84,38.8,129.04,129.04,37.75,3.42,3.41,0.0,0.0,0.0,0.0,0.0
2024-12-31,1430.02,0.0,1430.02,1023.42,2.47,-34.84,63.18,38.99,0.0,131.51,205.29,7.95,213.24,67.46,145.78,145.78,34.79,110.99,110.99,37.75,2.94,2.93,0.0,0.0,0.0,0.0,0.0
2025-03-31,1447.5,0.0,1447.5,1011.75,1.16,12.98,69.98,41.2,0.0,136.97,173.46,22.25,195.71,69.18,126.53,126.53,31.78,94.75,94.75,37.75,2.51,2.5,0.0,0.0,0.0,0.0,0.0
