Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,544.16,1.32,545.48,462.3,0.0,-15.96,14.14,13.78,14.77,55.71,0.74,2.22,2.96,17.44,-14.48,-14.48,-15.24,0.76,0.76,34.47,0.22,0.22,1.65,47.74,1.8,100.0,52.26
2013-03-31,534.53,0.84,535.37,386.37,0.0,21.2,12.6,12.62,15.76,69.86,16.96,2.08,19.04,17.58,1.46,1.46,-3.48,4.94,4.94,34.47,1.43,1.43,1.65,47.74,1.8,100.0,52.26
2013-06-30,526.18,0.17,526.35,450.48,0.0,-23.41,16.35,13.24,15.19,89.44,-34.94,3.49,-31.45,16.8,-48.25,-48.25,3.54,-51.79,-51.79,34.47,-15.02,-15.02,1.65,47.74,1.8,100.0,52.26
2013-09-30,596.29,0.25,596.54,451.82,0.0,20.86,19.67,13.39,16.88,84.46,-10.54,3.78,-6.76,17.9,-24.66,-24.66,-3.3,-21.36,-21.36,34.47,-6.2,-6.2,1.63,47.35,1.81,100.0,52.65
2013-12-31,559.86,0.57,560.43,494.82,0.0,-53.81,16.8,13.7,14.48,69.96,4.48,4.06,8.54,25.47,-16.93,-16.93,-1.45,-15.48,-15.48,34.47,-4.49,-4.49,1.62,46.92,1.83,100.0,53.08
2014-03-31,593.77,0.37,594.14,458.93,0.0,30.82,10.09,13.41,17.08,45.29,18.52,9.18,27.7,25.77,1.93,1.93,-0.1,2.03,2.03,34.47,0.59,0.59,1.6,46.54,1.84,100.0,53.46
2014-06-30,609.4,0.98,610.38,473.94,0.0,17.33,17.28,14.8,17.73,42.41,26.89,2.71,29.6,27.03,2.57,2.57,1.52,1.05,1.05,34.47,0.3,0.3,1.6,46.54,1.84,100.0,53.46
2014-09-30,659.31,1.02,660.33,513.48,0.0,-3.89,19.85,15.65,21.67,66.46,27.11,3.02,30.13,24.75,5.38,5.38,1.24,4.14,4.14,34.47,1.2,1.2,1.6,46.54,1.84,100.0,53.46
2014-12-31,606.65,0.47,607.12,481.44,0.0,-19.17,17.39,15.31,17.61,64.09,30.45,2.31,32.76,21.95,10.81,10.81,3.83,6.98,6.98,34.47,2.03,2.03,1.6,46.44,1.85,100.0,53.56
2015-03-31,591.88,0.48,592.36,395.55,32.94,48.82,15.64,11.77,16.26,61.12,10.26,6.38,16.64,21.07,-4.43,-4.43,-4.9,0.47,0.47,34.47,0.14,0.14,1.6,46.44,1.85,100.0,53.56
2015-06-30,476.73,0.66,477.39,322.95,0.0,33.67,18.03,14.76,17.65,43.94,26.39,2.39,28.78,23.43,5.35,5.35,2.99,2.36,2.36,34.47,0.68,0.68,1.6,46.44,1.85,100.0,53.56
2015-09-30,504.77,0.42,505.19,363.75,0.0,-2.04,22.86,14.99,16.54,58.37,30.72,2.67,33.39,20.93,12.46,12.46,7.07,5.39,5.39,34.47,1.56,1.56,1.6,46.44,1.85,100.0,53.56
2015-12-31,455.93,0.23,456.16,324.46,0.0,-10.31,18.44,14.97,16.26,66.5,25.84,7.43,33.27,14.07,19.2,19.2,10.9,8.3,8.3,34.47,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2016-03-31,455.22,0.76,455.98,280.3,17.48,14.29,14.02,10.25,18.21,74.27,27.16,5.35,32.51,12.48,20.03,20.03,13.22,6.81,6.81,34.47,1.98,1.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,382.54,0.42,382.96,261.82,0.0,21.27,19.47,15.1,17.47,9.92,37.91,3.52,41.43,12.8,28.63,28.63,16.61,12.02,12.02,34.47,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2016-09-30,460.7,0.21,460.91,295.48,0.0,-1.98,27.57,15.26,16.45,65.29,42.84,4.35,47.19,12.99,34.2,34.2,19.02,15.18,15.18,34.47,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2016-12-31,483.92,1.55,485.47,316.39,0.0,-7.5,20.38,15.26,20.21,71.2,49.53,4.26,53.79,11.61,42.18,42.18,24.71,17.47,17.47,34.47,5.07,5.07,0.0,0.0,0.0,0.0,0.0
2017-03-31,549.98,8.02,558.0,347.57,0.0,3.49,14.22,15.0,0.0,100.4,77.32,0.0,77.32,13.98,63.34,63.34,35.2,28.14,28.14,34.47,8.16,8.16,0.0,0.0,0.0,0.0,0.0
2017-06-30,583.92,0.0,583.92,380.05,0.0,8.48,20.49,14.95,0.0,82.38,77.57,1.54,79.11,12.81,66.3,66.3,18.14,48.16,48.16,34.47,13.97,13.97,0.0,0.0,0.0,0.0,0.0
2017-09-30,597.58,0.0,597.58,374.03,0.0,7.53,27.79,15.22,0.0,93.61,79.4,3.62,83.02,11.6,71.42,71.42,20.64,50.78,50.78,34.47,14.73,14.73,0.0,0.0,0.0,0.0,0.0
2017-12-31,612.4,0.0,612.4,392.7,0.0,-3.95,28.02,15.22,0.0,98.68,81.73,3.55,85.28,6.8,78.48,78.48,21.89,56.59,56.59,34.47,16.42,16.42,0.0,0.0,0.0,0.0,0.0
2018-03-31,753.01,0.0,753.01,504.11,0.0,-3.64,20.88,15.13,0.0,129.7,86.83,11.02,97.85,10.23,87.62,87.62,13.37,74.25,74.25,34.47,21.54,21.54,0.0,0.0,0.0,0.0,0.0
2018-06-30,781.42,0.0,781.42,514.65,0.0,-22.64,24.81,15.47,0.0,107.61,141.52,3.19,144.71,7.59,137.12,137.12,39.58,97.54,97.54,34.47,5.66,5.66,0.0,0.0,0.0,0.0,0.0
2018-09-30,880.26,0.0,880.26,572.19,0.0,-20.44,34.71,17.5,0.0,118.55,157.75,3.18,160.93,7.35,153.58,153.58,45.61,107.97,107.97,34.47,6.26,6.26,0.0,0.0,0.0,0.0,0.0
2018-12-31,945.89,0.0,945.89,639.55,0.0,-10.17,29.84,15.64,0.0,107.92,163.11,4.1,167.21,10.88,156.33,156.33,47.75,108.58,108.58,34.47,6.3,6.3,0.0,0.0,0.0,0.0,0.0
