Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Money Received Against Share Warrants,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2005-03-31,17.75,17.75,90.25,90.25,108.0,152.87,46.83,0.0,0.0,199.7,197.89,169.34,1.72,34.97,403.92,711.62,292.84,2.07,3.14,0.0,298.05,21.7,0.0,1.44,335.09,0.0,103.54,167.95,25.08,79.96,0.0,376.53,711.62,33.64,11.76,188.32,0.0,3.69,40.62,0.0,0.0,13.9,0.0,485.61,0.0,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,17.75,17.75,76.45,76.45,94.21,149.81,49.86,0.0,0.0,199.68,207.15,223.09,1.71,30.59,462.55,756.44,276.62,2.07,3.51,0.0,282.2,29.07,0.0,1.29,334.07,0.0,91.09,223.73,31.14,76.4,0.0,422.36,756.44,6.22,21.0,129.61,0.0,3.69,39.83,0.0,0.0,21.51,0.0,388.94,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,25.25,25.25,136.08,136.08,161.33,154.82,48.24,0.0,0.0,203.06,95.03,273.34,1.54,5.91,375.83,744.69,258.23,2.07,21.08,0.0,281.38,28.06,0.0,1.03,315.34,0.0,114.86,233.67,42.16,38.66,0.0,429.35,744.69,88.54,19.81,222.49,2.78,3.69,63.11,0.0,0.0,4.87,0.0,875.58,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,25.25,25.25,213.07,213.07,238.33,171.08,46.25,0.0,0.0,217.34,119.08,269.54,4.44,11.82,404.88,865.02,242.83,2.07,130.51,0.0,375.41,28.06,0.0,0.88,415.3,0.0,155.28,217.57,15.06,61.8,0.0,449.72,865.02,124.63,14.01,219.66,2.78,3.69,49.11,0.0,0.0,10.95,0.0,579.4,0.0,9.53,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.25,28.25,189.93,189.93,218.19,388.74,37.31,0.0,0.0,426.05,36.36,386.11,9.04,2.31,433.82,1078.06,225.91,2.07,382.77,0.0,610.75,37.76,0.0,0.72,684.83,0.0,120.97,180.76,7.13,84.36,0.0,393.23,1078.06,127.49,23.52,255.67,0.0,3.69,37.5,0.26,0.0,35.6,0.0,769.98,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.25,28.25,296.15,296.15,324.41,347.18,63.81,0.0,0.0,410.99,207.85,484.88,3.19,20.19,716.11,1451.51,591.09,2.07,92.31,0.0,685.47,37.78,0.0,0.0,777.46,0.0,196.62,294.97,33.03,147.98,1.45,674.05,1451.51,46.36,7.1,176.48,0.0,3.69,75.73,0.28,0.0,54.21,0.0,828.29,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,33.22,33.22,482.96,482.96,522.3,214.19,56.9,0.58,3.63,275.3,229.74,557.29,117.75,19.7,924.47,1722.07,578.3,0.0,179.26,0.0,757.56,57.62,38.3,55.0,908.47,0.0,255.33,362.55,65.25,100.99,29.49,813.6,1722.07,35.1,7.81,324.56,0.0,3.69,0.86,57.43,0.0,0.0,6.13,1026.49,2.07,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,34.47,34.47,577.3,577.3,611.77,170.24,72.87,0.59,2.92,246.62,484.56,610.36,119.53,17.33,1231.78,2090.17,714.37,0.0,97.98,0.0,812.36,72.37,44.41,76.2,1005.33,0.0,360.34,547.34,13.48,145.68,17.99,1084.84,2090.17,69.0,14.72,642.99,0.0,3.69,0.68,72.18,0.0,0.0,0.0,1448.12,6.64,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,34.47,34.47,554.64,554.64,589.11,196.43,52.65,0.59,3.03,252.69,621.94,714.92,114.05,2.95,1453.86,2295.66,752.78,0.0,159.04,0.0,911.82,72.37,47.32,75.38,1106.89,0.0,499.39,518.16,66.72,96.48,8.02,1188.77,2295.66,56.94,20.98,585.28,0.0,3.69,0.56,72.18,0.0,0.0,0.0,1479.57,0.65,19.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,34.47,34.47,468.04,468.04,502.51,400.1,29.85,0.59,3.61,434.16,611.29,446.76,124.04,1.96,1184.05,2120.72,856.46,1.15,67.36,0.0,924.97,72.37,36.39,53.89,1087.62,0.0,428.74,517.04,8.9,65.72,12.7,1033.1,2120.72,65.55,23.54,643.53,0.0,3.69,0.58,72.18,0.0,0.0,0.0,1373.27,0.53,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
