Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Loans And Advances,Current Investments,Capital Goods,Intangible Assets,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,37.37,37.37,929.18,929.18,0.0,966.55,0.0,0.0,0.0,0.0,0.0,217.77,32.2,249.98,1216.52,91.83,11.36,0.0,103.18,54.79,0.2,0.0,158.17,401.62,527.58,129.16,0.0,1058.35,1216.52,9.86,235.24,0.0,245.93,423.78,31.06,3.59,54.79,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,37.44,37.44,1087.75,1087.75,0.0,1125.19,0.0,0.0,0.0,0.0,0.0,355.86,46.09,401.95,1527.13,102.01,8.56,0.0,140.71,42.54,0.12,0.0,183.38,620.08,539.39,184.29,0.0,1343.76,1527.13,6.9,278.35,2.19,879.42,1.04,31.06,3.46,39.23,0.0,0.0,0.0,0.0,30.14,13.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,38.14,38.14,1324.59,1324.59,0.0,1362.73,0.0,0.0,0.0,0.0,0.0,441.64,48.91,490.55,1853.28,122.18,58.14,0.0,221.53,41.35,7.08,0.0,269.96,742.86,557.99,282.47,0.0,1583.32,1853.28,80.11,348.7,2.64,1105.8,2.5,31.06,3.36,38.04,0.0,0.0,0.0,0.0,41.21,14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,41.64,41.64,2316.66,2316.66,0.0,2358.31,40.17,0.0,0.0,0.0,0.0,593.04,35.33,628.37,3026.85,108.11,127.07,0.0,276.39,609.22,13.14,0.0,898.74,1041.94,500.75,576.95,8.46,2128.1,3026.85,187.53,464.05,28.06,1494.94,0.22,31.06,4.21,604.99,0.0,0.0,0.0,0.0,41.21,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,41.87,41.87,2770.75,2770.75,0.0,2812.62,0.03,0.0,0.0,0.0,0.0,427.97,43.33,471.31,3283.96,139.2,131.02,0.0,311.43,723.41,22.17,0.0,1057.01,903.31,640.09,665.91,17.63,2226.94,3283.96,165.46,555.88,0.0,1734.76,2.3,31.06,4.22,719.19,0.0,0.0,0.0,0.0,41.21,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,41.88,41.88,3467.53,3467.53,0.0,3509.41,0.01,0.0,0.0,0.0,0.0,642.13,65.9,708.03,4217.45,195.39,101.33,0.0,337.94,720.14,30.51,0.0,1088.58,1171.04,1084.23,871.88,1.72,3128.87,4217.45,170.56,752.73,0.0,2123.42,1.63,31.06,0.96,719.18,0.0,0.0,0.0,0.0,41.21,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,41.93,41.93,4135.33,4135.33,0.0,4177.26,0.81,0.0,0.0,0.0,2.07,530.21,78.47,610.75,4788.82,165.36,130.41,0.0,336.98,724.73,38.41,0.0,1100.12,877.24,1759.24,1051.53,0.7,3688.7,4788.82,195.75,592.67,0.0,2162.22,3.16,31.06,1.0,723.73,0.0,0.0,0.0,0.0,41.21,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,41.95,41.95,5108.31,5108.31,0.0,5150.25,0.08,14.28,30.86,45.14,6.24,545.04,75.85,627.13,5822.59,309.01,55.97,0.0,364.98,728.24,69.02,11.82,1880.31,762.77,2537.87,292.04,348.62,3942.29,5822.59,622.64,636.64,0.0,2266.21,0.48,31.06,0.0,728.24,1.0,706.25,1.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,41.99,41.99,6204.93,6204.93,0.0,6246.92,0.12,13.32,33.24,46.56,18.17,721.59,80.45,820.21,7113.82,355.53,54.45,0.0,409.97,728.24,64.06,14.29,1754.9,1144.29,3510.92,288.74,413.97,5358.92,7113.82,47.04,839.74,0.0,2503.38,311.48,31.06,0.0,728.24,1.0,538.34,1.0,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,42.03,42.03,7250.31,7250.31,0.0,7292.35,0.0,18.31,42.14,60.45,13.92,867.45,91.72,973.09,8325.89,373.98,13.27,0.0,387.25,728.24,66.77,15.84,1858.83,968.58,5018.34,66.86,412.27,6467.06,8325.89,19.34,843.91,0.0,2808.65,0.84,31.06,0.0,728.24,1.0,660.74,1.0,9.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
