Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,144.5,144.5,3446.7,3446.7,3591.2,308.8,0.0,0.0,608.8,11.9,759.8,454.6,317.4,1543.7,5743.7,1830.8,0.0,74.9,0.0,1905.7,1677.3,125.5,0.0,16.3,3724.8,0.0,439.8,689.4,240.2,649.5,0.0,2018.9,5743.7,1119.8,1184.1,0.0,0.0,20.5,107.4,22.9,941.0,0.8,150.9,1666.2,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,144.5,144.5,4234.3,4234.3,4378.8,235.4,0.0,0.0,535.4,7.6,463.7,755.1,389.2,1615.6,6529.8,1873.7,0.0,42.1,0.0,1915.8,1516.6,125.4,0.0,0.0,3557.8,0.0,666.6,599.5,1029.4,676.5,0.0,2972.0,6529.8,893.6,1635.5,0.0,0.0,86.0,180.3,30.7,982.3,0.7,200.1,1505.5,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,144.5,144.5,5308.1,5308.1,5452.6,199.0,0.0,0.0,269.0,1.7,555.1,950.7,480.0,1987.5,7709.1,1695.2,0.0,92.0,0.0,1787.2,2051.2,121.1,0.0,0.0,3959.5,0.0,881.2,654.8,1401.6,812.0,0.0,3749.6,7709.1,1289.7,1574.3,0.0,0.0,51.7,207.9,31.3,583.9,0.0,289.8,2040.1,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,144.5,144.5,6709.4,6709.4,6853.9,277.6,0.0,0.0,885.1,23.3,909.6,1101.4,490.5,2524.8,10263.8,2659.7,0.0,238.9,0.0,2898.6,3409.2,110.1,0.0,0.0,6417.9,0.0,713.2,747.4,1422.8,962.5,0.0,3845.9,10263.8,2094.6,1355.0,0.0,0.0,68.0,331.7,54.8,578.1,0.0,270.4,3398.1,0.0,607.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,144.5,144.5,8270.9,8270.9,8415.4,269.7,0.0,0.0,770.0,399.9,854.9,1594.3,369.5,3218.6,12404.0,3296.5,0.0,736.3,0.0,4032.8,5180.7,99.6,0.0,0.0,9313.1,0.0,1038.0,655.5,324.0,1073.4,0.0,3090.9,12404.0,2734.2,1385.8,0.0,0.0,875.3,490.5,70.5,741.3,0.0,219.5,5169.6,0.0,500.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,144.5,144.5,9200.4,9200.4,9344.9,234.0,0.0,0.0,866.9,66.0,2569.6,447.3,380.7,3463.6,13675.4,4070.8,0.0,861.3,0.0,4932.1,3173.3,78.9,0.0,0.0,8184.3,0.0,902.3,918.9,1939.0,1730.9,0.0,5491.1,13675.4,1901.7,1786.7,0.0,0.0,1209.5,782.1,78.3,1502.2,0.0,108.7,3162.2,0.0,632.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,144.5,144.5,11690.6,11690.6,11835.1,220.6,0.0,0.0,640.5,401.5,2318.1,621.3,628.4,3969.3,16444.9,5005.3,19.4,387.6,0.0,5412.3,7176.6,83.6,0.0,0.0,12672.5,0.0,1208.8,809.9,98.2,1655.5,0.0,3772.4,16444.9,3657.2,2613.3,0.0,0.0,396.8,991.8,54.8,4543.7,0.0,215.1,11.1,0.0,419.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,144.5,144.5,13723.0,13723.0,13867.5,164.4,95.9,139.6,538.9,31.2,2608.3,993.0,386.2,4018.7,18425.1,5483.7,45.7,862.5,0.0,6391.9,1111.2,0.0,1254.7,47.1,8804.9,3995.6,1415.0,824.5,2508.5,683.6,193.0,9620.2,18425.1,6384.8,2969.1,24.6,85.7,825.0,2338.3,94.0,3498.8,0.0,264.0,419.8,3995.6,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,144.5,144.5,15042.9,15042.9,15187.4,302.3,96.6,168.3,567.2,1078.3,3349.9,1589.2,530.2,6547.6,22302.2,7310.8,209.9,611.4,0.0,8132.1,1393.3,0.0,1671.5,26.3,11223.2,4754.1,1796.5,937.6,2436.1,778.3,376.4,11079.0,22302.2,6108.0,3045.1,28.0,86.7,1162.5,2438.9,117.5,3691.8,0.0,172.3,1387.2,4754.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,151.0,151.0,18427.9,18427.9,18578.9,408.7,250.3,225.9,1427.8,846.3,4157.9,1075.1,648.2,6727.5,26734.2,9576.5,222.7,1940.9,0.0,11740.1,1873.5,0.0,1280.0,894.6,15788.2,5204.8,1840.7,1469.9,775.0,1115.3,540.3,10946.0,26734.2,8193.3,4234.4,66.3,12.8,1476.2,3102.0,117.5,4560.1,0.0,147.4,1867.4,5229.8,542.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
