Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,2611.84,0.14,2611.98,6.16,0.0,-48.65,144.01,33.18,212.67,362.91,1901.7,583.08,2484.78,0.0,2484.78,0.0,2484.78,806.16,1678.62,0.0,1678.62,396.47,4.23,4.23,39.63,10.0,356.84,100.0,90.0
2012-12-31,2046.83,0.86,2047.69,8.54,0.0,-49.49,139.19,33.87,176.37,381.82,1357.39,556.26,1913.65,0.0,1913.65,0.0,1913.65,620.85,1292.8,0.0,1292.8,396.47,3.26,3.26,79.28,20.0,317.19,100.0,80.0
2013-03-31,3202.1,2.15,3204.25,7.62,0.0,-73.07,161.46,38.68,392.86,965.58,1711.12,547.39,2258.51,13.2,2245.31,0.0,2245.31,780.36,1464.95,0.0,1464.95,396.47,3.69,3.69,79.28,20.0,317.19,100.0,80.0
2013-06-30,2869.1,1.52,2870.62,3.92,0.0,24.29,148.32,36.35,291.07,497.84,1868.83,520.91,2389.74,0.0,2389.74,0.0,2389.74,817.55,1572.19,0.0,1572.19,396.47,3.97,3.97,79.28,20.0,317.19,100.0,80.0
2013-09-30,2478.14,1.78,2479.92,7.95,0.0,48.78,144.68,34.79,366.44,418.46,1458.82,538.37,1997.19,0.0,1997.19,0.0,1997.19,678.83,1318.36,0.0,1318.36,396.47,3.33,3.33,79.28,20.0,317.19,100.0,80.0
2013-12-31,2821.53,1.64,2823.17,8.78,0.0,-5.82,157.35,36.17,243.17,516.88,1866.64,507.7,2374.34,0.0,2374.34,0.0,2374.34,807.04,1567.3,0.0,1567.3,396.47,3.95,3.95,79.28,20.0,317.19,100.0,80.0
2014-03-31,3883.52,0.97,3884.49,5.85,0.0,-80.32,255.85,43.1,446.73,786.67,2426.61,527.54,2954.15,1.85,2952.3,45.48,2997.78,1035.64,1962.14,0.0,1962.14,396.47,4.95,4.95,79.28,20.0,317.19,100.0,80.0
2014-06-30,3474.5,2.23,3476.73,6.15,0.0,50.39,180.8,40.02,330.96,506.31,2362.1,541.82,2903.92,0.0,2903.92,0.0,2903.92,988.91,1915.01,0.0,1915.01,396.47,4.83,4.83,79.28,20.0,317.19,100.0,80.0
2014-09-30,3102.24,2.81,3105.05,7.91,0.0,50.42,198.26,40.92,309.4,533.03,1965.11,526.84,2491.95,0.0,2491.95,-112.19,2379.76,813.01,1566.75,0.0,1566.75,396.47,3.95,3.95,79.28,20.0,317.19,100.0,80.0
2014-12-31,2944.39,1.66,2946.05,7.44,0.0,-183.19,180.98,53.26,240.56,752.06,1894.94,525.14,2420.08,0.0,2420.08,0.0,2420.08,827.07,1593.01,0.0,1593.01,396.47,4.02,4.02,79.28,20.0,317.19,100.0,80.0
2015-03-31,2826.55,2.03,2828.58,6.17,0.0,65.39,140.05,28.03,287.38,908.26,1393.3,726.19,2119.49,0.0,2119.49,-55.41,2064.08,716.99,1347.09,0.0,1347.09,396.47,3.4,3.4,79.28,20.0,317.19,100.0,80.0
2015-06-30,1805.28,1.15,1806.43,1.02,0.0,113.17,168.23,41.2,0.0,422.16,1060.65,498.68,1559.33,0.52,1558.81,0.0,1558.81,543.42,1015.39,0.0,1015.39,396.47,2.56,2.56,79.28,20.0,317.19,100.0,80.0
2015-09-30,1602.59,0.47,1603.06,2.04,0.0,-94.17,171.61,52.86,0.0,619.54,851.18,436.05,1287.23,0.0,1287.23,-15.36,1271.87,455.22,816.65,0.0,816.65,396.47,2.06,2.06,0.0,0.0,0.0,0.0,0.0
2015-12-31,1517.48,0.15,1517.63,2.8,0.0,30.18,171.88,56.32,0.0,987.09,269.36,430.28,699.64,-0.41,700.05,-2.25,697.8,276.7,421.1,0.0,421.1,396.47,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2016-03-31,1529.94,0.01,1529.95,5.14,0.0,13.94,134.46,66.22,0.0,958.24,351.95,444.24,796.19,65.48,730.71,-167.17,563.54,104.46,459.08,0.0,459.08,396.47,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2016-06-30,1720.65,0.0,1720.65,3.1,0.0,35.71,169.86,55.97,0.0,695.55,760.46,345.17,1105.63,8.14,1097.49,0.0,1097.49,386.15,711.34,0.0,711.34,396.47,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2016-09-30,1739.15,0.0,1739.15,2.12,0.0,107.41,168.8,54.43,0.0,634.98,771.41,273.49,1044.9,1.47,1043.43,0.0,1043.43,272.67,770.76,0.0,770.76,396.47,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2016-12-31,2497.71,0.0,2497.71,1.25,0.0,35.87,174.96,55.11,0.0,1258.99,971.53,155.88,1127.41,5.3,1122.11,-201.3,920.81,325.65,595.16,0.0,595.16,316.39,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2017-03-31,2871.04,0.38,2871.42,-0.03,0.0,-80.12,371.96,30.67,0.0,1647.47,901.47,134.27,1035.74,5.85,1029.89,201.3,1231.19,719.31,511.88,0.0,511.88,316.39,1.62,1.62,0.0,0.0,0.0,0.0,0.0
