Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,3301.06,0.06,3301.12,2.54,3447.77,-582.54,29.66,15.17,400.33,-11.81,139.5,127.69,73.36,54.33,0.0,54.33,24.48,29.85,0.0,29.85,109.98,0.27,0.27,24.34,22.13,76.2,88.97,69.28
2013-03-31,3418.7,3.55,3422.25,2.12,2559.91,415.41,30.82,13.65,418.84,-18.49,164.56,146.06,131.79,14.27,-99.93,-85.65,-12.05,-73.61,0.0,-73.61,109.98,-0.67,-0.67,25.89,23.54,74.65,88.77,67.87
2013-06-30,2776.17,2.78,2778.95,0.01,2532.69,-222.21,34.1,14.33,646.48,-226.45,253.27,26.82,157.62,-130.8,0.0,-130.8,5.1,-135.9,0.0,-135.9,109.98,-1.24,-1.24,27.5,25.0,70.64,85.64,64.23
2013-09-30,3189.63,2.59,3192.22,0.11,2598.31,154.42,38.64,15.2,719.77,-334.23,372.27,38.04,217.96,-179.92,0.0,-179.92,-77.67,-102.25,0.0,-102.25,109.98,-0.93,-0.93,27.5,25.0,70.64,85.64,64.23
2013-12-31,3041.55,77.3,3118.85,0.0,2643.03,70.65,38.52,14.91,409.15,-57.41,221.05,163.64,206.29,-42.65,0.0,-42.65,0.09,-42.74,0.0,-42.74,109.98,-0.39,-0.39,27.5,25.0,70.64,85.64,64.23
2014-03-31,2692.19,7.1,2699.29,0.0,2675.84,-333.81,36.88,14.63,492.93,-187.18,357.55,170.37,179.31,-8.94,0.0,-8.94,-111.15,102.21,0.0,102.21,109.98,0.93,0.93,27.5,25.0,72.55,87.95,65.96
2014-06-30,4053.94,2.87,4056.81,0.0,3356.1,64.65,42.53,22.23,599.92,-28.62,254.19,225.57,219.06,6.51,0.0,6.51,5.48,1.03,0.0,1.03,109.98,0.01,0.01,27.5,25.0,72.55,87.95,65.96
2014-09-30,3322.71,6.17,3328.88,0.0,2608.74,138.92,45.5,20.47,517.98,-2.73,456.32,453.59,240.34,213.25,0.0,213.25,0.97,212.28,0.0,212.28,109.98,1.93,1.93,27.5,25.0,69.31,84.02,63.02
2014-12-31,4221.69,7.56,4229.25,0.0,3578.09,-118.61,52.71,18.38,623.05,75.63,289.82,365.45,236.14,129.31,0.0,129.31,8.56,120.75,0.0,120.75,109.98,1.1,1.1,27.5,25.0,67.81,82.2,61.65
2015-03-31,3310.67,7.24,3317.91,0.0,2191.08,399.67,33.95,20.65,708.08,-35.52,279.32,243.8,231.91,11.89,70.99,82.88,10.08,72.8,0.0,72.8,109.98,0.66,0.66,27.5,25.0,69.52,84.29,63.21
2015-06-30,2396.58,9.18,2405.76,0.0,1822.67,27.24,56.88,20.34,389.8,88.83,172.21,261.04,186.65,74.39,0.0,74.39,-2.53,76.92,0.0,76.92,109.98,0.7,0.7,27.5,25.0,62.1,72.28,56.46
2015-09-30,1967.91,12.03,1979.94,0.0,1331.34,109.7,77.12,20.44,419.21,22.13,371.38,393.51,184.87,208.64,0.0,208.64,-8.15,216.79,0.0,216.79,109.98,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2015-12-31,1747.73,3.08,1750.81,0.0,1304.15,46.0,64.63,18.46,208.75,108.82,181.82,290.64,171.8,118.84,45.25,164.09,8.2,155.89,0.0,155.89,109.98,1.42,1.42,0.0,0.0,0.0,0.0,0.0
