Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1393.6,725.67,4.25,10.12,313.19,1549.32,161.96,172.1,563.45,56.68,506.77,164.46,342.31,0.0,342.31,357.56,18.0,9.59,9.39,76.24,15.57,0.17,0.04,1.6,26.53,74.2,8.89,96.38,24.87
2013-03-31,1465.26,814.38,2.67,5.34,379.38,1649.53,174.15,209.47,633.88,97.53,536.35,174.2,362.15,0.0,362.15,358.62,18.3,10.11,9.89,94.32,6.99,0.2,0.01,1.6,26.64,74.28,8.89,96.38,24.79
2013-06-30,1519.82,874.38,2.03,1.68,442.06,1738.8,201.17,220.04,679.96,96.99,582.97,182.13,400.84,0.0,400.84,359.72,17.6,11.16,10.91,104.92,12.08,0.22,0.03,1.6,26.75,74.36,8.89,96.38,24.72
2013-09-30,1617.91,874.67,8.39,0.3,446.12,1829.16,185.34,220.0,712.89,179.12,533.77,162.64,371.13,0.0,371.13,360.43,18.2,10.3,10.14,132.07,19.36,0.28,0.04,1.5,26.82,74.41,8.81,95.52,24.44
2013-12-31,1665.98,840.02,7.76,0.36,387.88,1848.67,194.06,244.59,614.68,13.29,601.39,185.79,415.6,0.0,415.6,360.56,17.8,11.53,11.38,195.8,42.31,0.39,0.08,1.6,26.84,74.44,8.8,95.51,24.41
2014-03-31,1736.27,825.39,5.71,0.68,445.52,1848.46,203.83,280.84,680.44,72.29,608.15,177.94,430.21,0.0,430.21,360.63,17.7,11.93,11.78,174.93,26.07,0.31,0.05,1.6,26.85,74.45,8.8,95.51,24.4
2014-06-30,1845.86,821.87,11.87,0.0,425.61,1934.26,224.72,302.0,644.23,23.74,620.49,181.01,439.48,0.0,439.48,414.71,0.0,11.7,11.5,197.96,42.81,0.33,0.07,1.6,32.26,77.78,8.88,96.38,21.42
2014-09-30,1968.64,855.69,7.94,0.08,505.62,1975.95,238.98,305.9,817.14,119.51,697.63,215.09,482.54,0.0,482.54,416.1,0.0,11.61,11.38,222.36,53.88,0.36,0.09,1.7,32.4,77.86,8.88,96.38,21.34
2014-12-31,2071.01,888.74,11.26,0.65,536.81,2062.64,254.1,329.0,862.73,69.86,792.87,252.58,540.29,0.0,540.29,417.26,0.0,12.96,12.68,278.66,64.52,0.42,0.1,1.8,32.51,77.92,8.88,96.38,21.28
2015-03-31,2130.58,944.33,11.82,1.66,590.44,2111.32,261.86,368.15,937.5,126.36,811.14,260.15,550.99,0.0,550.99,417.74,0.0,13.19,12.87,313.4,87.72,0.41,0.12,1.7,32.56,77.94,8.88,96.38,21.26
2015-06-30,2328.48,855.5,16.74,51.13,545.17,2192.04,288.54,408.17,908.27,97.96,810.31,259.11,551.2,0.0,551.2,418.11,0.0,13.19,12.85,368.3,106.7,0.46,0.13,1.6,32.6,77.96,8.88,96.38,21.24
2015-09-30,2414.84,856.03,51.95,54.42,618.1,2268.77,312.78,394.65,1019.14,103.94,915.2,304.79,610.41,0.0,610.41,418.77,0.0,14.59,14.25,491.35,158.63,0.61,0.2,1.7,32.66,78.0,8.88,96.38,21.2
2015-12-31,2420.97,885.24,22.29,47.55,746.07,2219.05,342.64,410.8,1149.63,147.94,1001.69,325.95,675.74,0.0,675.74,419.5,0.0,16.14,15.79,558.57,187.16,0.66,0.22,1.8,0.0,0.0,0.0,0.0,0.0
2016-03-31,2547.19,911.44,21.56,48.11,802.81,2286.86,352.84,465.94,1225.47,186.46,1039.01,336.9,702.11,0.0,702.11,420.53,0.0,16.71,16.38,748.98,284.47,0.76,0.29,1.8,0.0,0.0,0.0,0.0,0.0
2016-06-30,2840.06,958.97,27.77,35.51,900.52,2545.73,407.37,502.96,1306.77,206.63,1100.14,368.34,731.8,0.0,731.8,421.09,0.0,17.39,16.97,844.56,302.39,0.79,0.29,1.7,0.0,0.0,0.0,0.0,0.0
2016-09-30,3065.75,931.39,48.63,48.61,887.85,2648.21,433.38,514.68,1385.96,161.67,1224.29,422.75,801.54,0.0,801.54,421.66,0.0,19.03,18.54,916.68,323.0,0.83,0.29,1.8,0.0,0.0,0.0,0.0,0.0
2016-12-31,3157.5,964.17,70.81,39.13,998.35,2724.11,467.46,584.58,1453.81,115.38,1338.43,455.8,882.63,0.0,882.63,422.98,0.0,20.89,20.37,1005.85,342.45,0.85,0.29,1.8,0.0,0.0,0.0,0.0,0.0
2017-03-31,3259.11,942.31,110.61,36.96,1257.39,2709.29,496.83,709.28,1690.98,309.73,1381.25,467.13,914.12,0.0,914.12,456.49,0.0,21.57,21.05,2018.56,1072.27,1.52,0.81,1.8,0.0,0.0,0.0,0.0,0.0
2017-06-30,3534.48,902.72,179.36,37.24,1132.16,2844.87,546.11,690.78,1704.2,285.78,1418.42,452.9,965.52,0.0,965.52,457.49,0.0,21.12,20.65,1364.38,545.31,0.97,0.39,1.8,0.0,0.0,0.0,0.0,0.0
2017-09-30,3693.2,922.67,144.66,39.81,1248.44,2915.25,562.76,664.1,1906.67,447.06,1459.61,456.88,1002.73,0.0,1002.73,458.14,0.0,4.38,4.29,2720.34,1543.26,1.82,1.04,1.7,0.0,0.0,0.0,0.0,0.0
2017-12-31,3846.15,1097.7,82.45,44.0,1422.26,3181.5,533.38,775.87,2001.81,421.32,1580.49,503.62,1076.87,0.0,1076.87,459.74,0.0,4.7,4.61,2974.34,1595.08,1.72,0.93,1.7,0.0,0.0,0.0,0.0,0.0
2018-03-31,4404.41,1179.44,109.6,49.53,1420.97,3588.74,546.67,893.11,2135.43,399.64,1735.79,556.35,1179.44,0.0,1179.44,460.59,0.0,5.14,5.06,2626.8,1312.75,1.28,0.64,1.6,0.0,0.0,0.0,0.0,0.0
2018-06-30,5004.66,1350.86,162.03,60.49,1694.14,4358.9,590.62,867.95,2454.71,625.65,1829.06,568.7,1260.36,0.0,1260.36,461.14,0.0,5.47,5.39,2824.46,1262.57,1.31,0.59,1.6,0.0,0.0,0.0,0.0,0.0
2018-09-30,5549.59,1561.03,58.22,62.39,1473.45,4813.68,593.97,930.59,2366.44,939.98,1426.46,461.76,964.7,0.0,964.7,461.86,0.0,4.18,4.06,3866.08,2019.67,1.6,0.84,1.1,0.0,0.0,0.0,0.0,0.0
2018-12-31,6248.4,1603.8,41.62,65.12,890.87,5292.53,625.36,941.56,1990.36,550.23,1440.13,438.28,1001.85,0.0,1001.85,462.46,0.0,4.33,4.3,5158.62,2876.35,2.1,1.18,1.1,0.0,0.0,0.0,0.0,0.0
2019-03-31,6119.99,1532.73,135.7,68.12,531.69,5350.61,659.82,1054.41,1323.39,3661.7,-2338.31,-831.67,-1506.64,0.0,-1506.64,463.01,0.0,-6.51,-6.46,7882.56,4484.85,3.22,1.86,-1.6,0.0,0.0,0.0,0.0,0.0
2019-06-30,6106.15,1539.07,103.66,67.27,1272.66,5535.3,661.48,932.93,1959.1,1784.11,174.99,61.23,113.76,0.0,113.76,463.78,0.0,0.49,0.49,12092.1,6883.27,5.01,2.91,0.1,0.0,0.0,0.0,0.0,0.0
2019-09-30,5824.65,1421.35,64.43,75.85,945.93,5200.37,659.17,1014.23,1458.44,1336.25,122.19,722.27,-600.08,0.0,-600.08,510.07,0.0,-2.46,-2.46,17134.41,9757.2,7.39,4.35,-0.7,0.0,0.0,0.0,0.0,0.0
2019-12-31,4749.49,785.53,18.81,89.02,625.66,4578.06,640.24,1056.62,-6.42,24765.73,-24772.15,-6211.84,-18560.31,0.0,-18560.31,510.09,0.0,-72.77,-72.77,40709.2,11114.72,18.87,5.97,-23.3,0.0,0.0,0.0,0.0,0.0
2020-03-31,4580.9,514.97,23.48,101.99,597.25,3947.64,638.98,1125.56,106.41,4872.34,-4765.93,-1097.6,-3668.33,6296.94,2628.61,2510.09,0.0,5.95,5.95,32877.59,8623.78,16.8,5.03,3.8,0.0,0.0,0.0,0.0,0.0
2020-06-30,4566.76,764.0,48.37,106.95,620.66,3577.94,643.66,738.29,1146.85,1086.61,60.24,14.8,45.44,0.0,45.44,2510.09,0.0,0.04,0.04,32702.7,8157.5,17.3,4.96,0.1,0.0,0.0,0.0,0.0,0.0
