Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2015-06-30,617.88,617.88,10.75,546.5,3.83,28.44,28.37,2.1,30.46,4.95,25.51,0.0,25.51,9.24,16.27,0.0,16.27,25.77,0.0,1.47,1.43
2015-09-30,687.19,687.19,9.91,601.97,3.63,35.82,35.86,1.89,37.75,6.52,31.23,0.0,31.23,10.51,20.72,0.0,20.72,25.77,0.0,1.87,1.86
2015-12-31,789.57,789.57,10.73,700.98,3.84,35.79,38.24,1.14,39.37,6.96,32.41,0.0,32.41,12.38,20.03,0.0,20.03,113.34,0.0,1.8,1.76
2016-03-31,823.54,823.54,-31.39,737.88,5.15,73.75,38.14,2.42,40.56,8.65,31.91,0.0,31.91,10.99,20.93,6.46,27.38,113.34,234.3,0.0,0.0
2016-06-30,810.42,810.42,10.2,716.41,3.94,39.03,40.84,0.86,41.7,7.69,34.01,0.0,34.01,12.68,21.33,0.0,21.33,113.34,0.0,1.88,1.84
2016-09-30,831.31,831.31,17.04,731.27,4.31,37.9,40.8,5.89,46.69,8.05,38.64,0.0,38.64,13.43,25.21,0.0,25.21,125.95,0.0,2.03,1.98
2016-12-31,840.8,840.8,2.24,753.09,4.38,40.55,40.53,5.71,46.24,9.8,36.45,0.0,36.45,11.67,24.78,0.0,24.78,126.79,0.0,1.96,1.93
2017-03-31,878.2,878.2,6.56,768.15,4.39,60.12,38.97,3.67,42.64,13.37,29.27,0.0,29.27,10.38,18.89,0.0,18.89,126.79,0.0,1.49,1.47
2017-06-30,896.86,896.86,8.24,787.02,4.46,54.72,42.42,3.91,46.33,12.2,34.12,0.0,34.12,8.82,25.31,0.0,25.31,126.79,0.0,2.0,1.97
2017-09-30,970.42,970.42,8.97,862.37,4.66,52.64,41.78,16.79,58.57,10.88,47.69,0.0,47.69,-86.48,134.17,0.0,134.17,138.33,0.0,10.16,10.05
2017-12-31,1137.11,1137.11,35.01,942.59,6.41,103.45,49.64,13.37,63.01,12.01,51.0,0.0,51.0,-2.67,53.66,0.0,53.66,145.48,0.0,3.69,3.65
2018-03-31,1292.93,1292.93,36.01,1042.26,9.84,142.83,61.99,12.04,74.03,11.82,62.21,0.0,62.21,12.88,49.33,0.0,49.33,145.48,0.0,3.39,3.36
2018-06-30,1297.69,1297.69,29.31,1048.06,11.11,152.14,57.09,10.79,67.88,13.98,53.9,0.0,53.9,3.95,49.95,0.0,49.95,145.48,0.0,3.43,3.4
2018-09-30,1354.21,1354.21,33.95,1100.63,11.23,148.46,59.93,9.97,69.9,15.58,54.32,0.0,54.32,3.01,51.31,0.0,51.31,146.08,0.0,3.53,3.51
2018-12-31,1427.01,1427.01,32.55,1155.7,11.2,162.49,65.06,14.32,79.38,17.45,61.93,0.0,61.93,4.74,57.19,0.0,57.19,146.08,0.0,3.91,3.89
2019-03-31,1534.17,1534.17,33.86,1255.68,11.02,151.97,81.64,12.14,93.78,16.6,77.19,0.0,77.19,4.35,72.84,0.0,72.84,146.08,0.0,4.99,4.96
2019-06-30,1615.88,1615.88,28.82,1356.04,16.12,154.86,60.03,16.44,76.47,24.36,52.12,0.0,52.12,1.86,50.25,0.0,50.25,146.1,0.0,3.44,3.42
2019-09-30,1805.6,1805.6,30.28,1537.73,16.93,164.83,55.83,15.37,71.21,26.67,44.53,0.0,44.53,-10.24,54.77,0.0,54.77,146.86,0.0,3.75,3.75
2019-12-31,2089.67,2089.67,34.16,1850.52,17.07,119.14,68.78,9.12,77.9,22.38,55.52,0.0,55.52,-7.43,62.95,0.0,62.95,147.51,0.0,4.27,4.26
