Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,12.38,12.38,96.49,96.49,108.87,65.96,25.53,0.0,0.0,91.49,63.99,40.56,3.04,16.74,124.33,324.7,155.17,0.37,14.67,0.0,170.21,2.34,0.0,172.93,0.0,56.64,39.21,1.72,54.21,0.0,151.77,324.7,76.57,6.19,0.0,194.24,13.54,10.68,1.01,0.0,0.0,0.0,0.0,58.31,0.0,0.0,12.35,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,12.38,12.38,145.59,145.59,157.97,92.69,33.58,0.0,0.0,126.27,75.58,58.46,3.96,43.31,181.31,465.56,219.03,0.48,17.16,0.0,236.67,2.07,0.0,239.21,0.0,64.78,64.96,3.3,93.31,0.0,226.35,465.56,65.14,6.91,0.0,303.74,21.18,10.68,1.14,0.0,0.0,0.0,0.0,90.5,0.0,0.0,23.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,19.33,19.33,268.17,268.17,287.5,189.17,37.87,0.0,0.0,227.05,105.55,49.58,5.68,71.57,232.38,746.93,259.16,0.59,68.91,0.0,328.66,5.12,0.0,334.23,0.0,106.91,79.57,76.84,149.37,0.0,412.69,746.93,143.07,11.74,3.45,419.6,30.09,16.87,1.78,3.04,0.0,0.0,0.0,152.77,0.0,0.0,20.63,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,19.33,19.33,328.12,328.12,347.45,213.43,45.77,0.0,0.0,259.2,185.2,69.66,7.21,100.8,362.87,969.52,398.75,0.62,75.78,0.0,475.15,2.18,0.0,478.05,0.0,122.38,168.71,5.39,195.0,0.0,491.48,969.52,95.29,21.54,5.46,629.5,35.59,16.87,1.64,0.11,0.0,0.0,0.0,228.39,0.0,0.0,66.89,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,19.33,19.33,391.77,391.77,411.1,146.15,44.11,0.0,0.0,190.26,388.7,96.69,9.26,175.87,670.51,1271.87,421.98,2.49,127.42,0.0,551.89,34.11,0.0,587.16,0.0,186.48,195.03,8.69,294.51,0.0,684.71,1271.87,88.58,24.82,0.0,841.06,39.27,16.87,0.92,32.03,0.0,0.0,0.0,325.82,0.0,0.0,51.78,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,19.33,19.33,448.5,448.5,467.83,124.03,53.7,0.0,0.0,177.72,348.79,76.85,7.85,194.62,628.11,1273.66,531.43,3.13,74.72,0.0,609.27,32.23,0.0,642.81,0.0,122.26,219.08,11.14,278.37,0.0,630.85,1273.66,97.45,50.26,0.0,1087.41,52.6,16.87,0.19,32.03,0.0,0.0,0.0,416.65,0.0,0.0,59.47,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,19.33,19.33,641.44,641.44,660.78,135.32,56.17,0.0,0.0,191.5,329.0,108.56,6.34,276.92,720.83,1573.1,611.53,3.36,58.87,0.0,673.75,80.73,0.0,755.84,0.0,203.05,240.3,4.23,369.68,0.0,817.26,1573.1,76.89,63.43,2.17,1179.29,36.69,16.87,0.55,50.53,0.0,0.0,0.0,511.26,0.0,0.0,25.84,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,19.33,19.33,812.44,812.44,831.78,25.47,56.99,22.87,344.34,449.67,572.63,114.5,110.88,18.07,816.08,2097.53,685.63,1.81,44.04,0.0,731.49,32.24,0.54,1226.08,0.0,410.38,324.24,10.99,88.48,37.36,871.45,2097.53,961.29,86.87,2.15,1637.04,60.19,16.87,0.69,32.04,0.0,0.0,461.82,964.74,8.6,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,19.33,19.33,1060.76,1060.76,1080.09,913.73,62.59,34.05,125.44,1135.81,749.22,200.41,56.06,19.97,1025.67,3241.57,826.72,1.43,449.87,0.0,1278.02,32.24,0.49,1703.68,0.0,481.07,479.61,357.4,194.99,24.81,1537.89,3241.57,2357.08,134.17,2.3,2497.34,72.37,16.87,0.65,32.04,0.0,0.0,392.92,1445.0,16.9,0.7,122.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,19.33,19.33,1399.64,1399.64,1418.97,1504.29,99.86,94.09,-0.17,1698.07,559.26,241.0,49.74,21.68,871.69,3988.72,1276.55,1.15,945.51,0.0,2223.22,32.91,0.01,2535.3,0.0,432.55,504.49,266.31,243.78,6.3,1453.43,3988.72,2432.14,144.13,1.5,2832.09,90.14,16.87,0.89,32.72,0.0,0.0,279.16,1410.95,11.42,0.0,300.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
