Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,374.96,0.66,375.62,133.94,46.61,-17.54,21.9,7.75,68.55,0.0,79.32,35.09,28.09,63.18,0.0,63.18,63.18,17.91,45.27,45.27,32.46,13.95,13.95,0.95,29.36,2.29,100.0,70.64
2012-12-31,470.57,0.21,470.78,153.08,43.18,-10.68,21.96,6.77,94.58,0.0,102.86,59.03,13.68,72.71,0.0,72.71,72.71,18.72,53.99,53.99,32.46,16.63,16.63,0.95,29.36,2.29,100.0,70.64
2013-03-31,416.63,0.67,417.3,92.25,90.24,-4.1,26.46,7.59,65.39,0.0,81.6,57.87,15.18,73.05,0.0,73.05,73.05,20.96,52.09,52.09,32.46,16.05,16.05,0.95,29.36,2.29,100.0,70.64
2013-06-30,422.7,0.38,423.08,114.83,63.76,-1.07,29.33,9.2,56.75,0.0,86.5,63.78,13.49,77.27,0.01,77.26,77.26,25.39,51.87,51.87,32.46,15.98,15.98,0.95,29.36,2.29,100.0,70.64
2013-09-30,492.75,0.15,492.9,143.83,73.57,-6.13,19.94,8.23,75.77,0.0,112.44,65.25,21.64,86.89,0.02,86.87,86.87,32.08,54.79,54.79,32.46,16.88,16.88,0.95,29.36,2.29,100.0,70.64
2013-12-31,570.59,0.68,571.27,141.99,62.42,17.73,30.84,8.63,97.56,0.0,124.51,87.59,22.26,109.85,0.0,109.85,109.85,33.28,76.57,76.57,32.46,23.59,23.59,0.95,29.36,2.29,100.0,70.64
2014-03-31,500.35,0.32,500.67,128.27,68.63,10.53,23.95,8.94,83.16,0.0,77.24,99.95,15.91,115.86,0.22,115.64,115.64,34.88,80.76,80.76,32.46,24.88,24.88,0.95,29.36,2.29,100.0,70.64
2014-06-30,483.51,2.59,486.1,110.41,78.79,-17.24,20.23,9.37,37.99,0.0,113.85,132.7,20.43,153.13,5.15,147.98,147.98,58.06,89.92,89.92,32.46,27.7,27.7,0.95,29.36,2.29,100.0,70.64
2014-09-30,576.31,0.18,576.49,171.73,88.16,-19.46,33.15,11.15,104.88,0.0,119.04,67.84,21.04,88.88,1.16,87.72,87.72,26.22,61.5,61.5,32.46,18.95,18.95,0.95,29.36,2.29,100.0,70.64
2014-12-31,644.03,0.48,644.51,0.0,88.19,8.77,22.73,15.87,87.85,0.0,308.71,112.39,17.08,129.47,0.46,129.01,129.01,38.35,90.66,90.66,32.46,27.93,27.93,0.95,29.36,2.29,100.0,70.64
2015-03-31,554.84,0.39,555.23,0.0,79.94,22.85,37.52,12.17,68.5,0.0,223.61,110.64,17.71,128.35,3.8,124.55,124.55,37.66,86.89,86.89,32.46,26.77,26.77,0.95,29.36,2.29,100.0,70.64
