Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,557.09,0.47,557.56,124.56,87.01,-13.4,19.89,13.34,73.5,0.0,111.64,141.02,18.81,159.83,0.3,159.53,159.53,52.44,107.09,107.09,32.46,32.99,32.99,0.95,29.36,2.29,100.0,70.64
2015-09-30,598.13,0.43,598.56,153.85,96.08,-20.85,33.62,12.71,87.69,0.0,151.38,84.08,21.21,105.29,1.15,104.14,104.14,34.36,69.78,69.78,32.46,21.5,21.5,0.95,29.36,2.29,100.0,70.64
2015-12-31,713.23,0.47,713.7,139.8,101.71,26.83,28.43,14.19,78.42,0.0,122.46,201.86,20.59,222.45,2.3,220.15,220.15,73.45,146.7,146.7,32.46,45.19,45.19,0.95,29.36,2.29,100.0,70.64
2016-03-31,613.23,0.57,613.8,149.31,79.01,1.98,26.45,12.38,93.05,0.0,130.77,120.85,23.63,144.48,0.24,144.24,144.24,46.94,97.3,97.3,32.46,29.98,29.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,557.09,1.18,558.27,148.67,56.7,-18.67,30.06,12.41,66.26,0.0,116.68,146.16,22.18,168.34,0.33,168.01,168.01,58.61,109.4,109.4,32.46,33.7,33.7,0.0,0.0,0.0,0.0,0.0
2016-09-30,599.9,0.52,600.42,135.89,104.92,9.57,37.68,12.71,61.93,0.0,99.27,138.45,22.51,160.96,0.43,160.53,160.53,56.09,104.44,104.44,32.46,32.17,32.17,0.0,0.0,0.0,0.0,0.0
2016-12-31,643.19,0.05,643.24,181.7,81.87,-29.81,27.38,13.18,54.39,0.0,99.11,215.42,20.81,236.23,4.25,231.98,231.98,81.36,150.62,150.62,32.46,46.4,46.4,0.0,0.0,0.0,0.0,0.0
2017-03-31,573.87,0.0,573.87,149.33,84.37,3.9,33.46,14.19,54.01,0.0,95.05,139.56,23.15,162.71,1.33,161.38,161.38,61.75,99.63,99.63,32.46,30.69,30.69,0.0,0.0,0.0,0.0,0.0
2017-06-30,502.87,0.0,502.87,145.6,82.4,-34.77,15.58,19.66,33.39,0.0,129.55,111.46,10.83,122.29,4.41,117.88,117.88,39.84,78.04,78.04,32.46,24.04,24.04,0.0,0.0,0.0,0.0,0.0
2017-09-30,657.59,0.0,657.59,147.38,87.14,42.71,29.17,12.84,52.75,0.0,110.99,174.61,3.54,178.15,0.41,177.74,177.74,62.18,115.56,115.56,32.46,35.6,35.6,0.0,0.0,0.0,0.0,0.0
2017-12-31,704.16,0.0,704.16,149.14,121.75,9.76,29.02,13.52,67.49,0.0,116.77,196.71,7.09,203.8,0.47,203.33,203.33,72.09,131.24,131.24,32.46,40.43,40.43,0.0,0.0,0.0,0.0,0.0
2018-03-31,568.89,0.0,568.89,115.28,73.82,15.73,32.66,13.68,72.55,0.0,125.07,120.1,6.61,126.71,0.39,126.32,126.32,43.08,83.24,83.24,32.46,25.64,25.64,0.0,0.0,0.0,0.0,0.0
2018-06-30,524.65,0.0,524.65,133.03,59.51,-6.56,24.38,12.33,67.73,0.0,162.63,71.6,6.83,78.43,4.05,74.38,74.38,29.83,44.55,44.55,32.46,13.72,13.72,0.0,0.0,0.0,0.0,0.0
2018-09-30,791.8,0.0,791.8,260.51,104.27,-49.59,35.81,12.07,83.2,0.0,148.04,197.49,23.56,221.05,0.42,220.63,220.63,76.52,144.11,144.11,32.46,44.4,44.4,0.0,0.0,0.0,0.0,0.0
2018-12-31,818.07,0.0,818.07,212.49,139.92,11.46,36.92,12.34,89.68,0.0,136.37,178.89,11.66,190.55,0.48,190.07,190.07,65.95,124.12,124.12,32.46,38.24,38.24,0.0,0.0,0.0,0.0,0.0
2019-03-31,699.34,0.0,699.34,213.66,56.69,25.8,34.58,12.56,70.24,0.0,154.72,131.09,8.43,139.52,0.54,138.98,138.98,48.87,90.11,90.11,32.46,27.76,27.76,0.0,0.0,0.0,0.0,0.0
2019-06-30,637.29,0.0,637.29,263.98,21.07,-25.4,25.07,12.81,69.19,0.0,218.57,52.0,9.69,61.69,4.04,57.65,57.65,-3.14,60.79,60.79,32.46,18.73,18.73,0.0,0.0,0.0,0.0,0.0
2019-09-30,852.14,0.0,852.14,334.88,11.27,-8.62,42.07,11.45,104.46,0.0,185.91,170.72,11.02,181.74,0.36,181.38,181.38,44.54,136.84,136.84,32.46,42.16,42.16,0.0,0.0,0.0,0.0,0.0
2019-12-31,859.27,0.0,859.27,289.15,10.78,21.2,42.92,11.48,108.01,0.0,200.51,175.22,9.02,184.24,2.24,182.0,182.0,46.07,135.93,135.93,32.46,41.88,41.88,0.0,0.0,0.0,0.0,0.0
2020-03-31,656.05,0.0,656.05,210.64,24.47,-16.18,50.2,11.75,74.74,13.88,173.77,112.78,14.52,127.3,2.43,124.87,124.87,33.77,91.1,91.1,32.46,28.07,28.07,0.0,0.0,0.0,0.0,0.0
2020-06-30,634.53,0.0,634.53,231.54,5.88,-4.22,38.1,13.2,41.09,0.0,211.83,97.11,9.55,106.66,1.04,105.62,105.62,36.41,69.21,69.21,32.46,21.32,21.32,0.0,0.0,0.0,0.0,0.0
2020-09-30,1009.45,0.0,1009.45,328.96,8.0,6.22,61.48,11.8,90.2,0.0,176.29,326.5,9.56,336.06,0.36,335.7,335.7,81.84,253.86,253.86,32.46,78.21,78.21,0.0,0.0,0.0,0.0,0.0
2020-12-31,1018.44,0.0,1018.44,297.05,8.04,7.77,41.36,11.98,108.57,0.0,213.24,330.43,9.35,339.78,2.07,337.71,337.71,87.09,250.62,250.62,32.46,77.21,77.21,0.0,0.0,0.0,0.0,0.0
2021-03-31,759.66,0.0,759.66,249.45,11.67,-9.29,56.96,11.26,129.58,7.64,184.96,117.43,14.75,132.18,2.95,129.23,129.23,30.9,98.33,98.33,32.46,30.29,30.29,0.0,0.0,0.0,0.0,0.0
2021-06-30,786.59,0.0,786.59,252.93,13.42,-14.92,41.88,12.62,194.13,0.0,224.27,62.26,5.72,67.98,0.73,67.25,67.25,18.27,48.98,48.98,32.46,15.09,15.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,1058.3,0.0,1058.3,343.04,13.85,-2.68,56.16,12.69,0.0,0.0,346.61,288.63,5.8,294.43,0.59,293.84,293.84,75.55,218.29,218.29,32.59,67.25,67.25,0.0,0.0,0.0,0.0,0.0
2021-12-31,1092.98,0.0,1092.98,359.44,11.67,9.22,59.91,12.89,0.0,0.0,356.27,283.58,6.86,290.44,2.94,287.5,287.5,75.44,212.06,212.06,32.46,65.33,65.33,0.0,0.0,0.0,0.0,0.0
2022-03-31,889.49,83.77,973.26,347.15,106.25,-7.66,55.98,13.12,112.34,0.0,194.19,151.89,6.03,157.92,6.82,151.1,151.1,48.25,102.85,102.85,32.46,31.68,31.68,0.0,0.0,0.0,0.0,0.0
2022-06-30,755.65,20.73,776.38,210.71,173.68,-5.38,42.29,14.18,96.92,0.0,191.07,52.91,5.63,58.54,0.84,57.7,57.7,15.15,42.55,42.55,32.46,13.11,13.11,0.0,0.0,0.0,0.0,0.0
2022-09-30,1040.92,3.97,1044.89,266.3,211.42,-44.41,51.26,13.96,155.69,0.0,190.65,200.02,6.73,206.75,0.95,205.8,205.8,51.39,154.41,154.41,32.46,47.57,47.57,0.0,0.0,0.0,0.0,0.0
2022-12-31,1137.39,0.0,1137.39,225.1,205.81,55.14,56.93,14.41,0.0,0.0,303.92,276.08,9.31,285.39,3.86,281.53,281.53,74.06,207.47,207.47,32.46,63.91,63.91,0.0,0.0,0.0,0.0,0.0
2023-03-31,881.31,1.78,883.09,156.25,213.69,13.95,49.53,14.58,0.0,0.0,300.4,134.69,14.44,149.13,3.57,145.56,145.56,-19.46,165.02,165.02,32.46,50.84,50.84,0.0,0.0,0.0,0.0,0.0
2023-06-30,848.74,3.79,852.53,199.9,193.09,-33.21,48.07,15.41,53.54,0.0,176.25,199.48,10.1,209.58,3.0,206.58,206.58,55.34,151.24,151.24,32.46,46.59,46.59,0.0,0.0,0.0,0.0,0.0
2023-09-30,1135.06,3.29,1138.35,216.52,222.85,5.74,63.72,14.3,153.47,0.0,191.16,270.59,15.77,286.36,1.89,284.47,284.47,73.78,210.69,210.69,32.46,64.91,64.91,0.0,0.0,0.0,0.0,0.0
2023-12-31,1130.93,2.5,1133.43,214.57,218.87,17.53,54.7,14.26,126.7,0.0,191.32,295.48,15.58,311.06,2.55,308.51,308.51,79.61,228.9,228.9,32.46,70.51,70.51,0.0,0.0,0.0,0.0,0.0
2024-03-31,1002.17,0.0,1002.17,164.0,180.86,-7.1,60.09,14.54,0.0,0.0,347.01,242.77,13.59,256.36,22.42,233.94,233.94,79.57,154.37,154.37,32.46,47.56,47.56,0.0,0.0,0.0,0.0,0.0
2024-06-30,931.75,0.0,931.75,176.85,231.8,-28.3,67.13,13.4,0.0,0.0,365.98,104.89,7.31,112.2,-0.08,112.28,112.28,31.22,81.06,81.06,32.46,24.97,24.97,0.0,0.0,0.0,0.0,0.0
2024-09-30,1135.16,0.0,1135.16,194.0,216.82,10.41,60.51,11.7,0.0,0.0,362.94,278.78,8.5,287.28,1.91,285.37,285.37,73.47,211.9,211.9,32.46,65.28,65.28,0.0,0.0,0.0,0.0,0.0
2024-12-31,1246.25,1.38,1247.63,197.82,246.04,-4.71,66.17,9.89,0.0,0.0,371.38,361.04,9.71,370.75,6.62,364.13,364.13,95.54,268.59,268.59,32.46,82.74,82.74,0.0,0.0,0.0,0.0,0.0
