Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-12-31,165.15,165.15,58.23,9.31,33.37,64.23,2.33,66.56,25.97,40.59,40.59,11.25,29.34,29.34,167.57,1.81,1.81
2022-03-31,175.32,175.32,60.3,9.63,30.12,75.27,1.08,76.34,2.58,73.76,73.76,20.81,52.95,52.95,167.57,3.37,3.34
2022-06-30,163.28,163.28,68.99,10.6,31.92,51.77,2.46,54.22,2.67,51.55,51.55,13.51,38.04,38.04,167.57,2.27,0.0
2022-09-30,174.05,174.05,71.48,10.77,32.1,59.7,2.38,62.08,2.55,59.54,59.54,11.65,47.89,47.89,167.57,2.86,2.84
2022-12-31,181.24,181.24,67.99,11.68,33.54,68.03,6.17,74.2,2.64,71.56,71.56,18.22,53.34,53.34,167.57,3.18,3.15
2023-03-31,177.88,177.88,63.84,10.4,30.15,73.49,6.03,79.52,2.76,76.76,76.76,19.77,56.99,56.99,169.23,3.38,3.32
2023-06-30,175.54,175.54,69.72,11.42,35.2,59.2,5.18,64.38,2.89,61.5,61.5,16.66,44.84,44.84,169.91,2.65,2.6
2023-09-30,200.42,200.42,70.38,11.51,37.03,81.5,6.14,87.64,3.17,84.47,84.47,22.44,62.02,62.02,170.25,3.65,3.61
2023-12-31,210.54,210.54,76.76,12.26,38.01,83.52,6.24,89.76,1.16,88.6,88.6,22.79,65.81,65.81,170.65,3.86,3.82
2024-03-31,224.34,224.34,80.31,13.43,45.26,85.33,6.36,91.69,1.11,90.58,90.58,17.83,72.75,72.75,170.99,4.26,4.22
2024-06-30,229.59,229.59,88.77,13.59,42.76,84.48,7.85,92.33,1.16,91.17,91.17,23.32,67.85,67.85,171.32,3.97,3.93
2024-09-30,269.23,269.23,93.37,15.32,52.63,107.92,7.91,115.83,1.07,114.76,114.76,29.58,85.18,85.18,171.41,4.97,4.93
2024-12-31,282.4,282.4,94.42,15.14,57.42,115.42,8.55,123.97,1.14,122.83,122.83,31.79,91.04,91.04,171.83,5.3,5.26
2025-03-31,274.29,274.29,90.23,15.28,67.4,101.37,9.33,110.7,1.27,109.44,109.44,27.96,81.47,81.47,172.08,4.74,4.7
