Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,22800.19,7071.97,109.74,361.72,3648.49,19189.16,4351.23,2660.96,7790.76,2667.91,0.0,5122.85,1726.79,3396.06,3396.06,671.05,61.58,10.7,12.21,50.61,50.61,53457.79,25370.31,5.3,2.59,0.87,25.78,38.42,41.33,100.0,61.58
2013-03-31,23064.21,7035.03,166.14,518.81,5546.68,19705.77,5612.36,3252.1,7760.64,4180.99,0.0,3579.65,280.43,3299.22,3299.22,684.03,62.31,11.22,12.92,49.13,49.13,51189.39,21956.48,4.75,2.1,0.81,25.78,37.69,42.62,100.0,62.31
2013-06-30,23846.49,7360.76,113.13,397.95,4474.29,20206.45,5539.45,2895.45,7551.27,2865.88,0.0,4685.39,1444.31,3241.08,3241.08,684.03,62.31,0.0,12.12,47.38,47.38,60891.46,29989.84,5.56,2.83,0.81,25.78,37.69,42.62,100.0,62.31
2013-09-30,25378.74,8137.33,105.78,300.27,3277.8,21670.7,5818.54,3399.0,6311.68,3028.74,0.0,3282.94,907.93,2375.01,2375.01,684.03,62.31,0.0,11.96,34.72,34.72,64206.3,32151.37,5.64,2.91,0.58,25.78,37.69,42.62,100.0,62.31
2013-12-31,26309.65,8227.6,92.03,241.18,4190.3,22229.94,5867.13,3345.22,7618.47,4149.61,0.0,3468.86,1234.52,2234.34,2234.34,684.03,62.31,0.0,11.88,32.66,32.66,67799.33,37167.35,5.73,3.24,0.52,25.78,37.69,42.62,100.0,62.31
2014-03-31,26949.22,8228.2,98.37,581.83,6585.65,22954.81,5279.16,3581.48,10627.82,5891.12,0.0,4736.7,1695.96,3040.74,3040.74,746.57,58.6,0.0,12.96,41.79,41.79,61605.35,31096.07,4.95,2.57,0.69,30.91,41.4,43.75,100.0,58.6
2014-06-30,27559.82,8559.32,90.04,277.94,4252.09,23234.88,5564.57,3152.02,8787.74,3496.73,0.0,5291.01,1941.93,3349.08,3349.08,746.57,58.6,0.0,12.85,44.86,44.86,60434.24,31883.8,4.9,2.66,0.74,30.91,41.4,43.75,100.0,58.6
2014-09-30,27869.18,9060.97,104.67,227.79,4570.75,23988.01,5563.93,3859.5,8421.92,4274.98,0.0,4146.94,1046.53,3100.41,3100.41,746.57,58.6,0.0,12.87,41.53,41.53,60712.38,32997.16,4.89,2.73,0.67,30.91,41.4,43.75,100.0,58.6
2014-12-31,28646.37,9484.73,151.51,263.57,5237.8,24769.54,5842.03,3877.94,9294.47,5234.91,0.0,4059.56,1149.5,2910.06,2910.06,746.57,58.6,0.0,12.54,3.9,3.9,61991.45,34468.74,4.9,2.8,0.62,309.11,41.4,437.46,100.0,58.6
2015-03-31,28268.54,9982.75,158.9,1690.97,8515.25,25389.4,6566.54,4251.11,12409.36,6592.91,0.0,5816.45,2074.43,3742.02,3742.02,746.57,58.6,0.0,12.79,5.01,5.01,56725.34,27590.58,4.25,2.12,0.76,309.11,41.4,437.46,100.0,58.6
