Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Money Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,635.0,635.0,0.0,64351.04,64351.04,64986.04,933932.81,119568.96,105248.39,1223736.2,94395.5,28478.65,295600.57,756719.45,4764.19,43777.85,1223736.2,13698.0,222933.0,11.98,7.77,4.21,25326.29,3.0,12346.9,1.63,2.0,59904.98,790389.59,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,671.04,671.04,0.0,83280.16,83280.16,83951.21,1043647.36,127005.57,80915.09,1335519.23,54075.94,43087.23,312197.61,867578.89,5466.55,53113.02,1335519.23,14270.0,215481.0,13.86,9.79,4.07,39676.46,5.0,15818.85,1.82,2.0,66959.85,899565.18,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,684.03,684.03,0.0,98199.65,98199.65,98883.69,1202739.57,169182.71,95455.07,1566261.04,65830.41,48989.75,350927.27,1045616.55,7005.02,47892.03,1566261.04,15002.0,228296.0,12.92,9.49,3.43,51189.39,5.0,21956.48,2.1,2.0,66639.54,993018.45,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,746.57,746.57,0.0,117535.68,117535.68,118282.25,1394408.5,183130.88,96926.65,1792748.29,84955.66,47593.97,398799.57,1209828.72,8002.16,43568.21,1792748.29,15869.0,222809.0,13.0,10.0,3.0,61605.35,5.0,31096.07,3.0,3.0,74028.42,1017329.95,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,746.57,746.57,0.0,127691.65,127691.65,128438.23,1576793.25,205150.29,137698.04,2048079.8,115883.84,38871.94,481758.75,1300026.39,9329.16,102209.71,2048079.8,16333.0,213238.0,12.0,9.6,2.4,56725.34,4.0,27590.58,2.12,2.0,92795.25,971956.01,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,776.28,776.28,0.0,143498.16,143498.16,144274.44,1730722.44,224190.59,159875.57,2259063.03,129629.33,37838.33,477097.28,1463700.42,10389.28,140408.41,2259063.03,16784.0,207739.0,13.0,10.0,3.0,98172.8,7.0,55807.02,4.0,4.0,199140.17,865027.48,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,797.35,797.35,31585.65,155903.06,187488.71,188286.06,2044751.39,317693.66,155235.19,2705966.3,127997.62,43974.03,765989.63,1571078.38,42918.92,154007.72,2705966.3,17170.0,209567.0,13.0,10.0,3.0,112342.99,7.0,58277.38,4.0,4.0,65640.42,1046440.93,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,892.46,892.46,24847.99,193388.12,218236.1,219128.56,2706343.29,362142.07,167138.08,3454752.0,150397.18,41501.46,1060986.72,1934880.19,39992.25,226994.2,3454752.0,22414.0,264041.0,13.0,10.0,2.0,223427.46,11.0,110854.7,6.0,6.0,74027.9,1162020.69,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,892.46,892.46,24653.94,195367.42,220021.36,220913.82,2911386.01,403017.12,145597.3,3680914.25,176932.42,45557.69,967021.95,2185876.92,39197.57,266327.7,3680914.25,22010.0,257252.0,12.72,10.65,2.07,172753.6,8.0,658947.4,3.01,3.0,70022.54,1116081.46,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,892.46,892.46,23762.67,207352.3,231114.97,232007.43,3241620.73,314655.65,163110.1,3951393.92,166735.78,84361.23,1046954.52,2325289.56,38439.28,289613.55,3951393.92,22141.0,249448.0,13.13,10.71,2.42,149091.85,6.0,51871.3,2.23,2.0,55758.16,1214994.61,0.0,0.0,0.0,0.0,0.0,0.0
