Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,48.54,48.54,5.36,0.75,0.59,12.35,2.39,10.21,16.89,13.23,30.12,0.58,29.54,29.54,7.08,22.46,22.46,3.83,11.73,4.61
2021-03-31,47.38,47.38,4.6,0.54,0.0,14.1,2.31,9.05,16.79,8.58,25.37,0.63,24.73,24.73,4.3,20.44,20.44,3.83,10.67,3.78
2021-06-30,51.23,51.23,2.04,0.15,-0.35,19.85,1.47,3.21,24.86,8.95,33.81,0.5,33.3,33.3,9.01,24.29,24.29,10.64,4.57,0.0
2021-09-30,48.54,48.54,5.36,0.75,0.59,12.35,2.39,10.21,16.89,13.23,30.12,0.58,29.54,29.54,7.08,22.46,22.46,10.64,4.22,4.14
2021-12-31,43.05,43.05,2.9,0.51,0.06,14.75,1.9,9.73,13.22,6.27,19.49,0.49,19.0,19.0,3.24,15.75,15.75,10.65,2.96,2.9
2022-03-31,55.33,55.33,6.68,0.56,-0.75,9.33,2.2,14.14,23.17,11.29,34.45,0.55,33.9,33.9,10.31,23.59,23.59,10.65,4.59,4.48
2022-06-30,61.85,61.85,5.64,2.31,0.44,13.18,1.68,9.55,29.05,6.17,35.22,0.57,34.65,34.65,9.53,25.12,25.12,10.65,4.72,4.59
2022-09-30,67.1,67.1,2.18,6.74,-0.08,13.01,1.66,14.79,28.8,7.34,36.14,0.42,35.72,35.72,9.57,26.15,26.15,10.73,4.87,4.77
2022-12-31,59.25,59.25,1.26,7.37,0.06,13.03,1.57,9.98,25.98,10.85,36.83,0.38,36.45,36.45,6.6,29.85,29.85,10.73,5.56,5.44
2023-03-31,65.65,65.65,6.54,4.33,0.16,14.24,1.24,13.79,25.35,11.42,36.77,0.43,36.34,36.34,8.7,27.64,27.64,10.73,5.15,5.03
2023-06-30,75.03,75.03,2.15,6.51,-0.27,12.71,1.88,16.65,35.39,8.37,43.76,0.32,43.44,43.44,10.18,33.26,33.26,10.73,6.2,6.05
2023-09-30,79.53,79.53,10.15,0.0,0.0,14.17,2.48,15.87,36.86,8.11,44.97,0.37,44.6,44.6,10.51,34.09,34.09,10.81,6.31,6.26
2023-12-31,76.1,76.1,0.0,9.42,-1.41,14.33,2.23,19.53,32.01,11.56,43.57,0.31,43.26,43.26,10.93,32.33,32.33,10.81,5.98,5.93
2024-03-31,84.95,84.95,13.79,0.0,0.0,13.26,2.09,22.15,33.66,12.46,46.12,0.26,45.86,45.86,8.07,37.79,37.79,10.81,6.99,6.93
2024-06-30,86.35,86.35,0.02,3.92,-0.03,15.67,2.52,26.12,38.13,10.07,48.2,0.2,48.01,48.01,10.76,37.25,37.25,10.81,6.89,6.84
2024-09-30,83.69,83.69,0.0,9.83,0.0,14.65,2.55,25.2,31.45,10.03,41.48,0.18,41.31,41.31,10.01,31.3,31.3,10.88,5.75,5.69
2024-12-31,96.33,96.33,7.49,0.0,0.0,15.45,2.55,34.53,36.31,9.0,45.31,0.23,45.08,45.08,12.47,32.61,32.61,10.88,5.99,5.93
2025-03-31,117.51,117.51,11.82,0.0,0.0,15.98,2.58,38.12,49.01,23.1,72.11,0.12,71.99,71.99,23.12,48.87,48.87,10.88,8.98,8.89
