Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2023-06-30,246.31,246.31,176.03,17.36,9.51,0.93,24.33,18.15,0.96,19.11,1.16,17.95,17.95,6.94,11.02,11.02,97.5,0.52,0.52
2023-09-30,245.14,245.14,180.59,5.96,10.08,0.97,29.02,18.52,6.24,24.76,1.29,23.47,23.47,5.77,17.7,17.7,97.5,0.83,0.83
2023-12-31,263.96,263.96,193.84,3.19,10.75,1.05,33.56,21.58,0.66,22.24,2.37,19.87,19.87,5.13,14.74,14.74,106.12,0.69,0.69
2024-03-31,260.77,260.77,193.42,0.26,9.56,1.07,34.54,21.93,1.0,22.93,2.6,20.33,20.33,1.72,18.62,18.62,106.12,0.88,0.88
2024-06-30,259.95,259.95,227.4,-32.46,11.84,0.73,28.02,24.43,0.96,25.4,2.67,22.73,22.73,5.97,16.76,16.76,106.12,0.79,0.79
2024-09-30,249.83,249.83,199.81,-7.75,11.86,0.83,28.57,16.51,11.69,28.2,0.27,27.93,27.93,4.92,23.01,23.01,110.44,1.04,1.04
2024-12-31,291.34,291.34,216.69,-1.48,12.26,0.85,31.45,31.58,4.95,36.53,0.09,36.44,36.44,9.82,26.61,26.61,110.44,1.23,1.23
