Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-03-31,758.7,0.0,758.7,184.7,30.1,167.8,80.3,126.8,169.0,14.7,183.7,5.6,178.1,0.0,178.1,31.1,147.0,147.0,400.8,0.0,3.69,3.65,0.0,0.0,0.0,0.0,0.0
2022-06-30,644.5,0.0,644.5,210.2,-49.0,180.3,86.1,131.1,85.8,15.5,101.3,9.4,91.9,0.0,91.9,18.7,73.2,73.2,401.4,0.0,1.84,1.82,0.0,0.0,0.0,0.0,0.0
2022-09-30,768.1,0.0,768.1,218.2,-19.2,200.3,90.2,153.1,125.5,15.4,140.9,11.7,129.2,0.0,129.2,27.7,101.5,101.5,401.4,0.0,2.53,2.51,0.0,0.0,0.0,0.0,0.0
2022-12-31,786.6,0.0,786.6,217.6,-11.4,203.2,94.6,146.8,135.8,17.2,153.0,13.7,139.3,0.0,139.3,29.8,109.5,109.5,401.4,0.0,2.73,2.71,0.0,0.0,0.0,0.0,0.0
2023-03-31,994.4,0.0,994.4,256.2,37.6,228.4,88.1,155.8,228.3,22.8,251.1,10.4,240.7,0.0,240.7,51.7,189.0,189.0,401.4,0.0,4.71,4.68,0.0,0.0,0.0,0.0,0.0
2023-06-30,715.8,0.0,715.8,213.8,3.3,179.0,88.7,156.3,74.7,22.9,97.6,6.1,91.5,0.0,91.5,16.2,75.3,75.3,402.0,0.0,1.88,1.87,0.0,0.0,0.0,0.0,0.0
2023-09-30,830.7,0.0,830.7,235.3,25.4,190.6,90.9,162.8,125.7,21.0,146.7,8.6,138.1,-7.4,130.7,29.1,101.6,101.6,402.0,0.0,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2023-12-31,791.9,0.0,791.9,227.6,-2.8,196.5,93.6,171.1,105.9,28.8,134.7,6.3,128.4,-3.7,124.7,24.9,99.8,99.8,402.0,0.0,2.49,2.48,0.0,0.0,0.0,0.0,0.0
2024-03-31,864.7,0.0,864.7,162.4,30.7,195.1,95.7,177.2,203.6,15.3,218.9,8.5,210.4,0.0,210.4,20.6,189.8,189.8,402.0,0.0,4.73,4.72,0.0,0.0,0.0,0.0,0.0
2024-06-30,726.5,0.0,726.5,210.2,8.9,195.6,91.7,163.6,56.5,17.7,74.2,7.4,66.8,32.0,98.8,24.9,73.9,73.9,402.5,0.0,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2024-09-30,821.3,0.0,821.3,216.2,5.8,224.1,93.7,166.6,114.9,16.4,131.3,7.0,124.3,0.0,124.3,27.7,96.6,96.6,402.5,0.0,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2024-12-31,877.1,0.0,877.1,229.1,-4.6,212.6,92.3,189.2,158.5,18.0,176.5,6.7,169.8,0.0,169.8,46.7,123.1,123.1,402.5,0.0,3.07,3.06,0.0,0.0,0.0,0.0,0.0
2025-03-31,948.4,0.0,948.4,212.8,7.0,209.4,89.6,209.2,220.4,18.4,238.8,10.1,228.7,0.0,228.7,54.3,174.4,174.4,402.5,0.0,4.34,4.33,0.0,0.0,0.0,0.0,0.0
