Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2014-06-30,175.1,3.5,178.6,45.8,0.8,46.7,18.5,28.2,38.6,4.7,43.3,0.3,43.0,0.0,43.0,8.4,34.6,34.6,26.1,668.2,1.86,1.79,0.48,8.85,4.75,100.0,87.69
2014-09-30,197.92,3.97,201.89,63.22,-6.19,50.79,19.44,30.56,44.07,3.28,47.35,4.27,43.08,0.0,43.08,3.07,40.01,40.01,27.13,0.0,2.13,2.06,0.25,4.46,0.25,100.0,95.54
2014-12-31,222.78,4.83,227.61,73.58,-4.61,51.61,21.06,29.94,56.03,1.42,57.45,2.93,54.52,0.0,54.52,9.73,44.79,44.79,199.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,246.9,4.9,251.8,66.7,-0.3,52.8,22.4,49.2,61.0,2.3,63.3,0.4,62.9,0.0,62.9,7.3,55.6,55.6,199.1,645.8,2.88,2.78,2.22,11.12,17.11,100.0,85.54
2015-06-30,228.3,5.4,233.7,72.0,-6.5,57.7,22.2,35.6,52.7,2.1,54.8,4.0,50.8,0.0,50.8,7.2,43.6,43.6,199.1,690.9,2.26,2.18,2.22,11.11,17.11,100.0,85.55
2015-09-30,256.05,5.35,261.4,78.06,-4.49,57.5,23.81,44.49,62.03,0.99,63.02,2.23,60.79,0.0,60.79,8.5,52.29,52.29,199.06,0.0,2.7,2.61,4.42,22.11,14.91,100.0,74.55
2015-12-31,275.1,5.3,280.4,82.6,-1.2,60.5,25.3,44.5,68.7,0.3,69.0,1.2,67.8,0.0,67.8,9.0,58.8,58.8,199.2,0.0,3.03,2.94,0.0,0.0,0.0,0.0,0.0
2016-03-31,326.2,5.3,331.5,82.1,7.8,74.6,26.0,63.9,77.1,2.7,79.8,1.0,78.8,0.0,78.8,12.3,66.5,66.5,199.2,0.0,3.43,3.32,0.0,0.0,0.0,0.0,0.0
2016-06-30,269.2,5.3,274.5,72.9,-1.5,73.9,26.6,40.4,62.2,15.9,78.1,5.2,72.9,0.0,72.9,13.1,59.8,59.8,200.0,0.0,3.08,3.03,0.0,0.0,0.0,0.0,0.0
2016-09-30,294.7,8.3,303.0,81.6,-3.1,76.7,27.8,42.2,77.8,16.3,94.1,2.7,91.4,0.0,91.4,16.7,74.7,74.7,200.0,0.0,3.81,3.77,0.0,0.0,0.0,0.0,0.0
2016-12-31,323.8,8.3,332.1,88.3,2.8,80.1,28.8,48.1,84.0,14.6,98.6,6.8,91.8,0.0,91.8,17.4,74.4,74.4,200.0,0.0,3.8,3.76,0.0,0.0,0.0,0.0,0.0
2017-03-31,291.3,0.0,291.3,78.4,2.4,77.9,31.1,32.2,69.3,23.9,93.2,2.8,90.4,0.0,90.4,12.0,78.4,78.4,200.0,0.0,4.0,3.95,0.0,0.0,0.0,0.0,0.0
2017-06-30,291.1,0.0,291.1,78.3,-9.0,86.0,31.9,39.8,64.1,17.2,81.3,5.3,76.0,0.0,76.0,14.0,62.0,62.0,200.0,0.0,3.16,3.13,0.0,0.0,0.0,0.0,0.0
2017-09-30,335.2,0.0,335.2,98.6,-18.6,93.7,30.3,48.0,83.2,16.4,99.6,5.2,94.4,0.0,94.4,17.5,76.9,76.9,200.0,0.0,3.88,3.87,0.0,0.0,0.0,0.0,0.0
2017-12-31,387.7,0.0,387.7,101.3,5.5,95.2,35.0,59.6,91.1,11.6,102.7,5.1,97.6,0.0,97.6,15.7,81.9,81.9,200.0,0.0,4.14,4.13,0.0,0.0,0.0,0.0,0.0
2018-03-31,409.1,0.0,409.1,117.0,8.6,102.0,34.2,52.7,94.6,16.6,111.2,7.1,104.1,0.0,104.1,19.8,84.3,84.3,200.0,0.0,4.26,4.24,0.0,0.0,0.0,0.0,0.0
2018-06-30,406.0,0.0,406.0,136.8,-8.0,105.6,37.3,62.4,71.9,18.8,90.7,7.9,82.8,0.0,82.8,16.8,66.0,66.0,200.0,0.0,3.33,3.32,0.0,0.0,0.0,0.0,0.0
2018-09-30,418.6,0.0,418.6,106.1,4.2,113.0,39.9,68.8,86.6,18.2,104.8,8.2,96.6,0.0,96.6,18.4,78.2,78.2,200.0,0.0,3.95,3.94,0.0,0.0,0.0,0.0,0.0
2018-12-31,467.1,0.0,467.1,126.2,16.4,116.6,42.9,67.6,97.4,17.3,114.7,8.2,106.5,0.0,106.5,19.8,86.7,86.7,200.0,0.0,4.37,4.36,0.0,0.0,0.0,0.0,0.0
2019-03-31,533.9,0.0,533.9,136.2,13.4,130.2,44.1,94.5,115.5,20.8,136.3,8.0,128.3,0.0,128.3,28.5,99.8,99.8,200.0,0.0,5.03,5.02,0.0,0.0,0.0,0.0,0.0
2019-06-30,420.9,0.0,420.9,112.3,-6.8,130.5,47.4,63.9,73.6,20.5,94.1,7.1,87.0,0.0,87.0,15.1,71.9,71.9,400.0,0.0,1.81,1.8,0.0,0.0,0.0,0.0,0.0
2019-09-30,464.6,0.0,464.6,124.9,0.2,130.2,52.6,70.4,86.3,20.6,106.9,8.4,98.5,71.3,169.8,41.8,128.0,128.0,400.0,0.0,3.22,3.21,0.0,0.0,0.0,0.0,0.0
2019-12-31,519.1,0.0,519.1,144.9,-0.3,150.0,57.0,71.4,96.1,20.0,116.1,9.8,106.3,0.0,106.3,14.7,91.6,91.6,400.0,0.0,2.31,2.3,0.0,0.0,0.0,0.0,0.0
2020-03-31,607.3,0.0,607.3,136.5,7.7,161.5,62.3,97.9,141.4,20.5,161.9,9.3,152.6,0.0,152.6,32.6,120.0,120.0,400.0,0.0,3.02,3.01,0.0,0.0,0.0,0.0,0.0
2020-06-30,420.2,0.0,420.2,92.7,-3.0,136.5,66.1,69.8,58.1,15.3,73.4,7.4,66.0,0.0,66.0,8.2,57.8,57.8,400.0,0.0,1.46,1.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,517.0,0.0,517.0,131.3,-3.7,156.2,68.7,78.2,86.3,13.8,100.1,6.6,93.5,0.0,93.5,9.9,83.6,83.6,400.0,0.0,2.1,2.09,0.0,0.0,0.0,0.0,0.0
2020-12-31,584.1,0.0,584.1,163.4,-15.7,171.5,69.7,89.3,105.9,17.1,123.0,7.1,115.9,0.0,115.9,14.1,101.8,101.8,400.0,0.0,2.56,2.54,0.0,0.0,0.0,0.0,0.0
2021-03-31,658.1,0.0,658.1,164.3,-2.8,177.3,70.0,104.1,145.2,18.4,163.6,6.6,157.0,35.0,192.0,31.5,160.5,160.5,400.0,0.0,4.03,4.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,593.7,0.0,593.7,206.4,-11.8,167.9,74.7,66.8,89.7,12.3,102.0,7.9,94.1,0.0,94.1,17.2,76.9,76.9,400.8,0.0,1.9,1.88,0.0,0.0,0.0,0.0,0.0
2021-09-30,609.5,0.0,609.5,183.6,-16.1,179.4,76.2,85.5,100.9,12.9,113.8,1.2,112.6,-30.7,81.9,15.4,66.5,66.5,400.8,0.0,1.64,1.63,0.0,0.0,0.0,0.0,0.0
2021-12-31,639.5,0.0,639.5,195.9,-23.8,182.7,78.5,82.1,124.1,12.9,137.0,9.4,127.6,0.0,127.6,24.2,103.4,103.4,400.8,0.0,2.55,2.54,0.0,0.0,0.0,0.0,0.0
