Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1927.36,583.71,3.16,22.35,173.58,1744.29,287.82,153.04,525.01,143.89,381.12,187.06,194.06,194.06,589.59,3170.04,78.95,9.61,10.7,3.03,3.03,1284.43,486.77,1.71,0.66,0.71,12.41,21.05,46.55,100.0,78.95
2013-03-31,2144.05,602.84,33.98,0.6,382.41,1910.43,363.21,179.63,710.61,124.45,586.16,327.17,258.99,258.99,661.48,4027.21,81.24,11.72,12.59,4.13,4.13,1137.55,392.93,1.49,0.52,0.89,12.41,18.76,53.74,100.0,81.24
2013-06-30,2129.05,592.24,27.63,0.29,225.1,1841.19,265.53,168.67,698.92,269.66,429.26,162.93,266.33,266.33,661.48,4027.21,81.24,0.0,11.83,3.81,3.81,1499.74,655.96,1.8,0.8,0.89,12.41,18.76,53.74,100.0,81.24
2013-09-30,2324.87,613.58,35.26,39.78,183.07,2137.33,437.12,206.84,415.27,323.23,92.04,45.19,46.85,46.85,661.48,4027.21,81.24,0.0,11.67,0.5,0.5,2450.48,1535.33,2.77,1.76,0.14,12.41,18.76,53.74,100.0,81.24
2013-12-31,2385.44,663.4,51.68,19.75,187.22,2264.25,420.39,197.84,425.01,407.78,17.23,1.38,15.85,15.85,839.1,4027.21,85.21,0.0,12.32,0.01,0.01,3515.59,2200.61,4.01,2.56,0.06,12.41,14.79,71.5,100.0,85.21
2014-03-31,2347.78,673.81,36.06,16.03,298.8,2204.96,472.72,227.62,467.18,257.35,209.83,152.88,56.95,56.95,839.1,4875.47,85.21,0.0,12.11,0.5,0.5,2859.85,1807.32,3.16,2.03,0.17,12.41,14.79,71.5,100.0,85.21
2014-06-30,2393.9,672.17,26.9,2.72,190.43,2181.15,423.2,210.41,471.36,236.25,235.11,117.29,117.82,117.82,839.1,4875.47,85.21,0.0,12.1,1.4,1.4,3761.29,2563.19,4.23,2.94,0.35,12.41,14.79,71.5,100.0,85.21
2014-09-30,2478.75,695.76,19.77,3.24,222.04,2206.01,403.07,222.42,588.06,293.41,294.65,131.74,162.91,162.91,1063.18,4875.47,79.8,0.0,12.35,1.57,1.57,4350.62,2901.45,4.83,3.29,0.48,21.48,20.2,84.84,100.0,79.8
2014-12-31,2451.02,671.46,4.56,27.89,211.92,2157.16,384.49,205.93,619.27,580.14,39.13,-18.11,57.24,57.24,1063.18,4875.47,79.8,0.0,11.94,0.54,0.54,6186.66,4265.44,6.65,4.71,0.17,21.48,20.2,84.84,100.0,20.2
2015-03-31,2497.11,712.08,5.84,2.27,381.59,2246.08,422.45,253.96,676.4,431.91,244.49,131.77,112.72,112.72,1063.18,5988.01,79.8,0.0,12.79,1.06,1.06,6402.06,4126.57,6.33,4.19,0.32,21.48,20.2,84.84,100.0,79.3
