Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-12-31,258.14,258.14,30.21,27.48,153.13,47.32,6.25,53.57,1.02,52.55,0.0,52.55,9.84,42.71,42.71,320.94,1.33,1.33
2020-06-30,247.62,247.62,32.13,40.86,157.58,17.05,5.74,22.79,0.68,22.11,0.0,22.11,5.92,16.19,16.19,320.94,1617.54,0.0
2020-09-30,265.45,265.45,32.12,40.87,162.55,29.91,8.56,38.47,0.69,37.78,0.0,37.78,10.1,27.68,27.68,320.94,0.86,0.86
2020-12-31,394.73,394.73,26.75,37.56,242.91,87.51,5.98,93.49,-0.21,93.7,0.0,93.7,24.36,69.34,69.34,320.94,2.16,2.16
2021-03-31,429.48,429.48,30.7,39.96,325.27,33.55,8.14,41.69,0.67,41.02,0.0,41.02,13.82,27.2,27.2,320.94,0.85,0.85
2021-06-30,304.04,304.04,37.53,39.08,206.99,20.44,7.76,28.2,0.77,27.43,0.0,27.43,6.59,20.84,20.84,320.94,0.65,0.65
2021-09-30,348.46,348.46,34.67,40.08,204.24,69.47,21.33,90.8,0.71,90.09,0.0,90.09,23.28,66.81,66.81,320.94,2.08,2.08
2021-12-31,413.81,413.81,48.48,37.93,294.05,33.35,56.15,89.5,0.61,88.89,0.0,88.89,22.31,66.58,66.58,320.94,2.07,2.07
2022-03-31,455.23,455.23,61.82,43.04,297.21,53.16,21.11,74.27,1.13,73.14,0.0,73.14,19.03,54.11,54.11,320.94,1.69,1.69
2022-06-30,370.46,370.46,51.04,39.56,253.2,26.66,7.58,34.24,0.53,33.71,0.0,33.71,8.63,25.08,25.08,320.94,0.78,0.78
2022-09-30,425.12,425.12,43.74,36.55,281.13,63.7,10.94,74.64,0.68,73.96,0.0,73.96,18.79,55.17,55.17,320.94,1.72,1.72
2022-12-31,450.53,450.53,48.24,36.95,328.76,36.58,6.33,42.91,0.44,42.47,0.0,42.47,10.89,31.58,31.58,320.94,0.98,0.98
2023-03-31,700.41,700.41,51.0,41.2,550.35,57.86,9.29,67.15,1.26,65.89,36.54,102.43,26.88,75.55,75.55,320.94,2.35,2.35
2023-06-30,463.46,463.46,52.14,36.69,338.41,36.22,14.89,51.11,0.9,50.21,0.0,50.21,12.75,37.46,37.46,320.94,1.17,1.17
2023-09-30,599.15,599.15,51.58,37.87,432.3,77.4,13.67,91.07,0.61,90.46,0.0,90.46,22.31,68.15,68.15,320.94,2.12,2.12
2023-12-31,668.36,668.36,55.02,40.54,494.54,78.26,6.45,84.71,0.47,84.24,0.0,84.24,22.1,62.14,62.14,320.94,1.94,1.94
2024-03-31,832.7,832.7,45.56,42.6,670.59,73.95,19.1,93.05,3.51,89.54,12.39,101.93,24.4,77.53,77.53,320.94,2.42,2.42
2024-06-30,558.11,558.11,56.14,37.55,398.6,65.82,19.45,85.27,0.97,84.3,-17.52,66.78,18.11,48.67,48.67,320.94,1.52,1.52
2024-09-30,843.49,843.49,53.23,39.88,660.94,89.44,19.02,108.46,0.55,107.91,-13.78,94.13,21.49,72.64,72.64,320.94,2.26,2.26
2024-12-31,767.62,767.62,56.42,43.22,590.05,77.93,14.67,92.6,0.56,92.04,-2.36,89.68,24.63,65.05,65.05,320.94,2.03,2.03
2025-03-31,1308.28,1308.28,43.93,59.75,1084.72,119.88,20.4,140.28,1.03,139.25,11.94,151.19,37.74,113.45,113.45,320.94,3.53,3.53
