Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Equity Share Application Money,Long Term Borrowings,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2004-03-31,158.05,158.05,-17.1,-17.1,140.95,0.0,0.0,150.0,0.0,453.64,0.01,453.65,820.95,712.55,0.0,53.02,765.57,0.0,0.0,0.0,0.9,766.47,0.0,0.47,0.49,43.2,9.4,0.92,54.48,820.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.35,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,234.41,234.41,-0.89,-0.89,233.52,0.0,0.0,170.0,0.0,489.14,0.02,489.16,892.68,723.4,0.0,115.64,839.04,0.0,0.0,0.0,0.4,839.44,0.0,0.41,3.02,37.19,11.61,1.01,53.24,892.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,234.4,234.4,-46.87,-46.87,187.53,0.0,0.0,217.0,0.0,540.93,0.06,540.99,945.52,688.0,0.0,184.16,872.16,0.0,0.0,0.0,0.0,872.16,0.0,0.91,4.38,36.68,31.05,0.34,73.36,945.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,320.94,320.94,-6.03,-6.03,314.91,0.0,0.0,272.0,0.0,201.0,0.1,201.1,788.01,531.23,0.0,63.87,595.1,0.0,0.0,0.0,0.0,595.1,0.0,0.91,9.69,70.25,112.01,0.05,192.91,788.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,320.94,320.94,44.26,44.26,365.2,0.0,0.0,230.16,0.0,256.27,2.34,258.61,853.97,609.9,0.0,53.38,663.28,0.0,0.0,0.0,0.0,663.28,0.0,0.79,27.13,83.78,78.82,0.17,190.69,853.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,320.94,320.94,136.94,136.94,457.88,0.0,0.0,188.32,0.0,328.88,34.28,363.16,1009.36,626.41,0.0,81.31,707.72,0.0,0.0,0.0,0.0,707.72,0.0,0.5,49.1,101.73,149.98,0.33,301.64,1009.36,120.28,0.0,9.19,0.05,0.0,0.0,0.0,0.0,0.0,188.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,320.94,320.94,231.68,231.68,552.62,0.0,0.0,146.78,0.0,377.62,57.71,435.33,1134.73,684.39,0.0,39.04,723.43,0.0,0.0,0.0,0.0,723.43,0.0,1.15,110.82,100.37,198.56,0.4,411.3,1134.73,122.75,0.0,1.37,0.09,0.0,0.0,0.0,0.3,0.0,146.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,320.94,320.94,381.51,381.51,702.45,742.82,4.67,769.55,48.23,189.21,41.89,279.9,1756.22,569.47,0.0,32.96,602.43,0.0,0.0,12.63,105.75,720.81,0.0,2.3,106.88,668.89,228.04,29.3,1035.41,1756.22,221.93,0.0,0.0,0.0,0.0,0.0,0.0,1.26,4.32,20.8,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,320.94,320.94,475.67,475.67,796.61,728.6,6.61,735.49,61.07,258.97,68.68,388.72,1920.82,527.11,0.0,27.22,554.33,0.0,0.0,13.13,155.71,723.17,0.0,3.8,92.64,817.96,243.52,39.73,1197.65,1920.82,331.27,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,320.94,320.94,591.87,591.87,912.81,707.02,4.67,711.69,117.83,196.12,116.42,430.37,2054.87,531.9,4.5,60.15,596.55,0.0,1.45,16.45,214.97,829.42,0.0,2.92,153.87,743.9,289.85,34.91,1225.45,2054.87,250.39,0.0,0.0,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
