Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Capital Goods,Preference Share Capital,Equity Share Application Money,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Government/Other Grants,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,74.91,74.91,-51.61,-51.61,0.0,23.3,34.4,0.0,0.0,34.4,0.0,0.0,11.61,1.41,13.03,70.72,61.08,0.0,0.46,0.0,61.55,0.0,0.0,0.0,0.0,61.55,1.18,0.94,1.12,5.2,0.74,9.17,70.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,84.65,84.65,-60.34,-60.34,0.0,24.32,35.06,0.0,0.0,35.06,0.0,0.0,15.37,0.85,16.22,75.62,59.26,0.0,0.95,0.0,60.21,0.0,0.0,0.0,0.17,60.38,1.56,4.53,1.49,6.29,1.37,15.23,75.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,170.0,171.0,-88.01,-88.01,0.0,82.99,440.12,0.0,0.0,440.12,15.24,16.85,4.87,1.41,38.38,831.85,76.45,1.58,20.7,0.0,98.73,674.67,0.0,0.0,0.13,773.53,2.07,19.01,12.86,24.37,0.0,58.32,831.85,10.28,2.35,0.0,674.67,0.0,0.0,4.49,1.0,260.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,180.67,207.67,235.99,235.99,0.0,443.66,391.36,0.0,0.0,391.36,17.04,23.95,6.72,4.31,52.02,892.03,99.32,2.73,6.82,0.0,108.88,675.67,0.0,0.0,0.09,784.63,2.38,30.87,1.23,72.92,0.0,107.4,892.03,6.33,2.13,0.0,675.67,0.0,0.0,4.51,27.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,226.67,238.27,496.78,496.78,0.0,735.04,138.74,0.0,0.0,138.74,43.87,14.21,22.16,5.62,85.85,1109.64,77.62,3.23,0.45,0.0,81.3,710.69,0.0,0.0,0.73,792.72,2.48,35.59,4.88,273.96,0.0,316.92,1109.64,3.2,4.91,0.0,710.69,0.0,0.0,0.68,11.6,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,226.67,238.71,561.36,561.36,0.0,800.07,182.42,0.0,0.0,182.42,102.53,22.41,95.11,6.2,226.26,1208.75,71.06,4.02,0.4,0.0,75.49,751.98,0.0,0.0,0.5,827.97,2.6,44.73,46.87,286.59,0.0,380.78,1208.75,290.06,0.68,0.0,751.98,0.0,0.0,1.3,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,317.32,321.65,1260.75,1260.75,0.0,1582.4,342.06,0.0,0.0,342.06,900.0,29.98,55.25,6.25,991.48,2915.94,68.14,4.07,0.58,0.0,72.79,1395.43,0.0,0.0,1.05,1469.27,3.12,48.82,10.4,1384.33,0.0,1446.67,2915.94,2185.74,0.35,0.0,1395.43,0.0,0.0,1.06,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,405.1,409.43,2609.73,2609.73,0.0,3019.16,445.87,31.95,3.32,481.14,0.0,28.08,41.82,3.54,73.44,3573.83,72.63,0.94,5.13,0.0,78.7,1489.67,0.0,400.09,19.87,1988.33,3.23,54.12,38.06,1349.2,99.74,1585.5,3573.83,750.49,21.83,1.95,1489.67,41.15,41.15,1.04,4.33,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,405.18,409.51,2796.63,2796.63,0.0,3206.14,679.78,70.0,4.66,754.45,422.66,56.93,55.2,4.11,538.9,4499.49,83.22,1.3,51.42,0.0,135.94,2310.08,0.0,499.15,17.64,2962.82,4.25,63.03,15.19,1399.36,53.29,1535.13,4499.49,1611.15,27.76,1.18,2310.08,0.0,0.0,4.42,4.33,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,405.21,409.53,2795.52,2795.52,0.0,3205.05,697.43,15.27,7.04,720.06,300.56,47.34,197.58,7.66,553.15,4478.26,114.55,3.04,72.94,0.0,190.53,2102.68,0.0,838.75,174.28,3306.25,4.85,93.05,108.58,650.35,11.99,1172.02,4478.26,2938.24,43.52,24.85,2102.68,303.2,303.2,5.88,4.33,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
