Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Expenditure In Foreign Currency,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods,Capital Goods
2004-03-31,31.8,31.8,650.88,650.88,682.68,3.28,0.0,0.0,792.46,141.06,32.21,23.09,196.36,1671.5,70.56,0.0,1060.96,0.0,0.0,1131.52,73.59,0.89,0.0,21.27,1227.26,22.84,155.12,71.64,194.64,0.0,444.23,1671.5,171.94,0.0,0.0,28.62,24.43,22.94,0.0,789.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07
2005-03-31,31.8,31.8,736.17,736.17,767.97,25.59,0.0,0.0,1140.23,143.9,45.83,25.74,215.47,2123.67,708.78,0.0,714.0,0.0,0.0,1422.78,71.71,0.44,0.0,30.83,1525.76,46.97,55.36,69.87,425.7,0.0,597.9,2123.67,244.18,0.01,0.0,28.62,50.15,21.41,0.62,1114.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,31.8,31.8,749.66,749.66,781.46,155.09,0.0,0.0,1238.77,111.78,60.9,30.46,203.15,2223.38,1364.97,0.0,45.15,0.0,0.0,1410.12,71.56,47.91,0.0,37.0,1566.59,54.93,65.52,57.13,479.21,0.0,656.79,2223.38,221.1,0.0,0.0,28.62,57.32,21.26,4.08,1083.68,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,31.8,31.8,806.93,806.93,838.73,221.34,0.0,0.0,1181.17,115.56,67.39,493.65,676.59,2696.49,1371.36,0.0,32.9,0.0,0.0,1404.26,61.39,41.29,0.0,35.54,1542.47,29.36,93.35,74.55,956.76,0.0,1154.02,2696.49,78.5,0.01,0.0,28.62,64.85,11.09,0.0,959.83,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,31.8,31.8,1029.9,1029.9,1061.7,225.66,0.0,0.0,889.95,70.15,147.99,609.69,827.83,2779.47,1342.83,0.0,13.41,0.0,0.0,1356.24,60.74,8.23,0.0,3.22,1428.42,48.25,80.77,128.07,1093.96,0.0,1351.05,2779.47,641.18,0.04,5.88,28.62,75.87,10.43,0.0,664.29,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,63.6,63.6,1155.11,1155.11,1218.71,237.57,0.0,0.0,716.14,49.61,150.24,754.03,953.87,2888.72,1308.2,0.0,1.95,0.0,0.0,1310.15,58.56,7.92,0.0,11.01,1387.64,59.19,92.62,94.63,1254.64,0.0,1501.08,2888.72,546.03,0.01,0.0,60.42,29.92,13.63,0.0,478.57,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,63.6,63.6,1341.98,1341.98,1405.58,258.51,0.0,0.0,474.58,54.64,146.72,919.77,1121.13,3001.29,1341.43,0.0,9.72,0.0,0.0,1351.16,132.56,18.66,0.0,18.02,1520.39,72.51,49.0,95.78,1263.62,0.0,1480.9,3001.29,1020.48,0.03,0.0,60.42,66.92,87.63,0.0,216.07,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,63.6,63.6,1606.17,1606.17,1669.77,253.68,45.7,93.32,444.77,64.45,328.78,130.82,524.04,2638.59,1517.39,0.0,13.47,5.35,0.0,1536.21,132.61,0.0,389.7,9.81,2068.33,68.05,25.76,35.05,430.15,11.25,570.26,2638.59,1048.3,0.03,0.0,60.42,81.82,87.68,0.0,52.07,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,63.6,63.6,1982.13,1982.13,2045.73,293.04,168.24,200.62,661.9,67.04,295.19,145.27,507.5,3215.12,1753.32,4.46,6.3,0.0,0.0,1764.08,132.66,0.0,312.3,7.27,2216.32,65.4,44.4,56.44,832.57,0.0,998.81,3215.12,2039.56,0.02,0.0,60.42,86.59,87.73,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,63.6,63.6,2471.36,2471.36,2534.96,311.89,175.92,229.58,717.38,81.65,279.77,116.87,478.29,3730.62,1777.55,2.69,24.1,0.0,0.0,1804.34,182.78,0.0,523.48,8.24,2518.84,39.27,39.83,56.84,1067.59,8.24,1211.79,3730.62,2080.12,0.01,0.0,60.42,103.21,123.75,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
