Date,Net Sales/Income from operations,Total Income From Operations,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,353.37,353.37,-3.77,19.29,28.73,29.6,133.1,146.42,39.68,186.1,0.0,186.1,-20.36,165.75,53.52,112.23,0.0,112.23,63.6,3.53,3.53,8.27,26.0,23.53,100.0,74.0
2013-03-31,442.56,442.56,-2.74,25.11,21.22,28.35,174.89,195.73,33.97,229.7,0.0,229.7,-0.02,229.68,80.4,149.28,0.0,149.28,63.6,4.69,4.69,8.27,26.0,23.53,100.0,74.0
2013-06-30,370.09,370.09,-1.6,23.8,25.45,29.43,151.05,141.96,38.5,180.45,0.0,180.45,0.0,180.45,61.77,118.68,0.0,118.68,63.6,3.73,3.73,8.27,26.0,23.53,100.0,74.0
2013-09-30,175.25,175.25,-2.66,6.11,23.73,30.56,75.96,41.55,30.5,72.05,0.0,72.05,0.0,72.05,25.73,46.32,0.0,46.32,63.6,1.46,1.46,8.27,26.0,23.53,100.0,74.0
2013-12-31,290.99,290.99,0.76,18.94,26.28,32.14,120.78,92.09,39.64,131.73,0.0,131.73,0.0,131.73,49.43,82.3,0.0,82.3,63.6,2.59,2.59,8.27,26.0,23.53,100.0,74.0
2014-03-31,453.34,453.34,-7.98,19.3,15.54,32.44,179.59,214.45,30.91,245.36,0.0,245.36,0.0,245.36,53.52,191.84,0.0,191.84,63.6,6.03,6.03,8.27,26.0,23.53,100.0,74.0
2014-06-30,423.88,423.88,1.16,18.35,31.91,29.34,176.36,166.76,31.54,198.3,0.0,198.3,0.0,198.3,67.76,130.54,0.0,130.54,63.6,4.11,4.11,8.27,26.0,23.53,100.0,74.0
2014-09-30,268.15,268.15,-1.69,8.77,23.1,30.36,164.5,43.12,34.62,77.74,0.0,77.74,0.0,77.74,22.59,55.14,0.0,55.14,63.6,1.73,1.73,8.27,26.0,23.53,100.0,74.0
2014-12-31,326.37,326.37,-1.93,18.54,23.21,29.83,160.57,96.16,31.28,127.44,0.0,127.44,0.0,127.44,47.75,79.68,0.0,79.68,63.6,2.51,2.51,8.27,26.0,23.53,100.0,74.0
2015-03-31,400.48,400.48,-0.08,21.09,16.55,47.74,236.27,78.91,46.0,124.91,1.68,123.23,0.0,123.23,-2.56,125.8,109.16,234.96,63.6,7.39,7.39,8.27,26.0,23.53,100.0,74.0
2015-06-30,314.93,314.93,2.8,12.04,25.69,30.49,176.03,67.89,40.14,108.04,0.27,107.76,0.0,107.76,35.53,72.23,0.0,72.23,63.6,2.27,2.27,8.27,26.0,23.53,100.0,74.0
2015-09-30,246.93,246.93,1.19,7.85,26.61,31.05,140.15,40.08,41.54,81.62,0.27,81.35,0.0,81.35,15.17,66.18,0.0,66.18,63.6,2.08,2.08,8.27,26.0,23.53,100.0,74.0
2015-12-31,263.69,263.69,-2.19,7.76,26.56,31.15,170.14,30.28,33.5,63.78,0.24,63.53,0.0,63.53,16.93,46.61,0.0,46.61,63.6,1.47,1.47,8.27,26.0,23.53,100.0,74.0
2016-03-31,353.16,353.16,2.05,21.59,22.68,38.04,238.1,30.7,35.37,66.08,0.27,65.81,0.0,65.81,26.26,39.55,0.0,39.55,63.6,1.24,1.24,8.27,26.0,23.53,100.0,74.0
2016-06-30,399.3,399.3,-0.39,7.83,26.32,31.73,226.46,107.35,48.18,155.53,0.28,155.24,0.0,155.24,40.44,114.8,0.0,114.8,63.6,3.61,3.61,8.27,26.0,23.53,100.0,74.0
