Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-06-30,0.08,0.08,1.8,0.03,0.0,0.6,-2.35,0.0,-2.35,0.0,-2.35,0.0,-2.35,0.0,-2.35,-2.35,811.51,0.0,0.0,0.0
2016-09-30,8.21,8.21,6.15,0.04,0.0,0.77,1.25,0.02,1.27,0.0,1.27,0.0,1.27,0.0,1.27,1.27,811.51,0.0,0.02,0.02
2016-12-31,0.08,0.08,5.96,0.08,0.0,0.67,-6.63,0.01,-6.62,0.0,-6.62,0.0,-6.62,0.0,-6.62,-6.62,814.46,0.0,-0.08,-0.08
2017-03-31,26.62,26.62,10.54,-0.01,0.0,3.62,12.47,0.0,12.47,0.53,11.94,0.0,11.94,0.0,11.94,11.94,1232.24,3378.66,0.0,0.0
2017-06-30,9.72,9.72,2.18,0.06,0.0,1.9,5.58,0.0,5.58,8.45,-2.87,0.0,-2.87,0.0,-2.87,-2.87,1280.64,0.0,-0.02,-0.02
2017-09-30,10.22,10.22,3.1,0.19,0.0,2.64,4.29,0.0,4.29,5.93,-1.64,0.0,-1.64,0.0,-1.64,-1.64,2200.91,0.0,-0.01,-0.01
2017-12-31,142.48,142.48,10.07,0.09,0.0,43.65,88.67,0.0,88.67,4.14,84.53,0.0,84.53,0.0,84.53,84.53,2200.91,0.0,0.38,0.38
2018-03-31,12.37,12.37,6.93,0.15,0.0,17.44,-12.15,0.46,-11.69,6.86,-18.55,0.0,-18.55,0.0,-18.55,-18.55,2201.04,0.0,-0.08,-0.08
2018-06-30,14.51,14.51,8.5,0.21,0.0,8.8,-3.0,0.04,-2.96,14.49,-17.45,0.0,-17.45,0.0,-17.45,-17.45,2201.31,0.0,-0.08,-0.08
2018-09-30,81.41,81.41,7.2,0.23,0.0,9.96,64.02,0.06,64.08,17.93,46.15,0.0,46.15,-0.23,46.38,46.38,2201.36,0.0,0.21,0.21
2018-12-31,2.96,2.96,6.96,0.22,0.0,13.62,-17.84,0.42,-17.42,29.44,-46.86,0.0,-46.86,-1.81,-45.05,-45.05,2201.4,0.0,-0.2,-0.2
2019-03-31,78.9,78.9,4.39,0.21,0.0,10.98,63.32,0.19,63.51,26.67,36.84,-30.32,6.52,0.0,6.52,6.52,2201.4,0.0,0.03,0.03
2019-06-30,5.0,5.0,11.29,0.33,-0.04,11.03,-17.61,0.22,-17.39,29.04,-46.43,0.0,-46.43,0.0,-46.43,-46.43,2201.41,0.0,-0.21,-0.21
2019-09-30,89.32,89.32,3.53,0.35,0.35,11.9,73.19,0.16,73.35,28.35,45.0,0.0,45.0,-2.2,47.2,47.2,2202.56,0.0,0.21,0.21
2019-12-31,6.84,6.84,5.11,0.34,0.06,9.85,-8.52,0.2,-8.32,14.13,-22.45,0.0,-22.45,0.0,-22.45,-22.45,2313.22,0.0,-0.1,-0.1
2020-03-31,98.66,98.66,2.1,0.26,-0.42,11.4,85.32,0.88,86.2,5.5,80.7,-29.17,51.53,0.0,51.53,51.53,2413.76,0.0,0.22,0.22
2020-06-30,8.03,8.03,6.25,0.42,0.02,2.46,-1.12,0.44,-0.68,0.04,-0.72,0.0,-0.72,0.0,-0.72,-0.72,2413.86,0.0,0.0,0.0
2020-09-30,17.49,17.49,5.3,0.27,0.14,1.51,10.27,0.17,10.44,0.03,10.41,0.0,10.41,-3.82,14.23,14.23,2414.13,0.0,0.06,0.06
2020-12-31,5.51,5.51,4.62,0.31,-0.15,3.91,-3.18,0.14,-3.04,0.03,-3.07,0.0,-3.07,-0.19,-2.88,-2.88,2415.0,0.0,-0.01,-0.01
2021-03-31,76.86,76.86,5.81,0.35,0.33,4.79,65.58,0.13,65.71,0.04,65.67,0.0,65.67,3.27,62.4,62.4,2415.28,0.0,0.26,0.26
2021-06-30,41.73,41.73,5.06,0.24,-0.31,1.79,34.95,0.25,35.2,0.03,35.17,0.0,35.17,8.68,26.49,26.49,2415.44,0.0,0.11,0.11
2021-09-30,22.94,22.94,5.48,0.22,0.17,2.67,14.4,0.18,14.58,0.03,14.55,0.0,14.55,3.72,10.83,10.83,2415.96,0.0,0.04,0.04
2021-12-31,284.0,284.0,4.9,0.22,0.07,2.28,276.53,0.64,277.17,0.03,277.14,0.0,277.14,37.28,239.86,239.86,2416.2,0.0,0.99,0.99
2022-03-31,104.06,104.06,5.04,0.21,0.3,6.55,91.96,0.3,92.26,0.02,92.24,0.0,92.24,24.68,67.56,67.56,2416.31,0.0,0.28,0.28
2022-06-30,7.82,7.82,4.96,0.2,-0.14,2.76,0.04,0.16,0.2,0.02,0.18,0.0,0.18,-1.53,1.71,1.71,2416.51,0.0,0.01,0.01
2022-09-30,92.98,92.98,6.51,0.22,0.04,2.15,84.06,0.53,84.59,0.02,84.57,0.0,84.57,21.03,63.54,63.54,2416.71,0.0,0.26,0.26
2022-12-31,7.95,7.95,6.7,0.2,-0.21,2.08,-0.82,1.68,0.86,0.02,0.84,0.0,0.84,1.69,-0.85,-0.85,2416.97,0.0,0.0,0.0
