Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
2020-03-31,2.98,2.98,90.14,90.14,93.12,29.4,29.4,96.93,37.27,2.96,137.17,259.68,39.72,2.52,0.87,43.11,0.0,8.62,2.6,6.76,61.09,0.0,63.8,87.39,20.56,0.22,26.63,198.59,259.68,25.47,0.0,0.52,0.0,0.0,0.0,0.0
2021-03-31,2.98,2.98,88.77,88.77,91.75,27.72,27.72,86.62,60.39,3.67,150.68,270.14,31.46,1.12,0.2,32.78,0.0,12.1,2.24,5.59,52.71,0.0,58.35,91.87,28.52,0.0,38.7,217.44,270.14,29.82,0.01,0.0,0.0,0.0,0.0,0.0
2022-03-31,2.98,2.98,103.67,103.67,106.65,25.72,25.72,96.49,64.49,4.87,165.85,298.23,25.63,0.04,0.24,25.92,0.0,14.82,0.0,21.28,62.03,0.0,65.43,88.62,58.7,0.0,23.44,236.2,298.23,30.09,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2.98,2.98,137.64,137.64,140.62,1.78,1.78,16.21,153.36,1.87,171.44,313.84,14.8,0.0,0.0,14.8,0.0,16.24,0.0,20.53,51.56,0.0,8.68,6.21,0.0,0.0,247.38,262.28,313.84,29.31,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2.98,2.98,2341.4,2341.4,2344.38,0.0,0.0,9.36,108.22,0.9,118.48,2462.86,22.89,0.0,0.0,22.89,1837.7,0.0,0.0,21.49,1882.09,485.26,3.42,11.34,20.8,0.0,59.94,580.77,2462.86,31.43,0.0,0.0,139.89,1700.0,150.0,332.86
