Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,11299.0,0.0,11299.0,0.0,938.1,385.7,1738.0,0.0,6799.7,1437.5,45.0,1482.5,489.7,992.8,0.0,992.8,242.5,750.3,750.3,1898.8,51592.7,1.98,1.98,119.64,31.5,260.11,100.0,68.5
2013-03-31,11548.3,0.0,11548.3,0.9,1003.2,405.2,1756.8,0.0,6650.2,1732.0,91.8,1823.8,280.8,1543.0,0.0,1543.0,458.6,1084.4,1084.4,1898.8,52245.3,2.86,2.86,119.43,31.45,260.32,100.0,68.55
2013-06-30,12224.4,0.0,12224.4,0.0,1042.6,429.4,1814.7,0.0,7160.1,1777.6,83.0,1860.6,459.7,1400.9,-229.9,1171.0,212.2,958.8,958.8,1998.8,59893.1,2.51,2.51,138.99,34.77,260.75,100.0,65.23
2013-09-30,12243.4,0.0,12243.4,0.0,1040.4,420.1,1797.7,0.0,7055.0,1930.2,539.0,2469.2,268.2,2201.0,0.0,2201.0,416.6,1784.4,1784.4,1998.7,61713.7,4.46,4.46,138.99,34.77,260.75,100.0,65.23
2013-12-31,12514.2,0.0,12514.2,0.0,1066.4,410.0,1790.8,0.0,6728.0,2519.0,75.2,2594.2,217.5,2376.7,22.8,2399.5,602.4,1797.1,1797.1,1998.7,63511.8,4.5,4.5,138.99,34.77,260.75,100.0,65.23
2014-03-31,12936.5,0.0,12936.5,2.2,1020.3,388.6,1828.1,0.0,6856.6,2840.7,156.2,2996.9,391.0,2605.9,0.0,2605.9,546.0,2059.9,2059.9,1998.7,64727.2,5.15,5.15,138.61,34.68,261.13,100.0,65.32
2014-06-30,13627.8,0.0,13627.8,2.4,1022.6,418.1,1878.6,0.0,7396.8,2909.3,176.3,3085.6,271.6,2814.0,0.0,2814.0,653.6,2160.4,2160.4,1998.7,66887.4,5.41,5.41,138.42,34.63,261.32,100.0,65.37
2014-09-30,13581.3,0.0,13581.3,1.5,1004.8,442.8,1871.8,0.0,7616.0,2644.4,3152.3,5796.7,271.6,5525.1,0.0,5525.1,587.8,4937.3,4937.3,1998.7,71283.1,12.35,12.35,138.42,34.63,261.32,100.0,65.37
2014-12-31,13995.2,0.0,13995.2,2.0,1053.7,407.5,1823.3,0.0,7695.4,3013.3,108.3,3121.6,284.8,2836.8,0.0,2836.8,558.0,2278.8,2278.8,1998.7,73562.1,5.7,5.7,138.42,34.63,261.32,100.0,65.37
2015-03-31,14292.1,0.0,14292.1,1.7,1034.0,423.1,1986.0,0.0,7600.1,3247.2,1756.1,5003.3,581.1,4422.2,57.2,4479.4,655.4,3824.0,3824.0,1998.7,76272.1,9.57,9.57,138.42,34.63,261.18,100.0,65.34
