Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,14821.5,0.0,14821.5,0.0,0.0,461.2,2109.6,0.0,8908.8,3341.9,34.4,3376.3,421.8,2954.5,-128.6,2825.9,778.1,2047.8,2047.8,1998.7,60837.1,5.12,5.12,138.0,34.52,261.63,100.0,65.45
2015-09-30,14824.6,50.4,14875.0,0.0,0.0,453.9,2330.9,0.0,8878.3,3211.9,0.0,3211.9,22.9,3189.0,-344.2,2844.8,589.4,2255.4,2255.4,1998.7,62220.5,5.64,5.64,0.0,0.0,0.0,0.0,0.0
2015-12-31,15064.8,41.8,15106.6,0.0,0.0,449.6,2448.0,0.0,9076.6,3132.4,0.0,3132.4,644.1,2488.3,-108.5,2379.8,596.5,1783.3,1783.3,1998.7,64015.3,4.46,4.46,0.0,0.0,0.0,0.0,0.0
2016-03-31,15589.4,0.0,15589.4,0.0,0.0,500.1,2686.8,0.0,9158.7,3243.8,46.3,3290.1,987.6,2302.5,-98.5,2204.0,510.1,1693.9,1693.9,1998.7,109730.4,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2016-06-30,16339.7,0.0,16339.7,0.0,0.0,421.4,2987.7,0.0,9306.0,3624.6,50.1,3674.7,1298.4,2376.3,-292.0,2084.3,656.8,1427.5,1427.5,1998.7,67148.8,3.57,3.57,0.0,0.0,0.0,0.0,0.0
2016-09-30,16432.6,47.5,16480.1,0.0,0.0,460.1,2938.9,0.0,9392.6,3688.5,0.0,3688.5,-404.9,4093.4,-118.0,3975.4,667.3,3308.1,3308.1,1998.7,69906.2,8.28,8.28,0.0,0.0,0.0,0.0,0.0
2016-12-31,15204.2,35.4,15239.6,0.0,0.0,414.0,3001.7,0.0,9134.0,2689.9,0.0,2689.9,1402.2,1287.7,-308.0,979.7,557.9,421.8,421.8,1998.7,70335.1,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,14299.8,0.0,14299.8,0.0,0.0,443.0,3275.1,0.0,8779.9,1801.8,51.3,1853.1,849.2,1003.9,-16552.8,-15548.9,-465.8,-15083.1,-15083.1,1998.7,99208.6,-37.74,-37.74,0.0,0.0,0.0,0.0,0.0
2017-06-30,14506.5,0.0,14506.5,0.0,0.0,442.6,3178.9,0.0,9164.9,1720.1,51.6,1771.7,1345.4,426.3,-4.0,422.3,141.7,280.6,280.6,1998.7,99491.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2017-09-30,13980.1,0.0,13980.1,0.0,0.0,424.2,3069.0,657.8,8135.3,1693.8,71.9,1765.7,1146.4,619.3,-83.5,535.8,41.3,494.5,494.5,1998.7,99586.9,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2017-12-31,12687.6,0.0,12687.6,0.0,0.0,420.2,3347.4,769.5,7225.7,924.8,80.0,1004.8,1182.9,-178.1,-47.3,-225.4,-289.7,64.3,64.3,1998.7,99664.2,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2018-03-31,12488.8,0.0,12488.8,0.0,0.0,433.9,3453.3,839.6,7344.4,417.6,32.1,449.7,1394.3,-944.6,-469.3,-1413.9,-653.7,-760.2,-760.2,1998.7,100862.2,-1.9,-1.9,0.0,0.0,0.0,0.0,0.0
2018-06-30,12418.8,0.0,12418.8,0.0,0.0,332.8,3664.1,658.5,7833.6,-70.2,54.1,-16.1,2063.4,-2079.5,-242.9,-2322.4,-865.2,-1457.2,-1457.2,1998.7,99983.7,-3.65,-3.65,0.0,0.0,0.0,0.0,0.0
2018-09-30,12353.2,0.0,12353.2,0.0,0.0,359.4,3720.5,570.6,8561.7,-859.0,62.9,-796.1,1188.6,-1984.7,-50.2,-2034.9,-1472.6,-562.3,-562.3,1998.7,98423.9,-1.41,-1.41,0.0,0.0,0.0,0.0,0.0
2018-12-31,12314.0,0.0,12314.0,0.0,0.0,405.4,3823.0,672.5,8642.8,-1229.7,60.2,-1169.5,316.9,-1486.4,1151.1,-335.3,-562.4,227.1,227.1,1998.7,97701.6,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2019-03-31,12522.0,0.0,12522.0,0.0,0.0,373.4,3880.0,660.3,8235.4,-627.1,73.5,-553.6,1904.4,-2458.0,1946.9,-511.1,-474.5,-36.6,-36.6,1998.7,96360.6,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2019-06-30,12833.1,0.0,12833.1,0.0,0.0,365.2,5017.0,494.2,7555.9,-599.2,76.9,-522.3,1811.9,-2334.2,-212.7,-2546.9,-1243.2,-1303.7,-1303.7,2565.5,117334.3,-2.81,-2.81,0.0,0.0,0.0,0.0,0.0
2019-09-30,13012.9,0.0,13012.9,0.0,0.0,381.0,4983.2,353.5,7686.3,-391.1,66.9,-324.2,2056.1,-2380.3,-30815.0,-33195.3,-8681.8,-24513.5,-24513.5,2566.0,94460.0,-47.77,-47.77,0.0,0.0,0.0,0.0,0.0
2019-12-31,13479.7,0.0,13479.7,0.0,0.0,370.6,5226.4,467.1,7461.7,-46.1,72.6,26.5,2544.3,-2517.8,-2722.0,-5239.8,-1851.7,-3388.1,-3388.1,2566.0,91114.6,-6.6,-6.6,0.0,0.0,0.0,0.0,0.0
2020-03-31,14991.4,0.0,14991.4,0.0,0.0,403.4,5165.5,502.4,8142.2,777.9,96.8,874.7,3121.5,-2246.8,-7792.1,-10038.9,-3156.0,-6882.9,-6882.9,2727.8,98701.4,-12.73,-12.73,0.0,0.0,0.0,0.0,0.0
2020-06-30,15049.2,0.0,15049.2,0.0,0.0,461.1,5314.3,360.4,8076.7,836.7,610.9,1447.6,2791.6,-1344.0,-11597.1,-12941.1,3520.7,-16461.8,-16461.8,2727.8,82246.1,-30.17,-30.17,0.0,0.0,0.0,0.0,0.0
2020-09-30,16011.4,0.0,16011.4,0.0,0.0,390.8,5487.6,455.4,8360.1,1317.5,386.7,1704.2,2868.8,-1164.6,0.0,-1164.6,-318.6,-846.0,-846.0,2727.8,80312.8,-1.55,-1.55,0.0,0.0,0.0,0.0,0.0
2020-12-31,16935.8,0.0,16935.8,0.0,0.0,421.1,5635.7,579.9,8510.0,1789.1,80.9,1870.0,2968.7,-1098.7,-3746.3,-4845.0,3501.1,-8346.1,-8346.1,2727.8,71972.5,-15.3,-15.3,0.0,0.0,0.0,0.0,0.0
2021-03-31,16329.5,0.0,16329.5,0.0,0.0,391.5,5559.9,669.2,7665.6,2043.3,1309.4,3352.7,3187.6,165.1,320.4,485.5,29.2,456.3,456.3,2746.0,74614.1,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2021-06-30,16114.2,0.0,16114.2,0.0,0.0,389.6,5759.3,616.8,7260.0,2088.5,1000.5,3089.0,3672.7,-583.7,0.0,-583.7,-147.6,-436.1,-436.1,2746.0,74171.9,-0.79,-0.79,0.0,0.0,0.0,0.0,0.0
2021-09-30,17104.4,0.0,17104.4,0.0,0.0,430.6,6144.2,745.6,7358.4,2425.6,57.9,2483.5,3383.7,-900.2,722.1,-178.1,-45.3,-132.8,-132.8,2746.0,74023.3,-0.24,-0.24,0.0,0.0,0.0,0.0,0.0
2021-12-31,17928.5,0.0,17928.5,0.0,0.0,358.9,6322.7,847.3,7752.7,2646.9,115.8,2762.7,3541.5,-778.8,0.0,-778.8,-190.9,-587.9,-587.9,2795.0,78618.9,-1.06,-1.06,0.0,0.0,0.0,0.0,0.0
2022-03-31,19494.8,0.0,19494.8,0.0,0.0,414.9,6366.2,940.0,8436.3,3337.4,248.6,3586.0,3547.9,38.1,-2731.7,-2693.6,-225.4,-2468.2,-2468.2,2795.0,76134.8,-4.42,-4.42,0.0,0.0,0.0,0.0,0.0
2022-06-30,20187.4,0.0,20187.4,0.0,0.0,421.9,6540.3,948.0,8620.7,3656.5,1076.3,4732.8,4191.7,541.1,0.0,541.1,134.6,406.5,406.5,2795.0,76546.6,0.73,0.72,0.0,0.0,0.0,0.0,0.0
2022-09-30,21008.8,0.0,21008.8,0.0,0.0,452.9,6571.7,1169.1,8470.5,4344.6,1148.2,5492.8,4207.9,1284.9,0.0,1284.9,336.0,948.9,948.9,2830.6,81001.4,1.68,1.66,0.0,0.0,0.0,0.0,0.0
2022-12-31,21606.1,0.0,21606.1,0.0,0.0,492.1,6661.1,1230.4,8636.4,4586.1,339.0,4925.1,3529.2,1395.9,-4276.4,-2880.5,341.8,-3222.3,-3222.3,2831.2,74166.3,-5.69,-5.69,0.0,0.0,0.0,0.0,0.0
2023-03-31,21829.0,0.0,21829.0,0.0,0.0,501.0,6705.6,1290.7,8579.6,4752.1,137.6,4889.7,3108.0,1781.7,0.0,1781.7,427.5,1354.2,1354.2,2836.6,76156.8,2.39,2.35,0.0,0.0,0.0,0.0,0.0
2023-06-30,22650.7,0.0,22650.7,0.0,0.0,504.6,6930.9,1343.4,8667.3,5204.5,184.8,5389.3,3452.4,1936.9,0.0,1936.9,480.0,1456.9,1456.9,2839.7,77979.2,2.57,5.52,0.0,0.0,0.0,0.0,0.0
2023-09-30,23257.7,0.0,23257.7,0.0,0.0,576.3,7112.6,1261.0,8949.2,5358.6,427.3,5785.9,3741.4,2044.5,-1186.3,858.2,565.2,293.0,293.0,2857.7,78122.6,0.51,0.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,23866.0,0.0,23866.0,0.0,0.0,532.7,7458.3,1282.2,9127.1,5465.7,358.3,5824.0,3549.5,2274.5,-268.9,2005.6,591.2,1414.4,1414.4,2861.5,79973.3,2.47,2.42,0.0,0.0,0.0,0.0,0.0
2024-03-31,24345.4,0.0,24345.4,0.0,0.0,562.4,7606.7,1355.7,9441.7,5378.9,419.7,5798.6,3662.1,2136.5,178.9,2315.4,491.5,1823.9,1823.9,2876.6,97985.3,3.18,3.09,0.0,0.0,0.0,0.0,0.0
2024-06-30,24917.1,0.0,24917.1,0.0,0.0,587.9,7928.0,1250.5,9653.0,5497.7,295.1,5792.8,3667.5,2125.3,877.1,3002.4,533.2,2469.2,2469.2,2894.5,102585.6,4.28,4.15,0.0,0.0,0.0,0.0,0.0
2024-09-30,26984.5,0.0,26984.5,0.0,0.0,554.3,8136.6,1354.8,10122.6,6816.2,408.0,7224.2,3872.3,3351.9,0.0,3351.9,834.3,2517.6,2517.6,2895.6,100588.7,4.35,4.21,0.0,0.0,0.0,0.0,0.0
2024-12-31,28434.0,0.0,28434.0,0.0,0.0,562.0,8230.0,1293.7,10539.1,7809.2,431.4,8240.6,4031.0,4209.6,2614.4,6824.0,-2373.4,9197.4,9197.4,2897.0,0.0,15.88,15.34,0.0,0.0,0.0,0.0,0.0
2025-03-31,28608.3,0.0,28608.3,0.0,0.0,689.5,8216.5,1351.4,10226.2,8124.7,230.2,8354.9,3668.8,4686.1,0.0,4686.1,-4631.5,9317.6,9317.6,2900.1,137231.0,16.07,15.53,0.0,0.0,0.0,0.0,0.0
