Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Deferred Tax Liabilities [Net],Capital Goods,Equity Share Application Money,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,1853.37,1853.37,2971.49,2971.49,0.0,4824.86,0.0,251.36,0.0,0.0,251.36,375.0,6.61,6.95,2.22,390.77,5466.98,14.56,0.0,0.1,0.0,14.66,1762.67,0.0,0.0,1.3,1778.63,0.0,0.0,0.0,0.13,3688.22,0.0,3688.36,5466.98,4874.99,0.69,0.0,0.0,0.0,1566.39,334.24,1434.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1853.37,1853.37,2675.38,2677.51,0.0,4530.87,0.0,4463.25,0.0,0.0,4714.07,531.04,2902.37,1305.61,249.32,4988.34,14236.0,7438.13,2326.85,994.46,0.0,10759.45,931.9,149.91,0.0,58.35,11899.6,0.0,31.58,715.74,384.14,1204.94,0.0,2336.4,14236.0,3017.26,521.87,0.0,0.0,986.35,1566.39,472.71,460.83,0.0,0.0,2.13,250.81,1730.73,2.72,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1893.88,1893.88,5437.42,5439.55,0.0,7333.43,0.0,4501.73,0.0,0.0,4771.51,294.56,4444.75,2020.83,537.44,7297.58,19414.64,10650.95,2355.92,2341.25,0.0,15348.13,719.7,80.73,0.0,7.94,16156.5,0.0,17.74,1076.17,307.43,1856.8,0.0,3258.15,19414.64,4740.34,816.44,0.0,0.0,1276.04,1566.39,243.99,476.52,0.0,0.0,2.13,269.78,1626.24,12.13,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1895.93,1895.93,9515.21,9517.33,0.0,11413.27,0.0,4906.81,0.0,0.0,5287.22,403.99,6947.25,2482.18,1232.84,11066.25,27796.74,16603.64,2701.99,2375.82,0.0,21681.45,705.82,143.74,0.0,2.66,22533.67,0.0,47.81,1418.52,780.46,3016.27,0.0,5263.07,27796.74,7615.04,1122.55,0.0,0.0,1575.55,1566.39,125.85,580.43,0.0,0.0,2.13,380.41,2997.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,1897.91,1897.91,18283.82,18285.95,0.0,20183.86,0.0,6090.04,0.0,0.0,6590.2,480.31,8379.95,3520.26,1961.95,14342.47,41174.17,15829.91,3200.74,2751.08,0.0,21781.73,10952.85,436.3,0.0,0.2,33171.08,0.0,56.86,2776.46,502.94,4666.83,0.0,8003.09,41174.17,7140.59,1568.07,0.0,0.0,1546.2,1566.39,1574.29,9379.62,0.0,0.0,2.13,500.16,4867.81,57.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1898.24,1898.24,25627.38,25629.51,0.0,27527.75,0.0,7089.27,0.0,0.0,7803.78,624.38,9155.29,3962.69,634.4,14376.76,49824.5,21815.95,3197.41,2566.67,0.0,27580.03,11777.76,1041.62,0.0,0.09,40399.49,0.0,62.15,2550.05,2251.6,4462.26,98.95,9425.01,49824.5,4104.25,1983.03,0.0,0.0,1809.36,1566.39,1887.76,9898.56,0.0,0.0,2.13,714.51,3383.39,116.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1898.77,1898.77,34650.19,34652.32,0.0,36551.09,0.0,4366.69,0.0,0.0,5166.24,672.23,8647.11,3532.89,658.75,13510.98,55414.4,24399.03,3625.93,1594.74,0.0,29619.7,15773.32,796.3,0.0,0.0,46189.32,0.0,27.24,2104.98,816.74,6214.87,61.25,9225.08,55414.4,3921.5,1911.09,84.85,0.0,1794.35,1566.39,4216.67,11619.95,0.0,0.0,2.13,799.55,1547.21,186.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1898.8,1898.8,42210.7,42212.8,0.0,44111.6,0.0,7468.7,2513.2,100.2,10609.7,2764.4,4959.8,8609.7,527.4,16861.3,71582.6,27477.6,13223.1,1432.0,5047.2,47179.9,11705.1,0.0,7081.2,305.9,66272.1,107.9,34.4,1461.9,133.2,2546.4,1026.7,5310.5,71582.6,54357.1,1876.5,86.0,240.4,1815.6,1566.39,0.0,11705.1,105.1,2.9,2.1,527.6,1910.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1898.8,1898.8,47528.7,47530.8,0.0,49429.6,0.0,8233.8,2518.4,140.5,11729.4,5895.6,4512.1,8200.0,557.0,19164.7,80323.7,26378.2,14062.6,923.0,3543.5,44907.3,11804.1,0.0,8481.7,1087.0,66280.1,533.7,32.1,2134.5,481.2,9810.1,1052.0,14043.6,80323.7,59114.5,1760.4,86.2,0.0,2012.2,1566.39,0.0,11804.1,533.4,3.0,2.1,836.7,1762.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1898.8,1898.8,52245.3,52247.4,0.0,54146.2,0.0,9840.8,3170.8,149.4,14311.3,3139.0,5137.2,10603.4,546.1,19425.7,87883.2,26436.2,16746.4,1030.8,0.0,44213.4,27119.1,0.0,8935.8,1411.1,81679.4,1080.0,2.1,2246.8,362.7,1413.3,1098.9,6203.8,87883.2,63028.6,2205.2,86.2,0.0,2782.4,1566.39,26842.5,18901.2,1084.1,3.5,2.1,1150.3,2551.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
