Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Intangible Assets Under Development,Expenditure In Foreign Currency,Capital Work-In-Progress,Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2008-03-31,9.12,0.0,9.12,648.33,648.33,657.45,0.0,0.0,347.11,0.0,0.0,35.37,0.21,35.57,1040.39,7.81,0.0,0.0,8.28,213.77,0.0,0.0,0.0,222.05,0.0,43.53,0.0,12.37,762.44,0.0,818.34,1040.39,0.0,0.0,0.0,0.0,0.0,343.65,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,8.31,0.81,9.12,900.86,900.86,909.98,0.0,0.0,512.98,263.66,11.32,19.93,0.45,295.36,1718.31,13.82,0.74,0.0,16.03,655.67,0.0,0.0,0.53,672.24,0.0,64.55,0.0,48.88,932.64,0.0,1046.07,1718.31,2484.73,0.0,0.0,655.67,0.0,512.98,0.0,5.11,1.47,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,243.26,0.0,243.26,2853.75,2853.75,3097.01,0.0,0.0,190.39,128.69,30.82,53.94,1.55,215.0,3502.4,14.97,0.84,0.0,16.54,1773.48,0.0,0.0,0.0,1790.02,0.0,97.37,0.0,43.18,1571.84,0.0,1712.38,3502.4,2023.6,201.15,794.41,879.64,0.0,190.39,0.0,18.39,0.73,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,243.26,0.0,243.26,3109.45,3109.45,3352.71,0.0,2.36,34.85,141.64,11.72,36.55,0.65,190.56,3578.11,17.26,0.05,0.0,25.89,553.63,0.0,883.93,10.15,1473.61,782.46,199.35,0.0,5.07,1117.22,0.42,2104.5,3578.11,1800.41,201.15,0.0,553.63,782.46,32.49,3.26,0.45,5.32,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,243.26,0.0,243.26,3172.64,3172.64,3415.9,0.0,2.75,34.33,42.72,9.92,48.52,1.3,102.46,3552.69,11.88,0.07,0.0,35.6,1653.26,4.48,615.84,3.05,2312.23,472.12,206.81,0.0,7.96,552.62,0.95,1240.46,3552.69,1890.2,201.15,0.0,1653.26,472.12,31.58,20.53,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,243.26,0.0,243.26,3172.95,3172.95,3416.2,0.0,0.87,113.26,91.96,11.73,76.94,4.18,184.81,3714.28,11.88,0.34,0.0,34.74,1745.45,7.34,906.28,2.98,2696.79,212.53,200.57,43.0,6.84,553.71,0.85,1017.48,3714.28,2414.81,201.15,0.0,1745.45,212.53,112.39,22.51,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,243.26,0.0,243.26,3131.83,3131.83,3375.09,0.0,0.63,81.18,150.65,11.92,152.26,3.67,318.51,3774.77,9.34,3.25,0.0,31.73,2254.5,2.66,605.23,3.71,2897.84,170.19,226.26,0.0,13.84,466.52,0.13,876.93,3774.77,2897.38,201.15,0.0,2254.5,170.19,80.54,19.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,243.26,0.0,243.26,3107.39,3107.39,3350.65,0.0,2.84,33.44,182.09,12.59,317.84,2.04,514.55,3898.64,9.53,2.57,0.0,33.21,2329.79,6.35,670.38,3.3,3043.03,180.83,254.31,0.0,1.89,418.46,0.12,855.61,3898.64,3236.15,201.15,0.0,2329.79,180.83,30.6,21.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,243.26,0.0,243.26,2738.23,2738.23,2981.49,4.49,3.19,157.55,238.43,22.81,293.82,1.88,556.94,3695.98,7.33,0.27,6.66,34.88,1845.9,144.36,26.22,416.22,2467.58,85.83,292.88,44.11,9.82,702.1,93.66,1228.4,3695.98,3913.59,201.15,0.0,976.28,85.83,149.87,20.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,243.26,40.49,283.75,2702.38,2702.38,2986.13,0.21,1.72,81.0,157.5,24.34,456.01,1.53,639.39,3706.51,5.08,19.09,6.56,30.74,1843.57,119.39,30.46,174.22,2198.37,98.45,288.4,43.16,6.19,918.43,153.52,1508.14,3706.51,62.31,201.15,0.0,1167.75,98.45,79.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,243.26,46.97,290.23,2622.49,2622.49,2912.72,0.0,1.81,131.32,307.41,23.1,233.15,1.41,565.08,3609.12,3.45,0.02,4.76,8.39,1968.89,141.95,35.38,119.19,2273.8,290.57,306.94,15.79,7.56,646.88,67.58,1335.32,3609.12,87.27,201.15,0.0,1276.27,290.57,129.51,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,243.26,54.49,297.75,2526.44,2526.44,2824.19,0.07,0.92,9.71,300.37,20.7,617.51,0.51,939.09,3772.99,2.35,0.22,4.68,7.26,2027.33,132.07,42.07,320.89,2529.62,368.86,282.28,1.51,2.06,529.66,58.99,1243.37,3772.99,88.56,201.15,0.0,1286.9,368.86,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,243.26,0.0,243.26,2159.07,2159.07,2402.33,0.06,0.85,0.9,363.63,22.16,797.7,0.53,1184.02,3587.25,2.02,0.12,1.42,3.56,1812.79,192.81,55.16,88.52,2152.84,371.14,290.06,0.05,0.59,498.03,274.55,1434.41,3587.25,69.85,201.15,0.0,1033.23,371.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,243.26,43.23,286.49,2197.28,2197.28,2483.77,1.33,0.45,1.79,337.23,20.79,917.79,0.62,1276.44,3762.0,1.36,0.03,1.4,2.78,1665.17,188.53,63.94,94.85,2015.26,458.55,296.96,0.0,0.55,695.8,294.88,1746.74,3762.0,69.85,201.15,0.0,1022.04,458.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,259.06,47.99,307.05,2619.06,2619.06,2926.11,0.0,0.46,0.46,748.98,17.89,481.41,7.95,1256.24,4182.81,1.02,0.0,0.0,1.02,1830.65,118.41,34.45,106.63,2091.17,241.7,321.15,0.0,75.06,1306.13,147.6,2091.64,4182.81,127.19,201.15,0.0,958.18,241.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,352.15,53.27,405.42,2894.95,2894.95,3300.38,0.0,0.32,0.32,838.71,18.4,386.07,24.03,1267.21,4567.9,1.47,0.0,0.0,1.47,1875.44,105.96,0.0,156.49,2139.35,205.15,340.98,0.0,17.7,1769.47,95.25,2428.55,4567.9,124.86,201.15,0.0,982.64,205.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
