Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,397.72,2.21,399.93,212.37,68.1,0.75,38.21,8.19,64.46,7.85,1.03,8.87,13.2,-4.33,0.0,-4.33,0.0,-4.33,0.0,-4.33,15.87,-0.55,-0.55,2.92,36.83,5.01,100.0,63.17
2013-03-31,549.14,4.23,553.37,295.63,63.14,30.85,34.76,8.3,68.96,51.74,1.03,52.77,7.59,45.17,0.0,45.17,6.18,39.0,-15.0,24.0,15.87,3.02,3.02,2.92,36.83,5.01,100.0,63.17
2013-06-30,422.36,3.46,425.82,229.33,70.85,-12.6,36.75,8.58,71.09,21.83,1.33,23.16,9.12,14.04,-8.81,5.23,1.79,3.44,0.0,3.44,15.87,0.43,0.43,2.92,36.83,5.01,100.0,63.17
2013-09-30,396.3,5.36,401.66,183.05,67.07,14.35,39.36,8.54,56.18,33.11,1.58,34.69,10.47,24.22,-10.37,13.85,4.47,9.38,0.0,9.38,15.87,1.19,1.19,2.91,36.7,5.02,100.0,63.3
2013-12-31,436.05,2.69,438.74,222.2,65.4,0.45,37.46,9.02,68.76,35.44,1.14,36.58,10.75,25.83,0.0,25.83,6.13,19.7,0.0,19.7,15.87,2.48,2.48,2.91,36.69,5.02,100.0,63.31
2014-03-31,475.43,10.0,485.42,167.02,124.09,38.35,38.8,8.48,74.21,34.48,1.41,35.89,10.52,25.37,-0.53,24.84,9.68,15.16,0.0,15.16,15.87,1.91,1.91,2.91,36.67,5.03,100.0,63.33
2014-06-30,325.35,2.84,328.18,189.08,49.25,-19.5,40.25,11.94,74.45,-17.28,5.01,-12.27,9.88,-22.15,0.0,-22.15,-2.29,-19.86,0.0,-19.86,15.87,-2.5,-2.5,2.91,36.65,5.03,100.0,63.35
2014-09-30,348.96,5.73,354.69,188.86,40.82,-7.46,42.05,12.11,70.74,7.57,1.76,9.32,10.35,-1.03,0.0,-1.03,-0.47,-0.56,0.0,-0.56,15.88,-0.07,-0.07,2.91,36.65,5.03,100.0,63.34
2014-12-31,389.76,3.09,392.85,230.58,55.85,-24.72,41.61,12.81,73.69,3.03,1.28,4.31,10.56,-6.25,0.0,-6.25,0.88,-7.12,0.0,-7.12,15.88,-0.9,-0.9,2.91,36.67,5.03,100.0,63.33
2015-03-31,535.38,9.08,544.46,197.85,138.26,8.21,46.32,12.81,98.74,42.26,3.22,45.48,10.52,34.95,0.0,34.95,-1.08,36.03,0.0,36.03,15.88,4.54,4.54,2.91,36.65,5.03,100.0,63.35
2015-06-30,366.22,2.76,368.98,177.59,64.25,-10.21,44.61,10.14,79.21,3.39,10.89,14.28,8.61,5.67,0.0,5.67,-1.66,7.33,0.0,7.33,15.88,0.92,0.92,2.91,36.66,5.03,100.0,63.34
2015-09-30,371.43,4.2,375.63,186.92,60.06,-7.59,46.1,9.92,75.52,4.71,0.86,5.57,8.95,-3.39,0.0,-3.39,-1.14,-2.25,0.0,-2.25,15.88,-0.28,-0.28,2.91,36.66,5.03,100.0,63.34
2015-12-31,405.87,3.38,409.25,210.9,84.02,-14.16,41.83,9.37,84.83,-7.55,1.72,-5.83,9.29,-15.12,0.0,-15.12,-0.75,-14.37,0.0,-14.37,15.88,-1.81,-1.81,0.0,0.0,0.0,0.0,0.0
2016-03-31,494.75,7.63,502.37,256.83,50.09,11.36,49.95,9.52,105.66,18.98,10.65,29.63,10.38,19.25,0.0,19.25,-1.84,21.09,0.0,21.09,15.88,2.66,2.66,0.0,0.0,0.0,0.0,0.0
2016-06-30,373.71,2.44,376.15,171.92,69.79,-5.67,47.96,9.74,80.47,1.96,2.19,4.15,7.87,-3.72,0.0,-3.72,-0.45,-3.27,0.0,-3.27,15.88,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0
2016-09-30,388.79,3.36,392.15,179.49,65.98,-27.38,49.24,10.89,95.53,18.39,8.17,26.56,8.15,18.41,0.0,18.41,4.19,14.22,0.0,14.22,15.88,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2016-12-31,428.68,4.52,433.2,189.62,94.92,-4.12,54.18,9.4,79.62,9.58,2.34,11.92,8.53,3.38,0.0,3.38,1.28,2.1,0.0,2.1,15.88,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2017-03-31,568.38,6.6,574.99,235.07,93.47,-0.32,61.72,8.95,144.06,32.04,5.54,37.58,6.96,30.62,0.0,30.62,13.67,16.94,0.0,16.94,15.88,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2017-06-30,443.6,0.0,443.6,211.39,68.14,-18.95,53.21,8.78,112.15,8.88,5.22,14.1,6.75,7.35,0.0,7.35,1.9,5.45,0.0,5.45,15.88,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2017-09-30,434.1,0.0,434.1,199.1,70.5,-19.3,54.4,9.0,96.6,23.8,4.1,27.9,5.0,22.9,0.0,22.9,4.4,18.5,0.0,18.5,15.9,2.33,2.33,0.0,0.0,0.0,0.0,0.0
2017-12-31,442.1,0.0,442.1,201.7,59.7,0.8,57.8,8.8,98.7,14.6,3.9,18.5,6.5,12.0,0.0,12.0,2.9,9.1,0.0,9.1,15.9,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2018-03-31,614.8,0.0,614.8,269.7,86.2,4.3,61.9,8.6,132.6,51.5,5.6,57.1,7.1,50.0,0.0,50.0,17.5,32.5,0.0,32.5,15.9,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2018-06-30,456.1,0.0,456.1,228.9,53.1,-14.6,57.6,8.8,108.5,13.8,15.6,29.4,4.5,24.9,0.0,24.9,6.8,18.1,0.0,18.1,15.9,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2018-09-30,488.2,0.0,488.2,227.3,66.8,-16.2,58.6,8.9,121.7,21.1,12.2,33.3,6.7,26.6,0.0,26.6,6.6,20.0,0.0,20.0,15.9,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2018-12-31,518.0,0.0,518.0,271.9,70.9,-39.6,63.0,9.3,114.8,27.7,-3.8,23.9,7.3,16.6,0.0,16.6,3.7,12.9,0.0,12.9,15.9,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2019-03-31,761.2,0.0,761.2,353.4,96.4,22.2,61.6,9.6,155.0,63.0,0.7,63.7,7.8,55.9,0.0,55.9,19.6,36.3,0.0,36.3,15.9,4.58,4.58,0.0,0.0,0.0,0.0,0.0
2019-06-30,472.7,0.0,472.7,295.8,39.5,-52.7,62.8,10.2,107.4,9.7,3.1,12.8,6.0,6.8,0.0,6.8,0.4,6.4,0.0,6.4,15.9,0.81,0.81,0.0,0.0,0.0,0.0,0.0
2019-09-30,482.3,0.0,482.3,204.2,38.6,29.7,60.6,9.8,119.1,20.3,13.1,33.4,8.4,25.0,0.0,25.0,15.6,9.4,0.0,9.4,15.9,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2019-12-31,568.2,0.0,568.2,230.0,51.0,9.1,64.0,10.1,155.5,48.5,3.6,52.1,7.6,44.5,0.0,44.5,11.3,33.2,0.0,33.2,15.9,4.18,4.18,0.0,0.0,0.0,0.0,0.0
2020-03-31,573.9,0.0,573.9,302.4,43.4,-29.2,70.8,10.0,123.8,52.7,5.6,58.3,8.3,50.0,-6.4,43.6,13.5,30.1,0.0,30.1,15.9,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2020-06-30,262.9,0.0,262.9,68.2,26.8,70.1,54.0,9.9,44.2,-10.3,4.2,-6.1,9.2,-15.3,0.0,-15.3,-3.3,-12.0,0.0,-12.0,15.9,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0
2020-09-30,430.9,0.0,430.9,201.6,45.3,5.9,50.2,9.7,82.2,36.0,6.8,42.8,8.1,34.7,0.0,34.7,7.2,27.5,0.0,27.5,15.9,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2020-12-31,464.3,0.0,464.3,253.6,38.9,-23.7,61.2,9.3,94.3,30.7,5.5,36.2,3.8,32.4,0.0,32.4,9.0,23.4,0.0,23.4,15.9,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2021-03-31,641.8,0.0,641.8,346.3,55.1,-17.8,60.2,9.4,111.0,77.6,2.6,80.2,3.0,77.2,-4.1,73.1,18.8,54.3,0.0,54.3,15.9,6.84,6.84,0.0,0.0,0.0,0.0,0.0
2021-06-30,397.5,0.0,397.5,219.7,29.6,-15.1,60.0,9.6,85.6,8.1,3.6,11.7,3.9,7.8,0.0,7.8,2.2,5.6,0.0,5.6,15.9,0.71,0.71,0.0,0.0,0.0,0.0,0.0
2021-09-30,484.6,0.0,484.6,293.2,36.2,-32.1,61.8,10.1,103.1,12.3,15.0,27.3,3.4,23.9,0.0,23.9,6.5,17.4,0.0,17.4,15.9,2.19,2.19,0.0,0.0,0.0,0.0,0.0
2021-12-31,521.0,0.0,521.0,335.6,27.5,-44.1,62.4,10.6,110.3,18.7,7.4,26.1,4.4,21.7,0.0,21.7,3.9,17.8,0.0,17.8,15.9,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2022-03-31,762.8,0.0,762.8,358.0,38.9,69.5,66.7,10.4,142.1,77.2,9.7,86.9,4.1,82.8,-25.1,57.7,20.3,37.4,0.0,37.4,15.9,4.71,4.71,0.0,0.0,0.0,0.0,0.0
2022-06-30,542.4,0.0,542.4,342.9,40.2,-53.5,67.9,10.5,120.4,14.0,6.4,20.4,3.8,16.6,-4.1,12.5,4.5,8.0,0.0,8.0,15.9,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2022-09-30,591.6,0.0,591.6,327.1,42.1,-16.7,68.6,10.5,130.9,29.1,7.3,36.4,3.9,32.5,-4.4,28.1,7.6,20.5,0.0,20.5,15.9,2.58,2.58,0.0,0.0,0.0,0.0,0.0
2022-12-31,611.9,0.0,611.9,300.6,34.9,-6.6,70.8,10.7,137.2,64.3,3.9,68.2,3.5,64.7,-5.3,59.4,14.9,44.5,0.0,44.5,15.9,5.6,5.6,0.0,0.0,0.0,0.0,0.0
2023-03-31,794.0,0.0,794.0,355.3,38.3,69.6,80.0,10.6,145.7,94.5,15.4,109.9,2.7,107.2,0.0,107.2,27.7,79.5,0.0,79.5,15.9,10.01,10.01,0.0,0.0,0.0,0.0,0.0
2023-06-30,581.2,0.0,581.2,336.0,36.0,-41.5,77.6,10.9,118.7,43.5,4.5,48.0,3.0,45.0,0.0,45.0,11.3,33.7,0.0,33.7,15.9,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2023-09-30,595.2,0.0,595.2,298.9,24.2,4.1,88.3,12.2,127.5,40.0,10.2,50.2,0.5,49.7,0.0,49.7,14.6,35.1,0.0,35.1,15.9,4.42,4.42,0.0,0.0,0.0,0.0,0.0
2023-12-31,644.0,0.0,644.0,324.4,21.3,-3.8,83.0,12.9,146.9,59.3,4.2,63.5,1.2,62.3,0.0,62.3,16.7,45.6,0.0,45.6,15.9,5.74,5.74,0.0,0.0,0.0,0.0,0.0
2024-03-31,899.7,0.0,899.7,448.6,32.9,-2.1,94.2,13.1,162.7,150.3,17.0,167.3,1.1,166.2,-0.7,165.5,36.5,129.0,0.0,129.0,15.9,16.25,16.25,0.0,0.0,0.0,0.0,0.0
2024-06-30,665.2,0.0,665.2,361.7,10.8,-13.8,92.0,13.9,152.2,48.4,9.6,58.0,1.6,56.4,0.0,56.4,15.5,40.9,0.0,40.9,15.9,5.15,5.15,0.0,0.0,0.0,0.0,0.0
2024-09-30,690.3,0.0,690.3,349.4,22.3,-5.6,86.0,14.4,149.8,74.0,9.9,83.9,1.4,82.5,0.0,82.5,19.5,63.0,0.0,63.0,15.9,7.93,7.93,0.0,0.0,0.0,0.0,0.0
2024-12-31,660.5,0.0,660.5,345.7,29.7,-28.4,85.8,14.6,158.1,55.0,8.4,63.4,0.9,62.5,10.8,73.3,15.1,58.2,0.0,58.2,15.9,7.34,7.34,0.0,0.0,0.0,0.0,0.0
2025-03-31,885.4,0.0,885.4,398.5,47.4,34.8,89.6,15.5,176.4,123.2,13.0,136.2,1.1,135.1,0.0,135.1,35.1,100.0,0.0,100.0,15.9,12.59,12.59,0.0,0.0,0.0,0.0,0.0
