Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Borrowings,Short Term Borrowings,Raw Materials,Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,14.58,14.58,138.44,138.44,153.02,0.0,0.0,0.0,2.52,9.53,2.28,6.16,17.97,173.51,27.63,3.48,1.25,0.0,32.36,56.3,1.9,0.0,0.0,90.56,0.0,43.41,31.18,8.36,0.0,82.95,173.51,11.67,26.02,0.29,120.13,0.0,9.81,56.3,0.0,0.0,0.0,0.15,0.0,0.91,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,14.73,14.73,159.15,159.15,173.88,0.0,0.0,0.0,1.43,16.75,2.65,9.75,29.14,204.45,27.04,3.48,14.1,0.0,44.62,67.37,2.96,0.0,0.0,114.95,0.0,56.77,25.33,7.41,0.0,89.5,204.45,7.21,29.07,0.33,146.51,0.0,9.81,67.37,0.0,0.0,0.0,0.24,0.0,0.75,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.22,15.22,196.36,196.36,211.58,0.0,0.0,0.0,0.23,22.77,3.2,13.12,39.09,250.9,61.84,3.48,1.07,0.0,66.39,67.12,2.56,0.0,0.0,136.07,0.0,67.38,27.35,20.1,0.0,114.83,250.9,7.2,46.65,0.39,207.38,0.0,9.81,67.12,0.0,0.0,0.0,0.23,0.0,0.96,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.08,23.08,250.31,250.31,273.39,0.0,0.0,0.0,15.17,33.36,5.63,20.9,59.89,348.45,85.15,0.0,28.85,0.0,114.0,67.12,2.98,0.0,0.0,184.1,0.0,90.22,45.58,28.54,0.0,164.34,348.45,35.82,68.43,0.59,337.88,5.06,17.46,67.12,0.0,0.0,0.0,15.17,0.0,0.72,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,26.06,124.13,501.5,501.5,625.62,0.0,0.0,0.0,28.05,35.46,8.16,28.2,81.81,735.49,186.73,0.0,31.13,0.0,217.86,268.7,0.48,0.0,0.0,487.04,0.0,126.16,87.54,34.76,0.0,248.45,735.49,0.0,58.19,1.59,423.16,0.8,17.46,268.7,0.0,0.0,98.06,28.05,10.0,4.1,30.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,27.61,27.61,662.29,662.29,689.9,0.0,0.0,0.0,0.0,59.95,61.57,31.5,171.69,861.59,209.17,0.0,58.42,0.0,267.59,102.69,17.89,0.0,0.0,388.17,0.0,154.05,272.92,46.46,0.0,473.42,861.59,58.25,70.16,1.16,551.02,11.57,17.46,102.69,0.0,0.0,0.0,0.0,18.67,0.69,14.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,27.75,27.75,776.09,776.09,803.83,0.0,0.0,0.0,0.0,47.82,25.76,90.86,164.44,968.27,199.45,0.0,60.48,0.0,259.93,276.35,2.4,0.0,0.0,538.68,0.0,90.35,186.06,153.19,0.0,429.59,968.27,60.05,116.18,1.46,545.74,1.19,17.46,276.35,0.0,0.0,0.0,0.0,0.0,0.55,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,55.64,55.64,852.31,852.31,907.95,0.0,0.42,32.34,32.76,40.7,21.08,20.76,82.54,1023.25,252.65,17.59,1.29,4.47,276.0,145.92,1.42,67.12,0.69,491.15,33.41,142.46,293.86,33.04,29.33,532.1,1023.25,62.98,122.91,0.0,627.83,0.0,45.24,145.92,33.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,55.71,55.71,979.23,979.23,1034.94,0.0,0.0,38.64,38.64,58.41,25.65,39.44,123.5,1197.09,264.82,22.98,10.84,6.55,305.19,144.7,8.64,71.24,0.0,529.77,22.25,181.3,390.83,25.19,47.75,667.32,1197.09,116.15,201.31,0.0,880.88,0.0,45.24,144.7,22.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,55.8,55.8,1110.83,1110.83,1166.63,0.39,0.0,33.49,33.49,83.21,60.65,39.66,183.51,1384.03,280.38,31.47,21.86,0.9,334.6,144.7,1.49,96.69,0.0,577.49,60.98,180.26,424.81,59.09,81.41,806.54,1384.03,121.02,222.86,0.0,1017.51,0.0,45.24,144.7,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
