Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,269.53,0.0,269.53,130.84,13.79,0.0,65.7,59.2,14.48,73.68,0.02,73.66,0.0,73.66,21.28,52.38,52.38,55.8,4.7,4.69,8.67,77.65,2.49,100.0,22.35
2013-03-31,263.23,0.0,263.23,123.93,17.57,0.0,73.4,48.33,9.77,58.1,0.06,58.04,0.0,58.04,14.88,43.16,43.16,55.8,3.87,3.86,8.67,77.65,2.49,100.0,22.35
2013-06-30,283.57,0.0,283.57,142.07,16.27,0.0,70.68,54.55,56.95,111.5,0.0,111.5,0.0,111.5,24.13,87.37,87.37,55.82,7.83,7.82,8.67,77.65,2.5,100.0,22.35
2013-09-30,315.07,0.0,315.07,143.91,16.23,0.0,74.29,80.64,6.64,87.28,0.26,87.02,0.0,87.02,21.17,65.85,65.85,55.84,5.9,5.89,8.67,77.66,2.5,100.0,22.34
2013-12-31,316.41,0.0,316.41,143.75,16.61,0.0,81.43,74.62,-8.06,66.56,0.04,66.52,0.0,66.52,18.69,47.83,47.83,55.95,4.28,4.26,8.69,77.68,2.5,100.0,22.32
2014-03-31,309.44,0.0,309.44,141.92,15.76,0.0,82.13,69.63,-3.1,66.53,0.06,66.47,0.0,66.47,12.6,53.87,53.87,55.98,4.82,4.8,8.7,77.7,2.5,100.0,23.3
2014-06-30,313.15,0.0,313.15,157.82,15.71,0.0,82.19,57.43,10.81,68.24,0.06,68.18,0.0,68.18,13.91,54.27,54.27,56.07,4.84,4.83,8.72,77.73,2.5,100.0,22.27
2014-09-30,324.21,0.0,324.21,163.15,14.97,0.0,86.26,59.83,32.33,92.16,0.06,92.1,0.0,92.1,21.74,70.36,70.36,56.07,6.28,6.25,8.72,77.73,2.5,100.0,22.27
2014-12-31,328.59,0.0,328.59,159.5,15.49,0.0,93.79,59.81,35.63,95.44,0.37,95.07,0.0,95.07,21.02,74.05,74.05,56.14,6.6,6.58,8.73,77.77,2.5,100.0,22.23
2015-03-31,328.06,0.0,328.06,163.47,15.63,0.0,85.4,63.56,24.16,87.72,0.02,87.7,0.0,87.7,15.22,72.48,72.48,56.18,6.46,6.44,8.74,77.79,2.5,100.0,22.21
2015-06-30,341.94,0.0,341.94,176.12,15.46,0.0,93.63,56.73,33.16,89.89,0.05,89.84,0.0,89.84,19.99,69.85,69.85,56.18,6.22,6.19,8.74,77.79,2.5,100.0,22.21
2015-09-30,321.56,0.0,321.56,159.94,15.54,0.0,87.4,58.68,37.81,96.49,0.06,96.43,0.0,96.43,19.85,76.58,76.58,56.24,6.81,6.79,8.75,77.82,2.5,100.0,22.18
2015-12-31,297.84,0.0,297.84,146.38,15.12,0.0,84.1,52.24,23.88,76.12,0.04,76.08,0.0,76.08,13.98,62.1,62.1,56.24,5.52,5.51,8.75,77.85,2.5,100.0,22.18
2016-03-31,284.22,0.0,284.22,148.66,22.68,0.0,99.32,13.56,18.64,32.2,0.08,32.12,-7.17,24.95,0.03,24.92,24.92,56.24,2.22,2.21,0.0,0.0,0.0,0.0,0.0
2016-06-30,305.01,0.0,305.01,160.73,14.08,0.0,95.17,35.03,15.11,50.14,0.09,50.05,0.0,50.05,8.62,41.43,41.43,56.27,3.68,3.68,0.0,0.0,0.0,0.0,0.0
2016-09-30,328.74,0.0,328.74,169.3,14.66,0.0,86.79,57.99,18.17,76.16,0.19,75.97,0.0,75.97,12.55,63.42,63.42,56.27,5.64,5.63,0.0,0.0,0.0,0.0,0.0
2016-12-31,329.77,0.0,329.77,162.85,14.15,0.0,83.53,69.24,24.17,93.41,0.12,93.29,0.0,93.29,21.14,72.15,72.15,56.28,6.41,6.41,0.0,0.0,0.0,0.0,0.0
2017-03-31,328.5,0.0,328.5,159.1,12.1,0.0,93.4,63.9,24.1,88.0,0.2,87.8,-20.1,67.7,7.8,59.9,59.9,56.28,5.32,5.32,0.0,0.0,0.0,0.0,0.0
2017-06-30,331.1,37.3,368.4,165.3,13.0,0.0,94.7,95.4,0.0,95.4,0.1,95.3,0.0,95.3,22.5,72.8,72.8,56.28,6.47,6.47,0.0,0.0,0.0,0.0,0.0
2017-09-30,352.8,0.0,352.8,170.1,12.5,0.0,94.7,75.5,39.9,115.4,0.1,115.3,0.0,115.3,30.0,85.3,85.3,56.28,7.58,7.54,0.0,0.0,0.0,0.0,0.0
2017-12-31,377.5,0.0,377.5,170.6,13.0,0.0,102.2,91.7,82.6,174.3,0.1,174.2,10.3,184.5,40.6,143.9,143.9,56.28,12.78,12.73,0.0,0.0,0.0,0.0,0.0
2018-03-31,378.3,0.0,378.3,169.8,12.3,0.0,97.5,98.7,32.5,131.2,0.3,130.9,0.0,130.9,31.1,99.8,99.8,56.28,8.86,8.83,0.0,0.0,0.0,0.0,0.0
2018-06-30,383.7,0.0,383.7,182.7,13.4,0.0,108.2,79.4,22.7,102.1,0.2,101.9,0.0,101.9,22.7,79.2,79.2,56.28,7.02,7.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,407.8,0.0,407.8,190.1,12.4,0.0,117.1,88.2,101.7,189.9,0.4,189.5,0.0,189.5,38.0,151.5,151.5,56.5,13.41,13.37,0.0,0.0,0.0,0.0,0.0
2018-12-31,413.0,0.0,413.0,190.3,12.2,0.0,104.0,106.5,-17.1,89.4,0.2,89.2,0.0,89.2,15.5,73.7,73.7,56.5,6.52,6.51,0.0,0.0,0.0,0.0,0.0
2019-03-31,410.4,0.0,410.4,191.5,12.9,0.0,99.9,106.1,54.8,160.9,0.3,160.6,0.0,160.6,24.3,136.3,136.3,55.2,12.13,12.11,0.0,0.0,0.0,0.0,0.0
2019-06-30,372.6,0.0,372.6,197.4,22.5,0.0,99.0,53.7,31.5,85.2,3.1,82.1,0.0,82.1,14.1,68.0,68.0,55.2,6.18,6.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,403.6,0.0,403.6,197.1,25.7,0.0,92.9,87.9,26.0,113.9,4.3,109.6,0.0,109.6,21.1,88.5,88.5,54.99,8.04,8.04,0.0,0.0,0.0,0.0,0.0
2019-12-31,397.9,0.0,397.9,189.3,25.3,0.0,107.5,75.8,44.5,120.3,3.7,116.6,0.0,116.6,24.1,92.5,92.5,54.99,8.41,8.41,0.0,0.0,0.0,0.0,0.0
2020-03-31,349.0,0.0,349.0,183.4,25.5,31.1,104.0,5.0,24.7,29.7,3.7,26.0,0.0,26.0,27.0,-1.0,-1.0,55.0,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2020-06-30,340.1,0.0,340.1,191.2,26.0,0.0,73.6,49.3,70.4,119.7,3.5,116.2,0.0,116.2,25.3,90.9,90.9,55.0,8.26,8.27,0.0,0.0,0.0,0.0,0.0
2020-09-30,350.3,0.0,350.3,179.7,24.6,0.0,82.9,63.1,18.2,81.3,3.2,78.1,0.0,78.1,12.7,65.4,65.4,55.0,5.95,5.95,0.0,0.0,0.0,0.0,0.0
2020-12-31,350.5,0.0,350.5,176.6,23.5,0.0,76.0,74.4,23.2,97.6,5.0,92.6,0.0,92.6,16.9,75.7,75.7,55.0,6.88,6.88,0.0,0.0,0.0,0.0,0.0
2021-03-31,339.0,0.0,339.0,176.0,22.2,11.4,69.4,60.0,8.0,68.0,2.9,65.1,0.0,65.1,19.0,46.1,46.1,55.0,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2021-06-30,388.4,0.0,388.4,199.2,24.7,0.0,69.7,94.8,27.8,122.6,2.6,120.0,0.0,120.0,28.5,91.5,91.5,55.0,8.32,8.31,0.0,0.0,0.0,0.0,0.0
2021-09-30,429.4,0.0,429.4,225.0,24.4,0.0,85.6,94.4,16.3,110.7,2.5,108.2,0.0,108.2,24.3,83.9,83.9,55.1,7.67,7.63,0.0,0.0,0.0,0.0,0.0
2021-12-31,455.9,0.0,455.9,223.6,24.6,0.0,88.0,119.7,23.8,143.5,2.6,140.9,0.0,140.9,34.6,106.3,106.3,55.1,9.74,9.69,0.0,0.0,0.0,0.0,0.0
2022-03-31,476.8,0.0,476.8,247.6,23.0,0.0,99.0,107.2,207.4,314.6,2.7,311.9,0.0,311.9,24.5,287.4,287.4,55.2,26.32,26.16,0.0,0.0,0.0,0.0,0.0
2022-06-30,508.8,0.0,508.8,274.3,28.5,0.0,119.2,86.8,28.7,115.5,3.3,112.2,0.0,112.2,29.1,83.1,83.1,55.2,7.61,7.56,0.0,0.0,0.0,0.0,0.0
2022-09-30,516.6,0.0,516.6,302.2,29.6,0.0,132.0,52.8,14.4,67.2,3.9,63.3,0.0,63.3,14.8,48.5,48.5,55.2,4.44,4.41,0.0,0.0,0.0,0.0,0.0
2022-12-31,605.3,0.0,605.3,311.9,27.1,0.0,136.0,130.3,21.5,151.8,4.4,147.4,0.0,147.4,36.1,111.3,111.3,55.2,10.17,10.11,0.0,0.0,0.0,0.0,0.0
