Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,612.55,8.05,620.6,137.26,0.82,-27.31,153.75,54.64,28.48,242.03,30.93,18.97,49.9,17.13,32.77,0.0,32.77,0.56,32.21,32.21,77.01,4.18,4.18,2.86,37.1,4.84,100.0,62.9
2013-03-31,665.75,12.28,678.03,160.03,0.37,-52.17,154.59,72.73,27.24,263.92,51.32,57.78,109.1,9.94,99.16,0.0,99.16,26.53,72.63,72.63,77.01,9.43,9.43,2.86,37.1,4.84,100.0,62.9
2013-06-30,771.96,11.21,783.17,127.87,0.09,6.82,202.53,54.44,30.23,313.42,47.77,25.52,73.29,20.74,52.55,0.0,52.55,6.56,45.99,45.99,77.01,5.97,5.97,2.86,37.1,4.84,100.0,62.9
2013-09-30,710.71,10.28,720.99,120.63,1.07,17.23,180.29,57.72,31.09,275.25,37.71,31.96,69.67,24.89,44.78,0.0,44.78,3.2,41.58,41.58,77.01,5.4,5.4,2.86,37.1,4.84,100.0,62.9
2013-12-31,709.84,8.86,718.7,100.08,0.07,29.53,193.19,59.79,31.94,297.28,6.82,23.45,30.27,20.15,10.12,0.0,10.12,-5.87,15.99,15.99,77.01,2.08,2.08,2.86,37.1,4.84,100.0,62.9
2014-03-31,778.03,15.46,793.49,144.69,0.17,-14.42,191.39,49.63,39.32,351.12,31.59,43.98,75.57,19.81,55.76,-10.93,44.83,18.63,26.2,26.2,77.01,3.4,3.4,2.86,37.1,4.84,100.0,62.9
2014-06-30,859.32,15.5,874.82,134.63,0.53,-41.38,233.23,55.85,39.13,348.17,104.66,42.12,146.78,19.21,127.57,0.0,127.57,28.05,99.52,99.52,77.01,12.92,12.92,2.86,37.1,4.84,100.0,62.9
2014-09-30,767.11,14.0,781.11,120.3,0.17,-34.06,224.63,57.27,39.14,340.79,32.87,29.19,62.06,19.61,42.45,0.0,42.45,9.99,32.46,32.46,77.01,4.22,4.22,2.86,37.1,4.84,100.0,62.9
2014-12-31,743.18,13.63,756.81,120.61,0.16,9.4,206.05,55.15,37.21,325.73,2.5,26.01,28.51,20.9,7.61,0.0,7.61,-7.39,15.0,15.0,77.01,1.95,1.95,2.86,37.1,4.84,100.0,62.9
2015-03-31,782.64,14.51,797.15,135.77,0.38,26.05,203.6,57.21,37.98,328.04,8.12,58.62,66.74,18.65,48.09,-12.84,35.25,11.84,23.41,23.41,77.01,3.7,3.7,2.86,37.1,4.84,100.0,62.9
2015-06-30,773.48,13.96,787.44,139.09,0.61,8.05,184.96,56.74,36.57,340.14,21.28,28.56,49.84,19.1,30.74,-13.21,17.53,0.89,16.64,16.64,77.01,2.16,2.16,2.86,37.1,4.84,100.0,62.9
2015-09-30,801.78,12.11,813.89,173.79,0.27,-13.05,193.53,60.45,36.97,336.87,25.06,53.43,78.49,23.33,55.16,-27.95,27.21,8.73,18.48,18.48,77.01,2.4,2.4,2.86,37.1,4.84,100.0,62.9
2015-12-31,793.93,13.13,807.06,151.04,0.0,4.17,194.85,64.8,37.52,334.58,20.1,14.97,35.07,19.23,15.84,-9.29,6.55,-0.02,6.57,6.57,77.01,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2016-03-31,881.28,0.0,881.28,154.0,0.01,-13.31,201.6,65.7,36.74,370.6,65.94,48.96,114.9,18.59,96.31,18.96,115.27,9.73,105.54,105.54,77.01,13.71,13.71,0.0,0.0,0.0,0.0,0.0
2016-06-30,893.57,7.11,900.68,148.65,0.0,-4.55,199.48,60.46,37.93,359.2,99.51,42.94,142.45,22.47,119.98,0.0,119.98,25.65,94.33,94.33,77.01,12.25,12.25,0.0,0.0,0.0,0.0,0.0
2016-09-30,769.16,4.26,773.42,141.2,0.0,-8.14,171.31,65.82,37.43,322.33,43.47,44.28,87.75,30.31,57.44,0.0,57.44,-0.99,58.43,58.43,77.01,7.59,7.59,0.0,0.0,0.0,0.0,0.0
2016-12-31,722.04,16.96,739.0,137.15,0.0,21.42,153.66,66.87,36.39,301.94,21.57,17.43,39.0,50.66,-11.66,0.0,-11.66,-13.75,2.09,2.09,77.01,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2017-03-31,932.02,0.0,932.02,162.37,0.0,16.54,199.66,71.38,35.44,387.14,59.49,39.88,99.37,35.79,63.58,-6.82,56.76,-2.39,59.15,59.15,77.01,7.68,7.68,0.0,0.0,0.0,0.0,0.0
