Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,77.01,77.01,11.11,169.38,180.49,257.5,96.1,57.0,0.0,0.0,153.1,78.93,16.77,188.45,8.71,292.86,703.46,321.95,0.0,5.33,0.0,0.0,327.28,98.1,0.0,7.11,478.53,0.0,102.96,29.96,44.72,47.29,0.0,224.93,703.46,109.9,1.45,50.8,0.0,27.65,19.19,82.81,0.0,0.0,14.77,0.0,0.0,0.02,46.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,77.01,77.01,10.31,225.47,235.78,312.79,147.68,52.94,0.0,0.0,200.62,57.99,28.66,217.03,13.22,316.89,830.3,298.16,0.0,126.03,0.0,0.0,424.19,110.2,0.0,6.3,565.06,0.0,102.95,56.22,29.07,74.83,2.18,265.24,830.3,120.46,0.97,85.28,0.0,27.65,44.73,94.91,0.0,0.0,11.4,0.0,0.0,0.0,24.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,77.01,77.01,9.52,297.71,307.23,384.24,153.45,78.83,0.0,0.0,232.28,77.54,42.97,255.35,44.89,420.76,1037.27,500.23,0.0,33.9,0.0,0.0,534.13,175.31,0.0,2.96,728.9,0.0,105.72,22.48,59.23,120.66,0.28,308.38,1037.27,60.6,0.87,51.75,0.0,27.65,88.95,160.03,0.0,0.0,31.74,0.0,0.0,0.08,16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,77.01,77.01,8.73,580.08,588.8,665.81,131.96,85.89,0.0,0.0,217.85,107.08,29.77,254.76,192.15,583.77,1467.43,519.14,0.0,25.74,0.0,0.0,544.89,420.08,0.0,0.38,976.56,0.0,142.59,27.22,34.39,286.67,0.0,490.87,1467.43,122.07,0.65,46.55,0.0,27.65,104.53,404.89,0.0,0.0,36.15,0.0,0.0,1.1,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,77.01,77.01,8.44,919.53,927.97,1004.98,104.3,89.57,0.0,0.0,193.88,123.2,28.27,317.58,353.07,822.12,2020.97,500.8,0.0,149.11,0.0,0.0,649.91,634.0,0.0,0.0,1306.79,0.0,200.45,31.71,31.36,450.67,0.0,714.18,2020.97,92.46,1.68,70.19,0.0,27.65,136.94,618.82,0.0,0.0,57.68,0.0,0.0,15.66,22.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,77.01,77.01,8.22,1202.48,1210.7,1287.71,136.25,101.85,0.0,0.0,238.1,91.51,40.85,337.45,66.9,536.72,2062.52,660.04,0.0,141.86,0.0,0.0,801.9,552.29,0.0,0.0,1378.81,0.0,192.88,20.0,319.72,151.11,0.0,683.71,2062.52,237.54,1.93,90.41,0.0,27.65,117.81,462.06,0.0,0.0,22.35,0.0,0.0,38.39,24.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,77.01,77.01,8.0,1706.21,1714.22,1791.23,411.01,108.44,0.0,0.0,519.45,239.55,52.75,370.87,64.95,728.11,3038.79,698.68,0.0,327.77,0.0,0.0,1026.45,1141.65,0.0,0.0,2197.04,0.0,283.71,22.15,339.27,196.62,0.0,841.76,3038.79,331.6,2.66,71.09,0.0,27.65,448.95,775.03,0.0,0.0,80.64,0.0,0.0,119.19,28.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,77.01,77.01,7.79,1973.12,1980.91,2057.92,604.15,112.52,186.37,15.78,918.81,333.54,102.56,147.57,42.65,626.31,3603.04,975.29,0.0,455.78,2.86,0.0,1433.93,446.96,60.51,5.18,1946.59,722.36,359.6,44.07,343.38,90.28,96.75,1656.45,3603.04,333.73,4.7,99.06,0.48,27.65,475.9,11.17,314.58,413.0,34.58,19.61,13.16,104.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,77.01,77.01,7.58,2158.8,2166.37,2243.38,752.24,153.25,221.63,17.89,1145.01,372.1,112.94,139.86,46.32,671.21,4059.6,1348.23,0.0,509.62,4.3,0.0,1862.16,459.94,45.67,10.25,2378.02,584.87,417.1,37.25,438.57,113.54,90.27,1681.58,4059.6,276.5,13.19,69.53,7.4,27.65,493.45,9.61,262.28,324.36,34.2,12.67,0.0,68.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,77.01,77.01,7.36,2365.7,2373.05,2450.06,897.38,211.69,250.48,36.22,1395.78,277.89,126.71,216.23,58.82,679.65,4525.49,1728.23,4.59,228.57,0.0,0.0,1961.4,897.93,135.04,29.42,3023.79,372.8,570.14,74.96,278.63,96.95,108.21,1501.7,4525.49,221.38,54.15,45.32,0.0,27.65,63.18,321.85,360.4,21.07,16.19,2.42,0.0,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
