Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,40.14,40.14,407.89,407.89,0.0,448.03,0.0,188.16,95.33,0.0,0.0,283.49,188.95,192.33,8.55,69.25,459.08,1190.6,517.21,0.0,17.17,0.0,534.38,8.91,0.0,0.0,544.45,0.0,215.3,215.83,15.04,199.98,0.0,646.15,1190.6,77.04,42.97,0.4,558.54,17.89,0.0,2.29,6.8,0.0,0.0,268.4,0.0,0.0,6.27,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,40.14,40.14,460.36,460.36,0.0,500.5,0.0,166.09,95.63,0.0,0.0,261.72,274.55,229.8,7.63,39.98,551.96,1314.18,553.13,5.81,69.81,0.0,628.75,9.37,0.0,0.0,640.31,0.0,248.08,235.39,17.78,172.62,0.0,673.87,1314.18,43.08,70.51,7.66,541.81,27.71,0.0,2.21,7.26,0.0,0.0,247.12,0.0,0.0,25.82,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,40.14,40.14,603.81,603.81,0.0,643.95,0.0,557.1,102.73,0.0,0.0,659.83,355.5,294.4,5.14,72.76,727.8,2031.58,636.59,5.81,25.21,0.0,667.61,9.5,0.0,0.0,684.23,0.0,310.29,348.39,455.8,232.87,0.0,1347.35,2031.58,99.41,101.77,6.88,761.1,48.26,0.0,2.15,7.39,0.0,0.0,333.99,0.0,0.0,12.52,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,80.34,80.34,808.07,808.07,0.0,888.41,0.0,523.27,109.29,0.0,0.0,632.56,341.28,351.37,4.3,66.4,763.35,2284.32,708.0,5.81,82.55,0.0,796.36,5.86,0.0,0.0,808.79,0.0,402.07,479.3,352.78,241.38,0.0,1475.53,2284.32,89.34,130.54,5.79,927.94,166.0,40.15,2.11,3.75,0.0,0.0,426.53,0.0,0.0,22.75,6.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,82.08,82.08,1234.97,1234.97,0.0,1317.05,0.0,413.33,128.91,0.0,0.0,542.24,552.22,401.75,36.62,108.28,1098.87,2958.16,857.26,5.81,68.95,0.0,932.02,292.49,0.0,0.0,1230.21,0.0,625.85,632.26,215.08,254.76,0.0,1727.95,2958.16,72.47,152.09,8.88,1355.53,152.98,40.15,2.13,290.38,0.0,0.0,585.85,0.0,0.0,28.71,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,82.82,82.82,1292.48,1292.48,0.0,1375.3,0.0,379.79,151.4,0.0,0.0,531.19,565.12,460.39,311.79,142.39,1479.69,3386.18,969.81,5.81,116.31,0.0,1091.93,473.87,0.0,0.0,1582.47,0.0,715.88,709.06,12.13,366.64,0.0,1803.71,3386.18,114.41,176.5,14.16,1582.12,934.2,40.15,0.0,473.87,0.0,0.0,503.19,0.0,0.0,50.43,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,88.94,88.94,2441.61,2441.61,0.0,2530.55,0.0,139.39,177.44,0.0,0.0,316.83,767.42,531.47,76.71,166.81,1542.41,4389.79,1183.03,8.36,140.83,0.0,1332.22,724.07,0.0,0.0,2075.48,0.0,713.7,916.59,37.42,646.6,0.0,2314.31,4389.79,113.7,223.49,15.17,2078.72,74.47,40.15,0.0,724.07,0.0,0.0,512.7,0.0,0.0,51.99,19.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,89.24,89.24,3063.42,3063.42,0.0,3152.66,0.0,221.97,178.57,35.79,27.93,464.26,757.49,587.62,78.31,171.43,1594.85,5211.77,1339.59,15.04,442.09,0.0,1796.72,680.88,307.05,4.52,2789.17,0.0,841.11,1234.28,37.46,196.97,112.78,2422.6,5211.77,235.67,281.83,23.24,2523.04,131.58,40.15,0.0,680.88,0.0,0.0,587.39,23.95,47.88,57.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,89.33,89.33,3645.08,3645.08,0.0,3734.41,0.0,134.92,190.5,37.61,25.61,388.64,857.73,715.42,250.28,212.23,2035.66,6158.71,1697.23,10.25,357.33,0.0,2064.81,687.29,380.51,0.0,3132.61,0.0,1123.56,1490.8,19.2,271.49,121.05,3026.1,6158.71,557.28,345.97,32.06,3032.92,211.48,40.15,0.0,687.29,0.0,0.0,590.53,30.68,60.8,78.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,89.51,89.51,4757.2,4757.2,0.0,4846.71,0.0,29.2,232.92,11.4,68.35,341.87,526.09,869.42,218.93,242.71,1857.15,7045.73,2000.63,13.02,240.12,0.0,2253.77,688.04,362.03,0.0,3303.84,0.0,1330.83,1874.27,20.12,284.01,232.66,3741.89,7045.73,484.51,502.05,40.89,4315.65,159.27,40.15,0.0,688.04,0.0,0.0,661.56,37.4,67.3,72.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
