Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1958.66,17.76,1976.42,537.77,175.82,-67.31,185.89,38.09,495.91,610.25,26.35,636.6,6.12,630.48,0.0,630.48,182.18,448.3,448.3,89.48,10.02,9.98,23.78,53.15,20.96,100.0,46.85
2013-03-31,1579.37,31.95,1611.32,427.49,190.98,-1.15,194.87,37.56,549.48,212.09,2.67,214.76,12.41,202.35,0.0,202.35,69.39,132.96,132.96,89.51,2.97,2.96,23.79,53.16,20.96,100.0,46.84
2013-06-30,1836.87,46.68,1883.55,494.74,238.8,-94.53,194.15,44.2,517.28,488.91,99.77,588.68,3.93,584.75,0.0,584.75,174.2,410.55,410.55,89.55,9.17,9.13,23.81,53.19,20.96,100.0,46.81
2013-09-30,2127.35,33.22,2160.57,557.25,183.79,-48.02,209.05,38.65,571.35,648.5,380.91,1029.41,3.59,1025.82,0.0,1025.82,216.7,809.12,809.12,89.6,18.07,17.98,23.84,53.22,20.96,100.0,46.78
2013-12-31,2391.5,35.45,2426.95,533.49,187.25,68.98,222.56,40.75,613.91,760.01,3.61,763.62,2.6,761.02,0.0,761.02,227.64,533.38,533.38,89.65,11.9,11.85,23.86,53.24,20.96,100.0,46.76
2014-03-31,2421.46,46.85,2468.31,546.52,219.35,-2.64,218.56,44.03,668.05,774.44,3.93,778.37,10.87,767.5,0.0,767.5,196.33,571.17,571.17,89.68,12.74,12.68,23.88,53.25,20.96,100.0,46.75
2014-06-30,2955.64,46.38,3002.02,547.49,246.23,-31.9,241.72,87.15,541.91,1369.42,23.53,1392.95,1.22,1391.73,0.0,1391.73,375.0,1016.73,1016.73,89.71,22.67,22.57,23.89,53.27,20.96,100.0,46.73
2014-09-30,2207.48,49.81,2257.29,586.27,253.67,-28.1,271.56,85.81,574.03,514.05,90.54,604.59,1.02,603.57,0.0,603.57,143.95,459.62,459.62,89.79,10.25,10.19,23.93,53.31,20.96,100.0,46.69
2014-12-31,2302.52,25.22,2327.74,546.47,222.41,-20.46,242.41,84.53,600.24,652.14,78.29,730.43,1.08,729.35,0.0,729.35,216.05,513.3,513.3,89.84,11.44,11.38,23.96,53.34,20.96,100.0,46.66
2015-03-31,2145.9,19.52,2165.42,559.09,220.19,-90.34,296.86,79.3,643.9,456.42,32.7,489.12,1.58,487.54,0.0,487.54,79.84,407.7,407.7,89.9,9.07,9.02,23.99,53.37,20.96,100.0,46.63
2015-06-30,2539.72,54.15,2593.87,602.43,274.2,-69.5,290.57,75.04,572.75,848.38,79.57,927.95,0.82,927.13,0.0,927.13,234.84,692.29,692.29,89.98,15.41,15.3,24.03,53.41,20.96,100.0,46.59
2015-09-30,2407.6,132.5,2540.1,606.88,297.6,-70.45,307.76,75.02,737.68,585.61,58.92,644.53,1.67,642.86,0.0,642.86,156.56,486.3,486.3,90.04,10.82,10.75,0.0,0.0,0.0,0.0,0.0
2015-12-31,2712.23,193.37,2905.6,583.4,256.75,0.8,314.64,75.69,700.1,974.22,32.08,1006.3,1.85,1004.45,0.0,1004.45,259.42,745.03,745.03,90.1,16.57,16.46,0.0,0.0,0.0,0.0,0.0
2016-03-31,3198.24,80.88,3279.12,544.88,278.18,-33.57,305.12,79.86,836.29,1268.36,21.1,1289.46,19.78,1269.68,0.0,1269.68,362.44,907.24,907.24,90.12,20.17,20.04,0.0,0.0,0.0,0.0,0.0
2016-06-30,3438.92,112.77,3551.69,573.79,313.69,28.94,345.81,82.19,752.79,1454.48,74.9,1529.38,4.14,1525.24,0.0,1525.24,445.51,1079.73,1079.73,90.18,23.96,23.83,0.0,0.0,0.0,0.0,0.0
2016-09-30,2876.21,75.07,2951.28,505.65,318.39,-11.4,347.11,86.41,887.59,817.53,18.95,836.48,0.94,835.54,0.0,835.54,182.46,653.08,653.08,90.2,14.49,14.42,0.0,0.0,0.0,0.0,0.0
2016-12-31,3218.34,77.18,3295.52,563.92,329.11,-54.08,370.66,92.54,851.69,1141.68,89.81,1231.49,8.84,1222.65,0.0,1222.65,363.18,859.47,859.47,90.29,19.06,18.98,0.0,0.0,0.0,0.0,0.0
2017-03-31,2836.37,90.05,2926.42,563.46,359.02,-148.72,347.35,104.97,1136.2,564.14,39.29,603.43,7.8,595.63,0.0,595.63,46.58,549.05,549.05,90.32,12.16,12.12,0.0,0.0,0.0,0.0,0.0
2017-06-30,2437.74,61.59,2499.33,518.86,218.0,74.14,358.16,95.09,786.73,448.35,27.89,476.24,6.22,470.02,0.0,470.02,115.9,354.12,354.12,90.34,7.84,7.81,0.0,0.0,0.0,0.0,0.0
2017-09-30,2528.11,51.89,2580.0,494.96,280.69,134.62,371.73,95.38,756.49,446.13,74.33,520.46,10.64,509.82,0.0,509.82,120.92,388.9,388.9,90.37,8.61,8.58,0.0,0.0,0.0,0.0,0.0
2017-12-31,2462.11,69.14,2531.25,554.01,358.4,-48.76,348.55,99.17,820.9,398.98,23.98,422.96,6.74,416.22,0.0,416.22,107.04,309.18,309.18,90.41,6.84,6.81,0.0,0.0,0.0,0.0,0.0
2018-03-31,2425.94,51.66,2477.6,691.7,273.06,-75.33,363.2,100.17,770.52,354.28,53.23,407.51,9.64,397.87,0.0,397.87,105.41,292.46,292.46,90.42,6.47,6.45,0.0,0.0,0.0,0.0,0.0
2018-06-30,2512.0,67.11,2579.11,671.41,344.85,-37.4,354.44,104.51,744.46,396.84,172.53,569.37,7.22,562.15,0.0,562.15,132.67,429.48,429.48,90.43,9.5,9.47,0.0,0.0,0.0,0.0,0.0
2018-09-30,2654.07,58.48,2712.55,677.18,338.43,-2.66,376.9,104.59,830.47,387.64,202.82,590.46,10.28,580.18,0.0,580.18,155.43,424.75,424.75,90.44,9.4,9.36,0.0,0.0,0.0,0.0,0.0
2018-12-31,2967.13,125.67,3092.8,711.21,343.47,0.89,375.13,108.31,881.53,672.26,38.99,711.25,9.98,701.27,-342.22,359.05,217.23,141.82,141.82,90.48,3.14,3.12,0.0,0.0,0.0,0.0,0.0
