Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,8375.31,47.47,8422.78,7808.93,7.61,47.15,77.37,481.72,14.91,496.63,29.13,467.5,0.0,467.5,149.0,318.5,318.5,750.0,0.0,4.25,4.25,37.5,50.0,37.5,100.0,50.0
2013-03-31,8440.84,24.79,8465.63,7998.56,13.68,46.8,19.0,387.59,20.25,407.84,24.7,383.14,0.0,383.14,138.0,245.14,245.14,750.0,0.0,3.27,3.27,37.5,50.0,37.5,100.0,50.0
2013-06-30,8377.01,67.19,8444.2,7959.3,8.58,46.7,78.52,351.1,15.24,366.34,24.02,342.32,0.0,342.32,117.0,225.32,225.32,750.0,0.0,3.0,3.0,37.5,50.0,37.5,100.0,50.0
2013-09-30,9448.87,44.6,9493.47,9031.55,7.99,59.67,90.01,304.25,16.14,320.39,38.64,281.75,0.0,281.75,100.0,181.75,181.75,750.0,0.0,2.42,2.42,37.5,50.0,37.5,100.0,50.0
2013-12-31,9310.11,72.01,9382.12,8917.11,10.56,101.71,104.52,248.22,21.61,269.83,78.28,191.55,0.0,191.55,56.0,135.55,135.55,750.0,0.0,1.81,1.81,37.5,50.0,37.5,100.0,50.0
2014-03-31,10408.52,19.27,10427.79,9934.44,19.49,100.02,87.07,286.77,30.76,317.53,78.63,238.9,0.0,238.9,69.6,169.3,169.3,750.0,0.0,2.26,2.26,37.5,50.0,37.5,100.0,50.0
2014-06-30,10064.72,96.1,10160.82,9699.53,12.19,77.07,91.33,280.7,35.32,316.02,78.42,237.6,0.0,237.6,81.0,156.6,156.6,750.0,0.0,2.09,2.09,37.5,50.0,37.5,100.0,50.0
2014-09-30,10860.53,119.43,10979.96,10348.55,10.99,77.35,101.39,441.68,35.05,476.73,79.92,396.81,0.0,396.81,134.0,262.81,262.81,750.0,0.0,3.5,3.5,37.5,50.0,37.5,100.0,50.0
2014-12-31,11090.28,108.2,11198.48,10727.15,12.16,79.27,118.36,261.54,26.82,288.36,68.45,219.91,0.0,219.91,57.52,162.39,162.39,750.0,0.0,2.17,2.17,37.5,50.0,37.5,100.0,50.0
2015-03-31,7077.3,84.39,7161.69,6835.62,21.76,81.69,82.92,139.7,57.59,197.29,66.7,130.59,0.0,130.59,-170.14,300.73,300.73,750.0,0.0,4.01,4.01,37.5,50.0,37.5,100.0,50.0
2015-06-30,8225.12,152.05,8377.17,7907.97,15.01,80.07,98.28,275.84,34.44,310.28,62.02,248.26,0.0,248.26,4.14,244.12,244.12,750.0,0.0,3.25,3.25,37.5,50.0,37.5,100.0,50.0
2015-09-30,7250.47,294.5,7544.97,6958.51,14.35,80.8,100.84,390.47,38.59,429.06,62.01,367.05,0.0,367.05,114.15,252.9,252.9,750.0,0.0,3.37,3.37,0.0,0.0,0.0,0.0,0.0
2015-12-31,4821.85,324.18,5146.03,4716.47,22.9,80.73,122.54,203.39,81.44,284.83,61.19,223.64,0.0,223.64,52.72,170.92,170.92,750.0,0.0,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2016-03-31,6065.25,0.0,6065.25,5492.7,18.8,80.01,57.3,416.44,-2.62,413.82,53.53,360.29,0.0,360.29,114.98,245.31,245.31,750.0,0.0,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2016-06-30,5108.95,228.36,5337.31,4576.75,18.28,80.6,99.8,561.88,49.35,611.23,55.64,555.59,0.0,555.59,177.73,377.86,377.86,750.0,0.0,5.04,5.04,0.0,0.0,0.0,0.0,0.0
2016-09-30,6338.51,275.88,6614.39,5761.31,18.03,85.97,108.62,640.46,91.49,731.95,55.42,676.53,0.0,676.53,216.97,459.56,459.56,750.0,0.0,6.13,6.13,0.0,0.0,0.0,0.0,0.0
2016-12-31,5976.58,322.71,6299.29,5556.88,19.44,100.89,115.91,506.17,55.03,561.2,51.67,509.53,0.0,509.53,112.06,397.47,397.47,750.0,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2017-03-31,6365.05,0.0,6365.05,5521.98,18.1,101.62,208.64,514.71,150.77,665.48,46.92,618.56,0.0,618.56,147.77,470.79,470.79,750.0,0.0,6.28,6.28,0.0,0.0,0.0,0.0,0.0
2017-06-30,6435.11,0.0,6435.11,5546.67,26.78,102.67,117.45,641.54,70.67,712.21,46.45,665.76,0.0,665.76,228.18,437.58,437.58,750.0,7781.47,2.92,2.92,0.0,0.0,0.0,0.0,0.0
2017-09-30,7770.23,0.0,7770.23,6742.73,19.38,103.86,109.39,794.87,101.93,896.8,46.45,850.35,0.0,850.35,261.57,588.78,588.78,1500.0,7168.91,3.93,3.93,0.0,0.0,0.0,0.0,0.0
2017-12-31,7757.06,0.0,7757.06,6755.94,19.67,103.88,134.1,743.47,41.4,784.87,36.65,748.22,0.0,748.22,219.43,528.79,528.79,1500.0,7697.69,3.53,3.53,0.0,0.0,0.0,0.0,0.0
2018-03-31,8636.23,0.0,8636.23,7644.85,25.37,101.25,143.94,720.82,103.4,824.22,33.45,790.77,0.0,790.77,268.08,522.69,522.69,1500.0,8220.47,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2018-06-30,9169.15,0.0,9169.15,8084.35,22.42,102.24,127.97,832.17,98.98,931.15,29.97,901.18,0.0,901.18,314.21,586.97,586.97,1500.0,8807.43,3.91,3.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,10745.34,0.0,10745.34,9695.01,42.95,103.7,123.66,780.02,111.48,891.5,24.89,866.61,0.0,866.61,303.66,562.95,562.95,1500.0,8556.64,3.75,3.75,0.0,0.0,0.0,0.0,0.0
2018-12-31,10097.74,0.0,10097.74,9098.93,26.54,103.7,124.19,744.38,88.44,832.82,21.54,811.28,0.0,811.28,245.97,565.31,565.31,1500.0,8127.37,3.77,3.77,0.0,0.0,0.0,0.0,0.0
2019-03-31,8383.2,0.0,8383.2,7538.66,33.96,101.6,183.34,525.64,151.39,677.03,22.52,654.51,0.0,654.51,214.31,440.2,440.2,1500.0,8566.07,2.93,2.93,0.0,0.0,0.0,0.0,0.0
2019-06-30,8613.44,0.0,8613.44,7418.15,29.32,189.88,142.06,834.03,104.41,938.44,100.52,837.92,0.0,837.92,277.65,560.27,560.27,1500.0,0.0,3.74,3.74,0.0,0.0,0.0,0.0,0.0
2019-09-30,9361.18,0.0,9361.18,8022.93,26.8,196.03,150.97,964.45,97.52,1061.97,105.13,956.84,-72.06,884.78,-218.36,1103.14,1103.14,1500.0,9415.73,7.35,7.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,8910.23,0.0,8910.23,7618.89,40.72,196.0,143.05,911.57,84.16,995.73,94.02,901.71,0.0,901.71,226.53,675.18,675.18,1500.0,9096.33,4.5,4.5,0.0,0.0,0.0,0.0,0.0
2020-03-31,8567.15,0.0,8567.15,7435.97,28.91,194.22,404.75,503.3,86.48,589.78,103.53,486.25,0.0,486.25,127.23,359.02,359.02,1500.0,9452.97,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2020-06-30,4883.57,0.0,4883.57,3836.54,36.0,193.58,101.09,716.36,68.38,784.74,88.14,696.6,0.0,696.6,176.37,520.23,520.23,1500.0,0.0,3.47,3.47,0.0,0.0,0.0,0.0,0.0
2020-09-30,6235.78,0.0,6235.78,4719.92,33.83,195.19,118.81,1168.03,159.56,1327.59,85.02,1242.57,0.0,1242.57,315.27,927.3,927.3,1500.0,0.0,6.18,6.18,0.0,0.0,0.0,0.0,0.0
2020-12-31,7328.23,0.0,7328.23,5843.37,34.33,192.49,115.24,1142.8,111.06,1253.86,81.5,1172.36,0.0,1172.36,293.89,878.47,878.47,1500.0,9528.97,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2021-03-31,7575.32,0.0,7575.32,6281.67,42.95,202.83,159.61,888.26,49.15,937.41,81.29,856.12,0.0,856.12,232.75,623.37,623.37,1500.0,10149.5,4.16,4.16,0.0,0.0,0.0,0.0,0.0
2021-06-30,8597.9,0.0,8597.9,7339.55,42.89,191.61,161.18,862.67,68.53,931.2,80.03,851.17,0.0,851.17,215.5,635.67,635.67,1500.0,0.0,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2021-09-30,10813.08,0.0,10813.08,9260.15,56.08,193.58,200.0,1103.27,81.64,1184.91,79.44,1105.47,0.0,1105.47,282.45,823.02,823.02,1500.0,11083.19,5.49,5.49,0.0,0.0,0.0,0.0,0.0
2021-12-31,12597.22,0.0,12597.22,10694.95,35.28,193.64,134.84,1538.51,71.85,1610.36,77.57,1532.79,0.0,1532.79,389.27,1143.52,1143.52,1500.0,11176.71,7.62,7.62,0.0,0.0,0.0,0.0,0.0
2022-03-31,11160.37,0.0,11160.37,9782.82,42.81,189.63,165.68,979.43,85.24,1064.67,80.29,984.38,0.0,984.38,234.24,750.14,750.14,1500.0,11925.47,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,14263.82,0.0,14263.82,12900.59,45.44,191.24,253.4,873.15,141.76,1014.91,77.85,937.06,0.0,937.06,236.16,700.9,700.9,1500.0,12626.37,4.67,4.67,0.0,0.0,0.0,0.0,0.0
