Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,750.0,750.0,155.46,155.46,905.46,1024.04,0.0,0.0,0.0,1024.04,234.85,157.25,10.8,1.4,404.29,2333.8,9.85,0.0,1746.38,1756.23,0.0,0.0,2.09,1758.31,0.0,100.31,31.02,426.5,0.0,575.49,2333.8,352.01,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.66,133.25,0.0,119.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,750.0,750.0,127.02,127.02,877.02,1259.89,214.3,0.0,0.0,1474.19,0.0,350.55,6.76,1.16,358.47,2709.68,1806.47,3.4,80.39,1890.26,17.89,0.0,0.0,2136.45,0.0,126.66,119.65,297.98,0.0,573.23,2709.68,198.24,12.06,0.0,13.5,0.0,0.0,17.89,0.0,0.0,28.95,1598.43,0.0,10.64,228.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,750.0,750.0,321.95,321.95,1071.95,1259.89,163.52,0.0,0.0,1423.41,0.0,136.85,9.21,26.42,172.47,2667.83,1738.99,3.4,120.35,1862.74,156.9,0.0,0.0,2122.66,0.0,103.9,127.75,250.6,5.73,545.17,2667.83,1101.97,7.2,0.0,0.0,0.4,0.0,156.9,0.0,0.0,57.19,3034.33,0.0,0.0,103.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,750.0,750.0,525.52,525.52,1275.52,1383.2,259.54,0.0,0.0,1642.74,0.0,312.52,85.59,189.56,587.67,3505.93,1640.47,3.4,483.39,2127.26,278.01,0.0,0.0,2417.61,0.0,209.93,331.29,340.47,0.0,1088.31,3505.93,752.81,91.37,0.0,0.0,0.58,0.0,278.01,0.0,0.0,206.62,4557.9,0.0,92.35,12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,750.0,750.0,868.55,868.55,1618.55,1577.62,269.79,0.0,0.0,1847.41,0.0,338.79,89.96,430.09,858.84,4324.8,1564.31,3.66,1061.36,2629.33,547.32,0.0,0.0,3177.23,0.0,90.95,332.99,358.56,0.0,1147.56,4324.8,156.71,52.59,0.0,0.0,0.42,0.0,547.32,0.0,0.0,365.06,5122.31,0.0,297.64,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,750.0,750.0,1233.43,1233.43,1983.43,2281.7,272.92,0.0,0.0,2554.62,0.0,571.51,165.02,155.69,892.21,5430.26,1464.88,3.74,1846.98,3315.61,304.26,0.0,0.0,3620.59,0.0,385.58,671.15,657.79,0.0,1809.67,5430.26,1113.82,112.11,11.25,0.0,0.6,0.0,304.26,0.0,0.0,95.15,7248.69,0.0,59.04,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,750.0,750.0,1484.88,1484.88,2234.88,2299.81,327.1,0.0,0.0,2626.91,200.0,604.26,140.61,155.68,1100.55,5962.34,2879.1,3.76,1318.36,4201.22,538.62,0.0,0.0,4740.74,0.0,222.26,503.48,340.5,0.0,1221.6,5962.34,1975.34,168.28,13.13,0.0,0.67,0.0,538.62,0.0,0.0,155.36,8975.15,0.0,164.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,750.0,750.0,1930.16,1930.16,2680.16,2808.47,348.0,0.0,3.97,3160.44,180.64,567.17,692.95,179.8,1620.56,7461.16,2702.42,0.02,2012.2,4714.64,123.22,211.45,0.0,5049.31,1041.67,247.98,847.17,157.49,12.47,2411.85,7461.16,4400.65,14.42,13.12,0.0,0.63,0.0,123.22,0.0,1041.67,105.07,11193.86,2.02,250.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,750.0,750.0,2769.78,2769.78,3519.78,2934.16,363.0,0.0,4.56,3301.72,99.81,1268.55,797.2,223.98,2389.54,9211.04,2521.43,0.03,3290.03,5811.49,139.88,153.52,0.0,6104.89,0.0,712.35,1285.89,983.91,8.63,3106.15,9211.04,4290.78,31.73,15.0,0.0,0.84,0.0,139.88,0.0,0.0,115.37,19929.37,3.57,604.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,750.0,750.0,3699.69,3699.69,4449.69,2718.22,391.0,0.0,3.37,3112.59,0.0,2297.35,996.62,226.57,3520.54,11082.82,2351.98,5.9,4330.51,6688.39,139.88,117.3,0.0,6945.57,0.0,1036.63,1689.8,1268.53,2.62,4137.25,11082.82,3765.94,69.97,18.75,0.0,1.26,0.0,139.88,0.0,0.0,139.67,27791.51,7.56,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
