Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,836.32,836.32,213.38,225.5,-3.64,130.49,26.99,23.06,103.54,117.0,14.37,131.37,18.84,112.53,0.0,112.53,29.29,83.24,0.0,83.24,69.56,6.02,5.98,8.6,61.85,2.81,58.74,20.18
2012-12-31,855.79,855.79,260.62,222.23,-40.24,135.75,27.55,22.12,108.92,118.84,8.04,126.88,19.33,107.55,0.0,107.55,26.91,80.64,0.0,80.64,69.56,5.8,5.8,8.62,61.93,2.83,59.28,20.36
2013-03-31,848.29,848.29,214.46,217.75,10.02,132.42,28.87,21.99,118.86,103.92,4.56,108.48,20.79,87.69,0.0,87.69,16.71,70.98,4.54,75.52,69.56,5.43,5.43,9.06,65.1,2.83,59.28,20.36
2013-06-30,895.04,895.04,231.03,249.92,-17.25,139.06,30.73,21.31,125.03,115.21,6.16,121.37,20.47,100.9,0.0,100.9,21.96,78.94,0.0,78.94,69.56,5.67,5.67,9.03,64.93,2.16,45.13,15.5
2013-09-30,975.07,975.07,235.02,271.05,-0.34,151.27,31.72,24.23,133.73,128.39,5.46,133.85,22.55,111.3,0.0,111.3,24.3,87.0,0.0,87.0,69.56,6.25,6.25,9.02,64.86,2.12,44.41,15.25
2013-12-31,993.34,993.34,246.38,290.87,-18.06,157.19,33.51,26.59,132.61,124.25,3.81,128.06,23.11,104.95,0.0,104.95,21.51,83.44,0.0,83.44,69.56,6.0,6.0,9.02,64.87,2.71,56.79,19.51
2014-03-31,998.18,998.18,239.17,284.43,-10.33,162.7,33.12,30.75,141.41,116.93,7.03,123.96,20.94,103.02,0.0,103.02,21.68,81.34,0.0,81.34,69.56,5.85,5.85,9.03,64.89,1.76,36.83,12.65
2014-06-30,1053.72,1053.72,289.15,314.79,-50.73,170.72,39.92,29.77,143.73,116.37,6.45,122.82,18.92,103.9,0.0,103.9,21.16,82.74,0.0,82.74,69.56,5.95,5.95,9.03,64.9,1.76,36.83,12.65
2014-09-30,1152.85,1152.85,266.54,350.56,-8.32,179.45,38.85,35.91,156.12,133.74,8.2,141.94,20.14,121.8,0.0,121.8,30.3,91.5,0.0,91.5,69.56,6.58,6.58,9.03,64.9,1.72,35.92,12.34
2014-12-31,1182.53,1182.53,254.94,374.43,2.68,179.66,38.64,38.98,157.15,136.05,25.8,161.85,21.67,140.18,-15.2,124.98,29.97,95.01,0.0,95.01,69.56,6.83,6.83,9.03,64.9,1.68,35.18,12.09
2015-03-31,1203.69,1203.69,258.45,364.37,7.1,191.13,40.63,34.03,174.11,133.87,4.82,138.69,22.56,116.13,0.51,116.64,39.31,77.33,0.0,77.33,69.56,5.56,5.56,9.03,64.9,1.73,36.23,12.44
