Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2930.61,0.0,0.0
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2930.61,0.0,0.0
2023-09-30,277.41,277.41,383.04,-202.34,6.35,74.53,162.6,-146.77,12.86,-133.91,40.75,-174.66,-174.66,-43.56,-131.1,-131.1,2930.61,-0.45,-0.45
2023-12-31,925.85,925.85,1415.14,-605.61,25.87,225.98,499.54,-635.07,16.22,-618.85,134.41,-753.26,-753.26,-184.87,-568.39,-568.39,2930.61,-1.94,-1.94
2024-03-31,1845.73,1845.73,2047.97,181.54,25.06,252.29,546.74,-1207.87,90.21,-1117.66,155.44,-1273.1,-1273.1,-412.27,-860.83,-860.83,2930.61,-2.94,-2.94
2024-06-30,2022.91,2022.91,1859.64,51.33,21.24,238.66,491.8,-639.76,20.83,-618.93,153.08,-772.01,-772.01,-224.76,-547.25,-547.25,2930.61,-1.87,-1.87
2024-09-30,1522.35,1522.35,1700.84,-425.56,15.63,240.39,672.05,-681.0,13.11,-667.89,161.04,-828.93,-828.93,-233.56,-595.37,-595.37,2930.61,-2.03,-2.03
2024-12-31,2119.54,2119.54,1830.9,214.57,30.92,253.48,699.16,-909.49,18.34,-891.15,165.32,-1056.47,-1056.47,-298.69,-757.78,-757.78,2930.61,-2.59,-2.59
