Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2015-06-30,853.4,21.48,874.88,595.46,1.98,-25.07,53.57,33.01,151.12,64.82,6.41,71.23,8.97,62.26,0.0,62.26,7.71,54.55,54.55,17.58,0.0,0.0,0.0
2015-09-30,951.87,18.73,970.6,635.39,2.89,2.34,50.87,36.29,158.05,84.77,2.88,87.64,9.9,77.74,0.0,77.74,22.58,55.17,55.17,17.58,0.0,3.92,3.92
2015-12-31,885.88,17.06,902.94,591.43,1.35,-6.96,51.56,37.68,159.45,68.42,0.48,68.9,7.08,61.82,0.0,61.82,19.1,42.72,42.72,17.58,0.0,3.04,3.04
2016-03-31,982.75,-57.26,925.49,570.21,1.64,13.49,51.71,43.49,171.16,73.79,12.22,86.01,6.6,79.41,0.0,79.41,26.24,53.16,53.16,17.58,1324.88,0.0,0.0
2016-06-30,946.12,16.48,962.6,632.87,2.49,-18.79,57.6,39.87,170.06,78.51,3.97,82.47,6.29,76.18,0.0,76.18,20.66,55.52,55.52,140.66,0.0,3.95,3.95
2016-09-30,1045.89,18.91,1064.8,698.16,2.32,-11.94,58.61,40.47,183.93,93.25,3.18,96.43,3.8,92.63,0.0,92.63,26.35,66.29,66.29,140.66,0.0,4.71,4.71
2016-12-31,875.13,17.79,892.92,573.84,1.85,-9.45,60.25,41.82,162.21,62.42,2.68,65.09,5.08,60.01,0.0,60.01,12.81,47.2,47.2,140.66,0.0,3.35,3.35
2017-03-31,945.35,0.0,945.35,608.57,3.15,-3.05,65.72,44.7,172.41,53.85,18.89,72.74,2.69,70.05,0.0,70.05,17.56,52.49,52.49,140.66,0.0,3.74,3.74
2017-06-30,1075.95,0.0,1075.95,688.66,1.42,9.87,65.37,40.76,174.63,95.25,4.39,99.63,2.91,96.72,0.0,96.72,28.8,67.92,67.92,140.66,0.0,4.83,4.83
2017-09-30,1176.01,0.0,1176.01,773.19,2.11,-5.23,63.6,40.26,191.68,110.41,4.11,114.52,3.19,111.33,0.0,111.33,38.27,73.06,73.06,140.66,0.0,5.19,5.19
