Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-06-30,23.31,23.31,2.15,4.73,5.88,3.51,1.74,9.56,-4.27,10.54,6.27,1.11,5.16,5.16,1.09,4.07,4.07,14.73,0.28,0.0
2020-09-30,40.61,40.61,0.17,7.27,7.4,6.77,2.03,19.18,-2.21,14.61,12.41,1.03,11.38,11.38,2.0,9.38,9.38,14.73,0.64,0.2
2020-12-31,43.22,43.22,17.25,2.1,-2.62,6.62,2.39,14.64,2.85,22.08,24.94,0.97,23.97,23.97,4.15,19.81,19.81,15.06,1.32,0.0
2021-03-31,38.67,38.67,8.51,6.39,5.17,2.16,2.26,21.86,-7.68,13.02,5.34,1.02,4.32,4.32,1.4,2.93,2.93,15.06,0.19,0.06
2021-06-30,4.35,4.35,1.63,0.12,-0.22,0.57,0.11,1.36,0.77,1.89,2.66,0.14,2.52,2.52,0.54,1.98,1.98,1.55,1.28,0.43
2021-09-30,49.39,49.39,14.66,3.64,-1.83,6.62,1.13,21.08,4.09,20.58,24.66,1.41,23.25,23.25,5.0,18.26,18.26,46.73,0.39,0.39
2021-12-31,44.91,44.91,16.15,8.92,-12.33,7.85,1.18,24.69,-1.55,24.22,22.67,1.4,21.27,21.27,4.51,16.76,16.76,47.29,0.36,0.36
2022-03-31,49.91,49.91,24.94,5.64,-16.3,10.32,1.25,22.42,1.65,51.99,53.65,1.71,51.93,51.93,3.28,48.66,48.66,47.41,1.03,1.02
2022-06-30,37.65,37.65,21.91,2.86,-5.98,9.15,1.4,25.34,-17.03,30.21,13.19,1.84,11.35,11.35,2.29,9.05,9.05,47.43,0.19,0.19
2022-09-30,51.75,51.75,13.82,1.45,4.83,9.19,1.98,37.27,-16.78,31.72,14.94,2.13,12.8,12.8,2.92,9.88,9.88,47.46,0.21,0.21
2022-12-31,54.08,54.08,11.93,4.0,-0.53,10.37,1.95,33.67,-7.3,35.17,27.87,1.87,26.0,26.0,6.23,19.77,19.77,284.94,0.07,0.07
2023-03-31,74.32,74.32,11.25,12.7,7.45,7.82,1.74,32.86,0.51,31.58,32.09,1.61,30.48,30.48,7.88,22.6,22.6,285.25,0.08,0.08
2023-06-30,26.95,26.95,0.0,4.67,8.49,10.84,1.84,33.1,-31.98,38.8,6.82,1.77,5.05,5.05,0.79,4.25,4.25,285.29,0.01,0.01
2023-09-30,25.21,25.21,0.0,5.08,6.72,10.18,1.75,31.56,-30.09,39.1,9.01,1.75,7.26,7.26,1.27,5.99,5.99,285.37,0.02,0.02
2023-12-31,38.3,38.3,0.0,14.34,2.82,11.03,1.92,34.24,-26.06,45.09,19.04,1.71,17.32,17.32,4.2,13.12,13.12,285.5,0.05,0.05
2024-03-31,93.59,93.59,0.0,32.72,2.14,14.15,2.05,47.01,-4.48,61.44,56.96,1.67,55.29,55.29,-33.38,88.67,88.67,285.6,0.31,0.31
2024-06-30,102.83,102.83,2.59,31.34,8.39,18.74,2.32,52.84,-13.39,39.18,25.79,1.86,23.93,23.93,-18.3,42.23,42.23,285.68,0.15,0.15
2024-09-30,109.41,109.41,1.45,44.97,10.32,15.54,3.0,50.59,-16.46,39.81,23.35,1.56,21.79,21.79,5.63,16.16,16.16,285.79,0.06,0.06
2024-12-31,119.14,119.14,2.78,44.58,2.81,15.26,2.87,57.87,-7.03,41.01,33.98,2.5,31.48,31.48,7.02,24.46,24.46,285.9,0.09,0.09
