Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,113.22,113.22,56.45,0.0,-1.19,20.61,4.06,0.0,1.21,18.86,13.24,4.65,17.89,7.11,10.78,-1.63,9.16,0.0,9.16,9.16,123.94,0.06,0.06,75.98,61.3,29.85,62.27,24.08
2012-12-31,139.45,139.45,63.27,0.0,4.09,27.49,4.45,0.0,1.09,19.09,19.96,2.29,22.25,6.44,15.81,-2.34,13.47,0.0,13.47,13.47,123.94,0.1,0.1,75.98,61.3,29.89,62.36,24.11
2013-03-31,225.23,225.23,120.58,0.24,-2.82,32.87,4.22,0.0,26.96,25.13,18.05,4.79,22.84,6.61,16.23,-1.67,14.56,0.04,14.52,14.52,123.94,0.11,0.11,75.98,61.3,29.89,62.36,24.11
2013-06-30,258.33,258.33,174.87,0.0,-2.92,34.79,4.49,0.0,1.97,25.15,19.98,2.22,22.2,6.91,15.29,0.0,15.29,0.0,15.29,15.29,123.94,0.11,0.11,75.98,61.3,29.85,62.27,24.08
2013-09-30,504.03,504.03,365.62,0.0,-2.88,48.31,4.81,0.0,0.26,31.14,56.78,1.07,57.85,7.69,50.16,0.0,50.16,0.0,50.16,50.16,123.94,0.39,0.39,75.98,61.3,23.85,49.77,19.25
2013-12-31,581.32,581.32,399.73,13.5,1.7,50.9,5.15,0.0,5.27,43.15,61.93,1.67,63.6,8.12,55.48,0.0,55.48,0.0,55.48,55.48,123.94,0.44,0.44,76.01,61.33,13.85,49.77,19.25
2014-03-31,675.1,675.1,539.91,2.43,-102.75,61.44,5.4,0.0,86.17,54.22,28.28,8.71,36.99,10.41,26.58,0.0,26.58,0.03,26.55,26.55,123.94,0.2,0.2,76.01,61.33,23.85,49.77,19.25
2014-06-30,618.82,618.82,529.02,0.8,-96.29,55.01,9.05,0.0,0.14,46.26,74.83,3.89,78.72,9.25,69.47,0.0,69.47,0.0,69.47,69.47,123.94,0.55,0.55,76.01,61.33,23.85,49.77,19.25
2014-09-30,650.58,650.58,403.9,21.18,20.6,69.33,9.51,0.0,1.51,51.18,73.37,3.26,76.63,7.69,68.94,0.0,68.94,0.0,68.94,68.94,123.94,0.55,0.55,75.83,61.18,24.04,49.96,19.39
2014-12-31,600.5,600.5,391.89,3.55,2.1,51.05,8.13,0.0,34.02,58.5,51.26,3.41,54.67,12.6,42.07,0.0,42.07,0.0,42.07,42.07,123.94,0.33,0.33,76.46,61.69,23.51,49.51,18.97
2015-03-31,681.18,681.18,432.37,46.98,-8.78,46.47,7.24,0.0,23.05,120.75,13.1,9.49,22.59,13.16,9.43,0.0,9.43,0.0,9.43,9.43,123.94,0.07,0.07,75.65,61.03,24.22,50.15,19.54
2015-06-30,625.37,625.37,358.51,57.31,-11.1,62.14,6.35,0.0,0.12,70.68,81.36,3.83,85.19,11.05,74.14,38.25,112.39,0.0,112.39,112.39,123.94,0.9,0.9,75.65,61.03,24.22,50.15,19.54
2015-09-30,587.52,587.52,324.98,73.12,-20.48,43.15,6.46,0.0,0.08,82.28,77.93,4.98,82.91,11.5,71.41,0.27,71.68,0.0,71.68,71.68,123.94,0.57,0.57,75.65,61.03,24.03,49.76,19.39
2015-12-31,592.74,592.74,306.02,54.03,25.59,32.3,6.3,0.0,-0.23,90.11,78.62,2.76,81.38,11.22,70.16,0.0,70.16,0.0,70.16,70.16,123.94,0.56,0.56,75.65,61.03,24.03,49.76,19.39
2016-03-31,763.91,763.91,554.55,54.32,-31.72,24.52,5.8,0.0,6.09,136.32,14.03,10.37,24.4,11.15,13.25,-148.47,-135.22,0.0,-135.22,-135.22,123.94,-1.1,-1.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,503.99,503.99,295.01,11.95,24.48,34.1,4.29,0.0,0.08,74.72,59.36,4.65,64.01,17.83,46.18,0.0,46.18,0.0,46.18,46.18,123.94,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2016-09-30,413.47,413.47,293.97,13.22,-43.06,33.34,3.25,0.0,0.0,75.51,37.24,3.34,40.58,15.69,24.89,0.0,24.89,0.0,24.89,24.89,123.94,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2016-12-31,398.69,398.69,221.99,39.23,21.5,28.57,3.86,0.0,0.0,47.53,36.01,2.25,38.26,17.48,20.78,0.0,20.78,-0.25,21.03,21.03,123.94,0.17,0.17,0.0,0.0,0.0,0.0,0.0
