Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,699.09,699.09,420.42,86.34,36.38,34.27,4.31,3.08,0.0,82.66,31.63,9.17,40.8,8.93,31.87,0.0,31.87,0.25,31.62,31.62,123.94,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2017-06-30,836.01,836.01,415.56,180.5,64.7,37.95,3.9,0.0,0.25,83.0,50.15,5.9,56.05,15.92,40.13,0.0,40.13,14.5,25.63,25.63,123.94,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2017-09-30,575.5,575.5,270.49,204.57,-68.58,34.89,4.08,0.0,-0.07,77.49,52.63,4.17,56.8,16.35,40.45,0.0,40.45,15.28,25.17,25.17,123.94,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2017-12-31,714.42,714.42,347.73,164.63,20.06,38.45,4.08,0.0,0.14,72.14,67.19,3.5,70.69,16.46,54.23,0.0,54.23,8.75,45.48,45.48,123.94,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2018-03-31,944.15,944.15,535.04,236.79,24.27,35.99,4.2,0.0,-6.74,43.65,70.95,11.84,82.79,12.18,70.61,-1.79,68.82,10.07,58.75,58.75,123.94,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2018-06-30,1032.3,1032.3,525.74,423.35,-71.36,40.86,3.85,0.0,0.0,27.24,82.62,2.66,85.28,15.14,70.14,0.0,70.14,25.78,44.36,44.36,123.94,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2018-09-30,1137.41,1137.41,578.49,313.19,76.56,43.13,4.1,0.0,0.0,45.62,76.32,2.3,78.62,17.54,61.08,0.0,61.08,21.32,39.76,39.76,123.94,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2018-12-31,1105.64,1105.64,554.8,329.42,52.12,41.87,4.78,0.0,0.0,23.47,99.18,2.79,101.97,26.71,75.26,0.0,75.26,26.84,48.42,48.42,124.69,0.39,0.38,0.0,0.0,0.0,0.0,0.0
2019-03-31,1094.68,1094.68,609.26,337.53,-46.4,51.05,4.79,0.0,0.0,78.13,60.32,42.49,102.81,18.55,84.26,0.0,84.26,32.77,51.49,51.49,127.44,0.42,0.4,0.0,0.0,0.0,0.0,0.0
2019-06-30,1200.61,1200.61,560.81,352.72,36.88,52.92,5.58,0.0,0.0,37.33,154.37,4.35,158.72,22.84,135.88,0.0,135.88,46.54,89.34,89.34,128.44,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2019-09-30,923.05,923.05,525.41,226.32,-42.85,45.47,5.98,0.0,0.0,41.91,120.81,3.54,124.35,23.57,100.78,0.0,100.78,37.94,62.84,62.84,128.44,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2019-12-31,812.87,812.87,469.19,144.05,26.41,45.91,6.97,0.0,0.0,36.69,83.65,8.16,91.81,17.71,74.1,0.0,74.1,24.45,49.65,49.65,128.44,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2020-03-31,610.77,610.77,458.29,126.26,-115.49,49.47,11.61,0.0,0.0,43.52,37.11,6.04,43.15,25.98,17.17,0.0,17.17,15.17,2.0,2.0,128.44,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2020-06-30,656.24,656.24,305.92,191.68,-0.93,48.33,13.09,0.0,0.0,41.78,56.37,3.14,59.51,31.54,27.97,-0.49,27.48,6.87,20.61,20.61,128.44,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2020-09-30,983.8,983.8,365.9,417.97,-8.06,54.16,13.47,0.0,0.0,42.49,97.87,3.46,101.33,36.58,64.75,-2.9,61.85,17.14,44.71,44.71,128.44,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2020-12-31,1188.89,1188.89,388.79,595.36,-40.12,60.98,13.22,0.0,0.0,37.88,132.78,3.28,136.06,38.03,98.03,-0.74,97.29,22.25,75.04,75.04,128.44,0.58,0.58,0.0,0.0,0.0,0.0,0.0
2021-03-31,1276.94,1276.94,401.61,539.88,77.06,52.22,13.81,0.0,0.0,46.94,145.42,5.93,151.35,42.1,109.25,0.0,109.25,26.75,82.5,82.5,128.44,0.64,0.64,0.0,0.0,0.0,0.0,0.0
2021-06-30,1108.2,1108.2,367.18,470.04,-7.8,71.49,12.99,0.0,0.0,46.94,147.36,4.7,152.06,42.01,110.05,0.0,110.05,29.51,80.54,80.54,128.44,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2021-09-30,1004.92,1004.92,521.24,214.62,19.03,60.98,13.18,0.0,0.0,53.41,122.46,3.33,125.79,31.96,93.83,0.0,93.83,23.65,70.18,70.18,128.65,0.55,0.55,0.0,0.0,0.0,0.0,0.0
2021-12-31,1107.36,1107.36,584.0,296.22,-32.95,70.54,14.33,0.0,0.0,53.46,121.76,3.25,125.01,30.22,94.79,0.0,94.79,24.67,70.12,70.12,137.43,0.53,0.54,0.0,0.0,0.0,0.0,0.0
2022-03-31,1065.96,1065.96,655.5,222.12,-43.98,58.59,16.8,0.0,0.0,78.03,78.9,32.55,111.45,28.45,83.0,0.0,83.0,21.06,61.94,61.94,137.49,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2022-06-30,951.21,951.21,491.39,260.82,-17.82,67.22,14.42,0.0,0.0,63.14,72.04,19.87,91.91,28.5,63.41,0.0,63.41,15.36,48.05,48.05,137.53,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2022-09-30,1119.35,1119.35,478.77,384.38,-21.43,72.33,15.32,0.0,0.0,64.5,125.48,8.07,133.55,31.45,102.1,0.0,102.1,26.26,75.84,75.84,137.59,0.55,0.55,0.0,0.0,0.0,0.0,0.0
2022-12-31,1002.01,1002.01,446.88,269.9,32.14,65.35,13.91,0.0,0.0,47.02,126.81,6.14,132.95,26.37,106.58,0.0,106.58,26.68,79.9,79.9,137.62,0.58,0.58,0.0,0.0,0.0,0.0,0.0
2023-03-31,1323.11,1323.11,574.98,593.32,-98.88,74.7,13.78,0.0,0.0,79.22,85.99,14.12,100.11,30.51,69.6,0.0,69.6,18.79,50.81,50.81,137.64,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2023-06-30,880.32,880.32,435.33,219.53,0.95,70.27,14.14,0.0,0.0,58.85,81.25,13.16,94.41,28.89,65.52,0.0,65.52,16.77,48.75,48.75,137.65,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2023-09-30,1001.76,1001.76,402.59,416.99,-48.14,59.82,14.45,0.0,0.0,56.25,99.8,17.6,117.4,27.15,90.25,0.0,90.25,22.7,67.55,67.55,142.77,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2023-12-31,954.47,954.47,499.21,221.1,-4.15,68.42,14.56,0.0,0.0,69.97,85.36,46.2,131.56,28.23,103.33,0.0,103.33,25.41,77.92,77.92,142.77,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2024-03-31,1238.04,1238.04,424.78,526.71,-50.24,66.28,15.33,0.0,0.0,84.33,170.85,13.25,184.1,30.75,153.35,0.0,153.35,37.91,115.44,115.44,144.01,0.81,0.81,0.0,0.0,0.0,0.0,0.0
2024-06-30,1065.52,1065.52,354.8,433.94,-23.6,65.78,19.73,0.0,0.0,69.11,145.76,11.09,156.85,33.75,123.1,0.0,123.1,9.12,113.98,113.98,144.18,0.79,0.79,0.0,0.0,0.0,0.0,0.0
2024-09-30,1011.57,1011.57,309.55,380.78,45.84,64.01,20.9,0.0,0.0,63.7,126.79,13.04,139.83,35.57,104.26,0.0,104.26,29.38,74.88,74.88,144.2,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2024-12-31,960.94,960.94,354.31,244.75,89.38,71.88,21.19,0.0,0.0,55.95,123.48,21.01,144.49,37.62,106.87,0.0,106.87,28.39,78.48,78.48,144.2,0.54,0.54,0.0,0.0,0.0,0.0,0.0
