Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,316.81,397.31,1132.61,1132.61,0.0,1529.92,0.0,707.04,72.44,0.0,0.0,779.48,163.44,186.67,31.44,1.58,383.14,2692.54,340.3,17.37,31.16,0.0,388.83,1245.01,72.44,0.0,0.0,1706.28,0.0,152.18,496.07,47.39,290.62,0.0,986.26,2692.54,4.08,3.12,0.62,2.52,2.35,1243.52,0.0,0.0,80.5,164.8,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,329.76,410.26,884.8,884.8,0.0,1295.06,0.0,742.8,0.0,0.0,0.0,742.8,169.29,196.7,33.53,27.89,427.41,2465.27,297.79,0.0,33.84,0.0,331.63,1262.93,0.0,0.0,0.0,1594.56,0.0,109.77,457.7,34.64,268.59,0.0,870.71,2465.27,4.71,2.34,3.7,0.23,2.87,1235.17,0.0,0.0,80.5,136.67,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,350.13,430.63,-74.81,-74.81,0.0,355.83,0.0,921.71,0.0,0.0,0.0,921.71,128.0,327.02,64.79,1.35,521.16,1798.69,275.87,0.0,11.39,0.0,287.26,731.78,0.0,0.0,0.0,1019.04,0.0,78.79,543.82,63.3,92.67,1.08,779.65,1798.69,5.63,5.11,4.01,0.07,2.54,731.5,0.0,0.0,80.5,187.17,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,442.79,523.29,136.51,136.51,0.0,659.8,0.0,831.63,0.0,0.0,0.0,831.63,176.41,220.59,98.55,9.53,505.07,1996.5,255.33,0.0,11.88,0.0,267.22,730.88,0.0,0.0,0.0,998.1,0.0,74.81,794.92,36.17,92.51,0.0,998.4,1996.5,5.12,3.06,30.93,0.0,0.59,730.7,0.0,0.0,80.5,176.23,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,442.79,523.29,-41.72,-41.72,0.0,481.57,0.0,814.37,0.0,0.0,0.0,814.37,318.79,156.07,86.26,10.73,571.85,1867.79,236.6,0.0,10.06,0.0,246.66,725.17,0.0,0.0,0.0,971.83,0.0,80.78,680.62,27.91,106.65,0.0,895.96,1867.79,11.69,1.01,4.17,0.0,1.07,724.99,0.0,0.0,80.5,28.34,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,442.79,523.29,-385.53,-385.53,0.0,137.76,0.0,873.38,0.0,0.0,0.0,873.38,361.87,172.21,28.31,2.72,565.1,1576.25,211.81,0.0,9.72,0.0,221.53,719.67,0.0,0.0,0.0,941.2,0.0,58.78,453.51,24.7,98.06,0.0,635.05,1576.25,12.84,0.24,5.41,0.0,0.55,719.49,0.0,0.0,80.5,16.23,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,46.28,126.78,30.11,30.11,0.0,156.89,52.96,826.72,0.0,0.0,0.0,826.72,228.66,144.29,648.44,1.49,1022.87,2059.44,178.89,0.0,10.5,0.0,189.39,1064.61,0.0,0.0,0.0,1254.0,0.0,38.98,421.91,121.68,222.87,0.0,805.44,2059.44,12.97,1.5,0.86,0.0,0.95,1064.43,0.0,0.0,80.5,40.37,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,99.24,179.74,222.0,222.0,0.0,401.74,0.0,472.74,0.0,618.55,1.21,1092.51,152.39,52.97,35.86,0.27,241.48,1735.73,88.81,0.0,14.47,0.0,103.28,1034.14,0.0,2.99,0.0,1140.41,0.18,34.81,333.0,74.99,132.57,19.77,595.32,1735.73,242.21,0.19,0.16,0.0,0.0,1109.72,0.99,0.0,80.5,7.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,123.94,204.44,451.76,451.76,0.0,656.2,0.0,216.92,0.0,618.67,1.23,836.83,97.37,33.32,69.51,0.98,201.17,1694.2,86.05,1.15,19.75,0.04,106.98,969.83,0.0,3.64,0.0,1080.46,0.18,32.17,311.28,60.62,188.55,20.92,613.74,1694.2,215.47,0.64,0.09,0.0,0.0,1038.56,1.21,0.0,80.5,11.91,0.13,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,123.94,204.44,506.56,506.56,0.0,711.0,0.0,202.35,0.0,3.97,5.03,211.35,71.69,47.68,156.9,3.75,280.01,1202.36,102.81,2.5,21.65,0.09,127.05,363.58,0.0,6.42,0.0,497.05,0.18,32.76,299.84,38.95,313.46,20.13,705.32,1202.36,84.46,0.9,1.39,0.0,0.0,431.05,1.29,0.0,80.5,56.17,0.36,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,123.94,204.44,634.16,634.16,0.0,838.6,0.0,182.79,0.0,0.17,9.43,192.39,86.87,193.88,278.77,26.17,585.69,1616.68,150.18,2.92,0.45,0.09,153.64,364.58,0.0,2.73,56.0,576.95,0.18,149.99,254.51,65.94,524.28,44.83,1039.73,1616.68,103.0,0.71,14.52,0.03,0.0,432.05,1.14,0.0,80.5,139.02,0.48,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,123.94,204.44,808.44,808.44,0.0,1012.88,0.0,162.23,0.0,0.0,13.78,176.01,109.32,307.08,180.73,9.41,606.54,1795.43,118.3,3.23,0.45,0.0,121.98,295.84,0.0,2.09,0.0,419.91,0.18,236.04,367.42,135.79,588.5,47.59,1375.52,1795.43,174.83,1.0,34.21,0.0,0.0,295.84,1.48,0.0,80.5,166.75,2.19,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,123.94,204.44,793.99,793.99,0.0,1078.93,0.0,251.17,0.0,0.46,11.02,262.65,142.26,445.8,258.71,4.1,850.87,2111.95,103.89,2.19,0.11,0.55,106.74,49.71,0.0,0.0,11.22,167.67,1.25,259.87,1118.65,73.77,13.75,476.99,1944.28,2111.95,148.44,143.56,68.98,0.0,0.0,45.22,0.0,1.25,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
